Wavelength (nm)	C11 ems
335.00	0.013218
336.00	0.015217
337.00	0.016732
338.00	0.018620
339.00	0.022894
340.00	0.029278
341.00	0.037618
342.00	0.050796
343.00	0.065969
344.00	0.088163
345.00	0.11776
346.00	0.15579
347.00	0.20217
348.00	0.25916
349.00	0.32690
350.00	0.38812
351.00	0.46200
352.00	0.52999
353.00	0.59446
354.00	0.65573
355.00	0.70423
356.00	0.74899
357.00	0.78266
358.00	0.79846
359.00	0.81425
360.00	0.81108
361.00	0.80653
362.00	0.80063
363.00	0.79900
364.00	0.79651
365.00	0.80460
366.00	0.81136
367.00	0.83410
368.00	0.85017
369.00	0.87697
370.00	0.91364
371.00	0.93169
372.00	0.96054
373.00	0.97687
374.00	0.99633
375.00	0.99780
376.00	1.0000
377.00	0.98793
378.00	0.97016
379.00	0.94959
380.00	0.91699
381.00	0.89232
382.00	0.86127
383.00	0.83420
384.00	0.79791
385.00	0.76808
386.00	0.74747
387.00	0.72575
388.00	0.70522
389.00	0.69160
390.00	0.68701
391.00	0.66732
392.00	0.66196
393.00	0.64679
394.00	0.64021
395.00	0.62073
396.00	0.61814
397.00	0.59846
398.00	0.58242
399.00	0.56609
400.00	0.54454
401.00	0.52461
402.00	0.50654
403.00	0.48794
404.00	0.46230
405.00	0.43943
406.00	0.41731
407.00	0.40216
408.00	0.37787
409.00	0.35894
410.00	0.34402
411.00	0.32709
412.00	0.30980
413.00	0.30218
414.00	0.28700
415.00	0.27669
416.00	0.26321
417.00	0.25317
418.00	0.24652
419.00	0.23974
420.00	0.22583
421.00	0.21964
422.00	0.20812
423.00	0.20106
424.00	0.19390
425.00	0.18180
426.00	0.17555
427.00	0.16343
428.00	0.15635
429.00	0.14853
430.00	0.14338
431.00	0.13433
432.00	0.12372
433.00	0.12017
434.00	0.11400
435.00	0.10799
436.00	0.10217
437.00	0.096502
438.00	0.091740
439.00	0.086562
440.00	0.085346
441.00	0.078458
442.00	0.075694
443.00	0.071596
444.00	0.070010
445.00	0.066407
446.00	0.063474
447.00	0.061612
448.00	0.059465
449.00	0.055376
450.00	0.054789
451.00	0.053370
452.00	0.049575
453.00	0.047625
454.00	0.045442
455.00	0.042942
456.00	0.040860
457.00	0.039860
458.00	0.037380
459.00	0.036495
460.00	0.034465
461.00	0.032630
462.00	0.031388
463.00	0.030024
464.00	0.028285
465.00	0.027279
466.00	0.026838
467.00	0.024601
468.00	0.023417
469.00	0.022392
470.00	0.021916
471.00	0.020568
472.00	0.019726
473.00	0.019028
474.00	0.018033
475.00	0.017250
476.00	0.016979
477.00	0.016146
478.00	0.015653
479.00	0.015332
480.00	0.014710
481.00	0.014696
482.00	0.013992
483.00	0.013445
484.00	0.013356
485.00	0.012805
486.00	0.011888
487.00	0.011065
488.00	0.011627
489.00	0.010978
490.00	0.010462
491.00	0.010574
492.00	0.010555
493.00	0.0094776
494.00	0.0089986
495.00	0.0091232
496.00	0.0090096
497.00	0.0087902
498.00	0.0079080
499.00	0.0083473
500.00	0.0079681
