Wavelength (nm)	C12 abs N
200.00	0.24937
201.00	0.26940
202.00	0.29091
203.00	0.31426
204.00	0.33927
205.00	0.36624
206.00	0.39232
207.00	0.41280
208.00	0.42883
209.00	0.44289
210.00	0.45605
211.00	0.46959
212.00	0.48037
213.00	0.47539
214.00	0.44750
215.00	0.40928
216.00	0.37765
217.00	0.36014
218.00	0.35486
219.00	0.35880
220.00	0.36932
221.00	0.38441
222.00	0.40355
223.00	0.42547
224.00	0.45070
225.00	0.47862
226.00	0.51074
227.00	0.54660
228.00	0.58704
229.00	0.63017
230.00	0.67610
231.00	0.72274
232.00	0.76904
233.00	0.81595
234.00	0.86125
235.00	0.90480
236.00	0.94281
237.00	0.97376
238.00	0.99380
239.00	1.0000
240.00	0.99135
241.00	0.96689
242.00	0.92911
243.00	0.87834
244.00	0.81750
245.00	0.74728
246.00	0.66191
247.00	0.56225
248.00	0.45613
249.00	0.35792
250.00	0.27457
251.00	0.21095
252.00	0.16578
253.00	0.13392
254.00	0.11231
255.00	0.098044
256.00	0.089043
257.00	0.083701
258.00	0.080681
259.00	0.079231
260.00	0.078468
261.00	0.078277
262.00	0.078438
263.00	0.079125
264.00	0.080719
265.00	0.083395
266.00	0.087253
267.00	0.091995
268.00	0.097127
269.00	0.10204
270.00	0.10571
271.00	0.10776
272.00	0.10811
273.00	0.10747
274.00	0.10692
275.00	0.10778
276.00	0.11057
277.00	0.11504
278.00	0.12083
279.00	0.12728
280.00	0.13335
281.00	0.13682
282.00	0.13584
283.00	0.13023
284.00	0.12141
285.00	0.11184
286.00	0.10405
287.00	0.099333
288.00	0.097406
289.00	0.097457
290.00	0.099330
291.00	0.10269
292.00	0.10507
293.00	0.10314
294.00	0.094990
295.00	0.082070
296.00	0.067512
297.00	0.053916
298.00	0.042587
299.00	0.034337
300.00	0.028642
301.00	0.025001
302.00	0.022865
303.00	0.021652
304.00	0.021234
305.00	0.021220
306.00	0.021535
307.00	0.022098
308.00	0.022750
309.00	0.023492
310.00	0.024353
311.00	0.025302
312.00	0.026269
313.00	0.027299
314.00	0.028383
315.00	0.029521
316.00	0.030629
317.00	0.031802
318.00	0.033012
319.00	0.034180
320.00	0.035387
321.00	0.036585
322.00	0.037768
323.00	0.039064
324.00	0.040135
325.00	0.041337
326.00	0.042505
327.00	0.043663
328.00	0.044688
329.00	0.045731
330.00	0.046785
331.00	0.047742
332.00	0.048706
333.00	0.049560
334.00	0.050325
335.00	0.050977
336.00	0.051564
337.00	0.052004
338.00	0.052412
339.00	0.052690
340.00	0.052828
341.00	0.052849
342.00	0.052782
343.00	0.052595
344.00	0.052326
345.00	0.051884
346.00	0.051227
347.00	0.050397
348.00	0.049475
349.00	0.048291
350.00	0.046948
351.00	0.045527
352.00	0.043900
353.00	0.042154
354.00	0.040285
355.00	0.038335
356.00	0.036340
357.00	0.034364
358.00	0.032363
359.00	0.030319
360.00	0.028221
361.00	0.026216
362.00	0.024070
363.00	0.021889
364.00	0.019761
365.00	0.017569
366.00	0.015688
367.00	0.013865
368.00	0.012206
369.00	0.010706
370.00	0.0093213
371.00	0.0081156
372.00	0.0070453
373.00	0.0060394
374.00	0.0052021
375.00	0.0044840
376.00	0.0038864
377.00	0.0033774
378.00	0.0029176
379.00	0.0026331
380.00	0.0022794
381.00	0.0020480
382.00	0.0018857
383.00	0.0017350
384.00	0.0015841
385.00	0.0015809
386.00	0.0015932
387.00	0.0012812
388.00	0.0013534
389.00	0.0014024
390.00	0.0012955
391.00	0.0013649
392.00	0.0012188
393.00	0.0012660
394.00	0.0011765
395.00	0.0011947
396.00	0.0010822
397.00	0.0010630
398.00	0.00095172
399.00	0.00091934
400.00	0.00099098
