Wavelength (nm)	C12 ems
340.00	0.0029592
341.00	0.0038442
342.00	0.0046583
343.00	0.0052988
344.00	0.0064278
345.00	0.0077253
346.00	0.010350
347.00	0.014524
348.00	0.018314
349.00	0.022579
350.00	0.028574
351.00	0.037627
352.00	0.046228
353.00	0.056349
354.00	0.065547
355.00	0.078462
356.00	0.087302
357.00	0.097204
358.00	0.10615
359.00	0.11414
360.00	0.12321
361.00	0.13376
362.00	0.14512
363.00	0.15808
364.00	0.17074
365.00	0.18883
366.00	0.20651
367.00	0.23074
368.00	0.25408
369.00	0.28418
370.00	0.31361
371.00	0.35395
372.00	0.39255
373.00	0.43359
374.00	0.47853
375.00	0.52313
376.00	0.56877
377.00	0.60969
378.00	0.65631
379.00	0.69385
380.00	0.73279
381.00	0.77585
382.00	0.80762
383.00	0.84063
384.00	0.86960
385.00	0.89514
386.00	0.92149
387.00	0.93850
388.00	0.95432
389.00	0.96881
390.00	0.98024
391.00	0.99025
392.00	0.99369
393.00	0.99734
394.00	0.99945
395.00	1.0000
396.00	0.99579
397.00	0.98672
398.00	0.98623
399.00	0.97446
400.00	0.96220
401.00	0.96094
402.00	0.94659
403.00	0.92859
404.00	0.91749
405.00	0.89878
406.00	0.88676
407.00	0.86536
408.00	0.84620
409.00	0.82656
410.00	0.81106
411.00	0.79181
412.00	0.76997
413.00	0.75007
414.00	0.73506
415.00	0.70625
416.00	0.68381
417.00	0.66449
418.00	0.64410
419.00	0.62422
420.00	0.60044
421.00	0.58530
422.00	0.56058
423.00	0.54270
424.00	0.52358
425.00	0.50747
426.00	0.48856
427.00	0.47042
428.00	0.45364
429.00	0.43329
430.00	0.41835
431.00	0.40207
432.00	0.38779
433.00	0.37260
434.00	0.35796
435.00	0.34335
436.00	0.33036
437.00	0.31884
438.00	0.30934
439.00	0.29328
440.00	0.28137
441.00	0.27015
442.00	0.26119
443.00	0.25039
444.00	0.24005
445.00	0.23417
446.00	0.22290
447.00	0.21593
448.00	0.20655
449.00	0.19821
450.00	0.19085
451.00	0.18409
452.00	0.17615
453.00	0.16979
454.00	0.16439
455.00	0.15822
456.00	0.15256
457.00	0.14642
458.00	0.14037
459.00	0.13531
460.00	0.13208
461.00	0.12582
462.00	0.12157
463.00	0.11697
464.00	0.11190
465.00	0.10816
466.00	0.10371
467.00	0.099863
468.00	0.097131
469.00	0.092902
470.00	0.088983
471.00	0.087175
472.00	0.082342
473.00	0.080246
474.00	0.077780
475.00	0.074945
476.00	0.073015
477.00	0.069276
478.00	0.067542
479.00	0.065015
480.00	0.063602
481.00	0.060912
482.00	0.059119
483.00	0.057341
484.00	0.055538
485.00	0.053818
486.00	0.051561
487.00	0.049266
488.00	0.047042
489.00	0.045848
490.00	0.043752
491.00	0.042281
492.00	0.041141
493.00	0.039776
494.00	0.038498
495.00	0.037339
496.00	0.035818
497.00	0.034637
498.00	0.034034
499.00	0.032848
500.00	0.031464
501.00	0.030281
502.00	0.029541
503.00	0.029043
504.00	0.027072
505.00	0.027425
506.00	0.026106
507.00	0.025165
508.00	0.023938
509.00	0.023658
510.00	0.023055
511.00	0.022038
512.00	0.021454
513.00	0.020831
514.00	0.019939
515.00	0.018613
516.00	0.018183
517.00	0.018212
518.00	0.017157
519.00	0.016553
520.00	0.017100
521.00	0.016126
522.00	0.014972
523.00	0.014678
524.00	0.014500
525.00	0.013990
526.00	0.012698
527.00	0.013001
528.00	0.012718
529.00	0.012439
530.00	0.011664
531.00	0.010973
532.00	0.011019
533.00	0.010463
534.00	0.0096445
535.00	0.010097
536.00	0.0093784
537.00	0.0094388
538.00	0.0085520
539.00	0.0087252
540.00	0.0082147
541.00	0.0084228
542.00	0.0080351
543.00	0.0077275
544.00	0.0075861
545.00	0.0069953
546.00	0.0073807
547.00	0.0065060
548.00	0.0066759
549.00	0.0062769
550.00	0.0057262
551.00	0.0054805
552.00	0.0055344
553.00	0.0054961
554.00	0.0047934
555.00	0.0044995
556.00	0.0045130
557.00	0.0046060
558.00	0.0043972
559.00	0.0044763
560.00	0.0032796
561.00	0.0036567
562.00	0.0038779
563.00	0.0034464
564.00	0.0032771
565.00	0.0036076
566.00	0.0034653
567.00	0.0034318
568.00	0.0032877
569.00	0.0025103
570.00	0.0033287
571.00	0.0025686
572.00	0.0029797
573.00	0.0030257
574.00	0.0025179
575.00	0.0030772
576.00	0.0023564
577.00	0.0029622
578.00	0.0023523
579.00	0.0027006
580.00	0.0021440
581.00	0.0018866
582.00	0.0022056
583.00	0.0022557
584.00	0.0019464
585.00	0.0019890
586.00	0.0019169
587.00	0.0020591
588.00	0.0018916
589.00	0.0020800
590.00	0.0010728
591.00	0.0017606
592.00	0.0013858
593.00	0.0014895
594.00	0.0013561
595.00	0.0014597
596.00	0.0012643
597.00	0.0013423
598.00	0.0013061
599.00	0.00075453
600.00	0.0016456
