Wavelength (nm)	C14 abs N
210.00	0.78611
211.00	0.81064
212.00	0.83441
213.00	0.86154
214.00	0.89471
215.00	0.93086
216.00	0.96512
217.00	0.98898
218.00	1.00000
219.00	0.99719
220.00	0.98339
221.00	0.96468
222.00	0.93690
223.00	0.89172
224.00	0.81746
225.00	0.72050
226.00	0.60881
227.00	0.50422
228.00	0.41606
229.00	0.34868
230.00	0.29859
231.00	0.26332
232.00	0.23880
233.00	0.22189
234.00	0.21022
235.00	0.20234
236.00	0.19716
237.00	0.19358
238.00	0.19097
239.00	0.18894
240.00	0.18766
241.00	0.18666
242.00	0.18659
243.00	0.18731
244.00	0.18826
245.00	0.18952
246.00	0.19047
247.00	0.19176
248.00	0.19420
249.00	0.19792
250.00	0.20362
251.00	0.21128
252.00	0.22012
253.00	0.23073
254.00	0.24268
255.00	0.25559
256.00	0.26905
257.00	0.28307
258.00	0.29718
259.00	0.31037
260.00	0.32361
261.00	0.33626
262.00	0.34788
263.00	0.35817
264.00	0.36725
265.00	0.37423
266.00	0.37953
267.00	0.38362
268.00	0.38603
269.00	0.38706
270.00	0.38703
271.00	0.38491
272.00	0.38132
273.00	0.37663
274.00	0.37116
275.00	0.36537
276.00	0.35947
277.00	0.35186
278.00	0.34392
279.00	0.33533
280.00	0.32585
281.00	0.31637
282.00	0.30632
283.00	0.29607
284.00	0.28536
285.00	0.27420
286.00	0.26278
287.00	0.25099
288.00	0.23895
289.00	0.22648
290.00	0.21333
291.00	0.20051
292.00	0.18761
293.00	0.17481
294.00	0.16302
295.00	0.15221
296.00	0.14204
297.00	0.13270
298.00	0.12397
299.00	0.11579
300.00	0.10831
301.00	0.10184
302.00	0.096025
303.00	0.090550
304.00	0.086177
305.00	0.082093
306.00	0.078163
307.00	0.074569
308.00	0.071808
309.00	0.069777
310.00	0.067956
311.00	0.066251
312.00	0.064806
313.00	0.063673
314.00	0.062927
315.00	0.062681
316.00	0.062625
317.00	0.063187
318.00	0.063883
319.00	0.064670
320.00	0.065939
321.00	0.067632
322.00	0.069419
323.00	0.071750
324.00	0.073797
325.00	0.076592
326.00	0.079248
327.00	0.081689
328.00	0.084587
329.00	0.087486
330.00	0.090428
331.00	0.093265
332.00	0.096516
333.00	0.099430
334.00	0.10237
335.00	0.10554
336.00	0.10845
337.00	0.11136
338.00	0.11460
339.00	0.11734
340.00	0.12045
341.00	0.12339
342.00	0.12633
343.00	0.12937
344.00	0.13209
345.00	0.13447
346.00	0.13709
347.00	0.13871
348.00	0.14102
349.00	0.14259
350.00	0.14391
351.00	0.14480
352.00	0.14522
353.00	0.14551
354.00	0.14637
355.00	0.14692
356.00	0.14758
357.00	0.14792
358.00	0.14810
359.00	0.14844
360.00	0.14943
361.00	0.15022
362.00	0.15121
363.00	0.15247
364.00	0.15351
365.00	0.15412
366.00	0.15467
367.00	0.15591
368.00	0.15699
369.00	0.15783
370.00	0.15807
371.00	0.15753
372.00	0.15837
373.00	0.15792
374.00	0.15800
375.00	0.15781
376.00	0.15653
377.00	0.15552
378.00	0.15451
379.00	0.15273
380.00	0.15089
381.00	0.14898
382.00	0.14672
383.00	0.14485
384.00	0.14243
385.00	0.13889
386.00	0.13617
387.00	0.13271
388.00	0.12977
389.00	0.12617
390.00	0.12223
391.00	0.11766
392.00	0.11360
393.00	0.10939
394.00	0.10546
395.00	0.10052
396.00	0.095838
397.00	0.091278
398.00	0.086204
399.00	0.081380
400.00	0.077188
401.00	0.072170
402.00	0.067629
403.00	0.063594
404.00	0.059019
405.00	0.054498
406.00	0.050585
407.00	0.046936
408.00	0.043210
409.00	0.039662
410.00	0.036345
411.00	0.032626
412.00	0.029835
413.00	0.026753
414.00	0.024141
415.00	0.021910
416.00	0.019731
417.00	0.017886
418.00	0.015594
419.00	0.013943
420.00	0.012618
421.00	0.011538
422.00	0.010464
423.00	0.0091879
424.00	0.0083985
425.00	0.0075682
426.00	0.0067626
427.00	0.0062754
428.00	0.0054267
429.00	0.0050059
430.00	0.0046201
431.00	0.0040212
432.00	0.0035793
433.00	0.0037590
434.00	0.0039246
435.00	0.0033430
436.00	0.0033144
437.00	0.0027026
438.00	0.0023697
439.00	0.0025105
440.00	0.0024085
441.00	0.0027468
442.00	0.0023136
443.00	0.0018711
444.00	0.0018069
445.00	0.0019974
446.00	0.0018528
447.00	0.0020562
448.00	0.0020141
449.00	0.0016758
450.00	0.0014740
451.00	0.0014433
452.00	0.0017605
453.00	0.0020535
454.00	0.0022510
455.00	0.0019591
456.00	0.0016882
457.00	0.0017087
458.00	0.0018134
459.00	0.0021512
460.00	0.0018528
461.00	0.0015042
462.00	0.0015318
463.00	0.0015485
464.00	0.0016089
465.00	0.0015739
466.00	0.0019952
467.00	0.0017260
468.00	0.0016402
469.00	0.0010564
470.00	0.0013510
471.00	0.0023600
472.00	0.0018350
473.00	0.0020983
474.00	0.0012582
475.00	0.0016569
476.00	0.0016246
477.00	0.0016969
478.00	0.0024501
479.00	0.0019952
480.00	0.0018312
481.00	0.0013758
482.00	0.00098629
483.00	0.0018415
484.00	0.0018992
485.00	0.0024431
486.00	0.0017713
487.00	0.0011875
488.00	0.0016287
489.00	0.0012381
490.00	0.0016796
491.00	0.0014287
492.00	0.0019278
493.00	0.0019548
494.00	0.0017589
495.00	0.0019138
496.00	0.0015409
497.00	0.0015177
498.00	0.0014832
499.00	0.0020816
500.00	0.0016564
