Wavelength (nm)	C14 ems
400.00	0.0023556
401.00	0.0039304
402.00	0.0043168
403.00	0.0067149
404.00	0.0084730
405.00	0.0085718
406.00	0.010406
407.00	0.011885
408.00	0.016082
409.00	0.017814
410.00	0.022384
411.00	0.027659
412.00	0.034560
413.00	0.040567
414.00	0.045298
415.00	0.050556
416.00	0.052242
417.00	0.055254
418.00	0.062431
419.00	0.070835
420.00	0.076141
421.00	0.087083
422.00	0.094255
423.00	0.10553
424.00	0.11426
425.00	0.12471
426.00	0.13723
427.00	0.15042
428.00	0.16249
429.00	0.17643
430.00	0.19068
431.00	0.20853
432.00	0.22346
433.00	0.23912
434.00	0.25848
435.00	0.27494
436.00	0.29055
437.00	0.30915
438.00	0.32715
439.00	0.34264
440.00	0.36262
441.00	0.38395
442.00	0.40239
443.00	0.42500
444.00	0.44043
445.00	0.46278
446.00	0.48382
447.00	0.50368
448.00	0.52059
449.00	0.54026
450.00	0.56152
451.00	0.57943
452.00	0.60267
453.00	0.62210
454.00	0.64237
455.00	0.65902
456.00	0.68024
457.00	0.69579
458.00	0.71599
459.00	0.73484
460.00	0.75227
461.00	0.76589
462.00	0.78580
463.00	0.79865
464.00	0.81470
465.00	0.82609
466.00	0.83874
467.00	0.85787
468.00	0.86829
469.00	0.88345
470.00	0.89487
471.00	0.90012
472.00	0.90509
473.00	0.91700
474.00	0.92733
475.00	0.93634
476.00	0.94363
477.00	0.94612
478.00	0.94970
479.00	0.95880
480.00	0.96351
481.00	0.97136
482.00	0.98832
483.00	0.99629
484.00	0.99850
485.00	1.0000
486.00	0.98889
487.00	0.98389
488.00	0.97309
489.00	0.96797
490.00	0.95953
491.00	0.95968
492.00	0.95766
493.00	0.94897
494.00	0.94604
495.00	0.93933
496.00	0.93306
497.00	0.93355
498.00	0.92133
499.00	0.91651
500.00	0.91370
501.00	0.90618
502.00	0.89086
503.00	0.88583
504.00	0.87693
505.00	0.87206
506.00	0.86159
507.00	0.85216
508.00	0.83908
509.00	0.82992
510.00	0.82065
511.00	0.81180
512.00	0.80560
513.00	0.78539
514.00	0.77783
515.00	0.76382
516.00	0.75778
517.00	0.74542
518.00	0.73444
519.00	0.72290
520.00	0.71893
521.00	0.70143
522.00	0.69208
523.00	0.67765
524.00	0.66973
525.00	0.65871
526.00	0.65286
527.00	0.64190
528.00	0.62663
529.00	0.61561
530.00	0.60832
531.00	0.59590
532.00	0.58860
533.00	0.57756
534.00	0.56924
535.00	0.55339
536.00	0.54558
537.00	0.53727
538.00	0.52670
539.00	0.51583
540.00	0.50816
541.00	0.50221
542.00	0.49349
543.00	0.48589
544.00	0.47455
545.00	0.46477
546.00	0.45822
547.00	0.45299
548.00	0.44181
549.00	0.43296
550.00	0.42432
551.00	0.41676
552.00	0.41190
553.00	0.39820
554.00	0.39225
555.00	0.38590
556.00	0.37841
557.00	0.37244
558.00	0.36495
559.00	0.35794
560.00	0.34889
561.00	0.33975
562.00	0.33456
563.00	0.32534
564.00	0.32448
565.00	0.31785
566.00	0.30989
567.00	0.30239
568.00	0.29480
569.00	0.29312
570.00	0.28633
571.00	0.28208
572.00	0.27258
573.00	0.26624
574.00	0.25836
575.00	0.25591
576.00	0.25151
577.00	0.24637
578.00	0.24001
579.00	0.23278
580.00	0.22834
581.00	0.22447
582.00	0.21827
583.00	0.21565
584.00	0.21136
585.00	0.20613
586.00	0.20085
587.00	0.19855
588.00	0.19146
589.00	0.18606
590.00	0.18228
591.00	0.18029
592.00	0.17649
593.00	0.16974
594.00	0.16638
595.00	0.16387
596.00	0.15933
597.00	0.15734
598.00	0.15437
599.00	0.15111
600.00	0.14672
601.00	0.14192
602.00	0.13914
603.00	0.13670
604.00	0.13456
605.00	0.12939
606.00	0.12948
607.00	0.12398
608.00	0.11994
609.00	0.11667
610.00	0.11437
611.00	0.11221
612.00	0.10918
613.00	0.10805
614.00	0.10518
615.00	0.10351
616.00	0.10021
617.00	0.097344
618.00	0.093572
619.00	0.089616
620.00	0.090257
621.00	0.085535
622.00	0.084258
623.00	0.082810
624.00	0.080027
625.00	0.078184
626.00	0.075907
627.00	0.071716
628.00	0.072716
629.00	0.071494
630.00	0.068327
631.00	0.066377
632.00	0.064335
633.00	0.064800
634.00	0.059502
635.00	0.059603
636.00	0.057225
637.00	0.056800
638.00	0.053519
639.00	0.052771
640.00	0.052747
641.00	0.051304
642.00	0.049954
643.00	0.049709
644.00	0.047715
645.00	0.047994
646.00	0.044647
647.00	0.042775
648.00	0.042478
649.00	0.040872
650.00	0.040847
651.00	0.037405
652.00	0.037717
653.00	0.036471
654.00	0.036815
655.00	0.034409
656.00	0.034818
657.00	0.033466
658.00	0.032170
659.00	0.030839
660.00	0.031355
661.00	0.028716
662.00	0.030232
663.00	0.027310
664.00	0.027841
665.00	0.028183
666.00	0.026296
667.00	0.024902
668.00	0.024467
669.00	0.023294
670.00	0.025638
671.00	0.022803
672.00	0.023898
673.00	0.021888
674.00	0.020351
675.00	0.022167
676.00	0.021832
677.00	0.021429
678.00	0.020291
679.00	0.019378
680.00	0.019170
681.00	0.020288
682.00	0.018165
683.00	0.017186
684.00	0.018094
685.00	0.017791
686.00	0.017596
687.00	0.017231
688.00	0.016243
689.00	0.015819
690.00	0.015936
691.00	0.015606
692.00	0.014412
693.00	0.015483
694.00	0.015890
695.00	0.015684
696.00	0.013957
697.00	0.014826
698.00	0.013480
699.00	0.014000
700.00	0.015170
