Wavelength (nm)	C16 ems
450.00	0.0029803
451.00	0.0033209
452.00	0.0034780
453.00	0.0037779
454.00	0.0043477
455.00	0.0046958
456.00	0.0054810
457.00	0.0061689
458.00	0.0071591
459.00	0.0081820
460.00	0.0095084
461.00	0.010899
462.00	0.012944
463.00	0.015521
464.00	0.018220
465.00	0.021086
466.00	0.025063
467.00	0.029837
468.00	0.034925
469.00	0.040821
470.00	0.047503
471.00	0.055826
472.00	0.064839
473.00	0.075109
474.00	0.086807
475.00	0.099526
476.00	0.11381
477.00	0.13004
478.00	0.14803
479.00	0.16847
480.00	0.18833
481.00	0.21353
482.00	0.24006
483.00	0.26826
484.00	0.29696
485.00	0.32403
486.00	0.35433
487.00	0.38519
488.00	0.41557
489.00	0.44766
490.00	0.47857
491.00	0.51327
492.00	0.54879
493.00	0.58333
494.00	0.61875
495.00	0.65536
496.00	0.68952
497.00	0.72394
498.00	0.75601
499.00	0.79102
500.00	0.81828
501.00	0.84480
502.00	0.87219
503.00	0.89517
504.00	0.91650
505.00	0.93499
506.00	0.95462
507.00	0.96678
508.00	0.97819
509.00	0.98831
510.00	0.99596
511.00	0.99892
512.00	1.0000
513.00	0.99920
514.00	0.99531
515.00	0.98872
516.00	0.98051
517.00	0.97071
518.00	0.96112
519.00	0.94573
520.00	0.93172
521.00	0.91595
522.00	0.90234
523.00	0.88099
524.00	0.86241
525.00	0.84442
526.00	0.82477
527.00	0.80623
528.00	0.78684
529.00	0.76546
530.00	0.74707
531.00	0.72786
532.00	0.70970
533.00	0.68895
534.00	0.67030
535.00	0.65176
536.00	0.63565
537.00	0.61675
538.00	0.60059
539.00	0.58334
540.00	0.56676
541.00	0.55174
542.00	0.53719
543.00	0.52204
544.00	0.50589
545.00	0.49012
546.00	0.47761
547.00	0.46465
548.00	0.44816
549.00	0.43505
550.00	0.42156
551.00	0.40815
552.00	0.39533
553.00	0.38145
554.00	0.37002
555.00	0.35751
556.00	0.34620
557.00	0.33415
558.00	0.32216
559.00	0.31165
560.00	0.30151
561.00	0.28817
562.00	0.27836
563.00	0.26951
564.00	0.25777
565.00	0.24723
566.00	0.23989
567.00	0.23027
568.00	0.22154
569.00	0.21259
570.00	0.20433
571.00	0.19569
572.00	0.18844
573.00	0.18112
574.00	0.17478
575.00	0.16803
576.00	0.16118
577.00	0.15481
578.00	0.14898
579.00	0.14272
580.00	0.13746
581.00	0.13208
582.00	0.12749
583.00	0.12221
584.00	0.11783
585.00	0.11202
586.00	0.10859
587.00	0.10462
588.00	0.10099
589.00	0.097271
590.00	0.093838
591.00	0.089214
592.00	0.086238
593.00	0.082950
594.00	0.079592
595.00	0.077778
596.00	0.073862
597.00	0.071171
598.00	0.068375
599.00	0.066434
600.00	0.064191
601.00	0.061493
602.00	0.058419
603.00	0.056989
604.00	0.054387
605.00	0.052918
606.00	0.050889
607.00	0.048790
608.00	0.047010
609.00	0.044998
610.00	0.042999
611.00	0.041280
612.00	0.039444
613.00	0.038389
614.00	0.036608
615.00	0.035323
616.00	0.034118
617.00	0.032686
618.00	0.031672
619.00	0.030560
620.00	0.029194
621.00	0.028290
622.00	0.026882
623.00	0.026113
624.00	0.025314
625.00	0.024189
626.00	0.023109
627.00	0.022395
628.00	0.021647
629.00	0.020788
630.00	0.019859
631.00	0.019353
632.00	0.018234
633.00	0.017778
634.00	0.017344
635.00	0.016753
636.00	0.016473
637.00	0.015719
638.00	0.015181
639.00	0.014755
640.00	0.014232
641.00	0.013782
642.00	0.013253
643.00	0.012809
644.00	0.012542
645.00	0.012388
646.00	0.011709
647.00	0.011647
648.00	0.011090
649.00	0.010802
650.00	0.010951
