Wavelength (nm)	D01 abs N
220.00	0.55429
220.25	0.56439
220.50	0.55581
220.75	0.55687
221.00	0.55646
221.25	0.54691
221.50	0.55367
221.75	0.53980
222.00	0.52915
222.25	0.51361
222.50	0.49883
222.75	0.48537
223.00	0.46057
223.25	0.44326
223.50	0.42978
223.75	0.40676
224.00	0.38070
224.25	0.36825
224.50	0.35910
224.75	0.34634
225.00	0.32817
225.25	0.31779
225.50	0.31146
225.75	0.31223
226.00	0.29728
226.25	0.28952
226.50	0.28543
226.75	0.28867
227.00	0.27708
227.25	0.27277
227.50	0.27023
227.75	0.26615
228.00	0.27055
228.25	0.26691
228.50	0.26460
228.75	0.26699
229.00	0.26517
229.25	0.26242
229.50	0.26216
229.75	0.26391
230.00	0.26172
230.25	0.26667
230.50	0.26712
230.75	0.26460
231.00	0.26584
231.25	0.26286
231.50	0.26406
231.75	0.26435
232.00	0.26050
232.25	0.26601
232.50	0.26097
232.75	0.26336
233.00	0.26616
233.25	0.26885
233.50	0.25918
233.75	0.26494
234.00	0.26814
234.25	0.26461
234.50	0.27005
234.75	0.27433
235.00	0.26856
235.25	0.28003
235.50	0.28045
235.75	0.27928
236.00	0.27339
236.25	0.27945
236.50	0.27419
236.75	0.27671
237.00	0.27733
237.25	0.27322
237.50	0.27312
237.75	0.27205
238.00	0.27443
238.25	0.27425
238.50	0.27236
238.75	0.26756
239.00	0.26934
239.25	0.26838
239.50	0.27115
239.75	0.27295
240.00	0.27404
240.25	0.26973
240.50	0.27535
240.75	0.27338
241.00	0.27494
241.25	0.27553
241.50	0.28016
241.75	0.28294
242.00	0.28315
242.25	0.28815
242.50	0.28668
242.75	0.28667
243.00	0.29090
243.25	0.29582
243.50	0.29173
243.75	0.29786
244.00	0.29942
244.25	0.30827
244.50	0.30699
244.75	0.30785
245.00	0.31554
245.25	0.31729
245.50	0.31769
245.75	0.32493
246.00	0.32779
246.25	0.32815
246.50	0.33370
246.75	0.33564
247.00	0.33567
247.25	0.33535
247.50	0.34289
247.75	0.34631
248.00	0.34539
248.25	0.34549
248.50	0.34942
248.75	0.35559
249.00	0.36214
249.25	0.36442
249.50	0.36560
249.75	0.36882
250.00	0.37502
250.25	0.37853
250.50	0.38263
250.75	0.38265
251.00	0.38274
251.25	0.38678
251.50	0.38614
251.75	0.39168
252.00	0.39080
252.25	0.39449
252.50	0.40196
252.75	0.40322
253.00	0.39939
253.25	0.40749
253.50	0.40926
253.75	0.41708
254.00	0.41658
254.25	0.42633
254.50	0.42845
254.75	0.43122
255.00	0.43873
255.25	0.44584
255.50	0.44677
255.75	0.45295
256.00	0.45460
256.25	0.45638
256.50	0.47026
256.75	0.47455
257.00	0.47914
257.25	0.48722
257.50	0.49055
257.75	0.49303
258.00	0.50094
258.25	0.50157
258.50	0.50764
