Wavelength (nm)	D01 ems
290.00	0.10066
291.00	0.11588
292.00	0.15291
293.00	0.21159
294.00	0.30250
295.00	0.40183
296.00	0.52215
297.00	0.64090
298.00	0.76636
299.00	0.86263
300.00	0.93984
301.00	0.98152
302.00	1.00000
303.00	0.99289
304.00	0.96190
305.00	0.91642
306.00	0.86765
307.00	0.82041
308.00	0.78647
309.00	0.76577
310.00	0.74423
311.00	0.73496
312.00	0.71385
313.00	0.71191
314.00	0.71491
315.00	0.72641
316.00	0.74357
317.00	0.77391
318.00	0.79821
319.00	0.81047
320.00	0.82297
321.00	0.81785
322.00	0.80827
323.00	0.80005
324.00	0.79196
325.00	0.78812
326.00	0.79256
327.00	0.80104
328.00	0.81539
329.00	0.82093
330.00	0.82810
331.00	0.82498
332.00	0.82418
333.00	0.81433
334.00	0.79961
335.00	0.78120
336.00	0.76439
337.00	0.75567
338.00	0.74459
339.00	0.72726
340.00	0.73025
341.00	0.72307
342.00	0.71185
343.00	0.70584
344.00	0.69312
345.00	0.67639
346.00	0.66178
347.00	0.64442
348.00	0.62220
349.00	0.60182
350.00	0.57781
351.00	0.56217
352.00	0.54497
353.00	0.52441
354.00	0.51109
355.00	0.49368
356.00	0.48099
357.00	0.46492
358.00	0.45054
359.00	0.43646
360.00	0.42383
361.00	0.41008
362.00	0.38847
363.00	0.37664
364.00	0.35788
365.00	0.33937
366.00	0.32331
367.00	0.31351
368.00	0.30252
369.00	0.28808
370.00	0.27580
371.00	0.26273
372.00	0.25315
373.00	0.23990
374.00	0.23151
375.00	0.22006
376.00	0.21343
377.00	0.20558
378.00	0.19635
379.00	0.18865
380.00	0.17872
381.00	0.17192
382.00	0.15871
383.00	0.15413
384.00	0.14449
385.00	0.13646
386.00	0.12598
387.00	0.12017
388.00	0.11406
389.00	0.10438
390.00	0.10121
391.00	0.096097
392.00	0.091624
393.00	0.087106
394.00	0.081117
395.00	0.080961
396.00	0.073775
397.00	0.070328
398.00	0.065602
399.00	0.064561
400.00	0.060415
401.00	0.057584
402.00	0.054455
403.00	0.052026
404.00	0.049410
405.00	0.046349
406.00	0.043213
407.00	0.040909
408.00	0.040538
409.00	0.037996
410.00	0.035663
411.00	0.034340
412.00	0.032148
413.00	0.029302
414.00	0.027155
415.00	0.027779
416.00	0.024658
417.00	0.024212
418.00	0.023150
419.00	0.021136
420.00	0.020408
421.00	0.020400
422.00	0.018253
423.00	0.017770
424.00	0.017614
425.00	0.016938
426.00	0.015920
427.00	0.015444
428.00	0.015466
429.00	0.015199
430.00	0.011692
431.00	0.012293
432.00	0.011966
433.00	0.010302
434.00	0.011714
435.00	0.010659
436.00	0.010688
437.00	0.0089719
438.00	0.0086969
439.00	0.0094252
440.00	0.0083403
441.00	0.0086524
442.00	0.0076046
443.00	0.0061556
444.00	0.0072108
445.00	0.0065197
446.00	0.0057841
447.00	0.0058212
448.00	0.0076566
449.00	0.0063414
450.00	0.0053680
