Wavelength (nm)	D03 abs N
240.00	0.089130
240.25	0.082422
240.50	0.076408
240.75	0.072959
241.00	0.074499
241.25	0.066213
241.50	0.070910
241.75	0.070383
242.00	0.072414
242.25	0.072584
242.50	0.076344
242.75	0.073675
243.00	0.077186
243.25	0.077352
243.50	0.079012
243.75	0.075176
244.00	0.079120
244.25	0.081366
244.50	0.086413
244.75	0.084123
245.00	0.083193
245.25	0.081177
245.50	0.085361
245.75	0.085309
246.00	0.087688
246.25	0.090451
246.50	0.092365
246.75	0.093044
247.00	0.097202
247.25	0.097672
247.50	0.10428
247.75	0.10499
248.00	0.10948
248.25	0.11505
248.50	0.12299
248.75	0.12107
249.00	0.12127
249.25	0.12830
249.50	0.13189
249.75	0.12865
250.00	0.13094
250.25	0.13119
250.50	0.13875
250.75	0.13217
251.00	0.13374
251.25	0.14396
251.50	0.14218
251.75	0.14921
252.00	0.14717
252.25	0.15262
252.50	0.16286
252.75	0.16155
253.00	0.16860
253.25	0.16967
253.50	0.17856
253.75	0.18023
254.00	0.19157
254.25	0.19609
254.50	0.20377
254.75	0.20224
255.00	0.20317
255.25	0.21114
255.50	0.20707
255.75	0.21313
256.00	0.21820
256.25	0.21944
256.50	0.22429
256.75	0.22687
257.00	0.22659
257.25	0.23177
257.50	0.23823
257.75	0.23870
258.00	0.25120
258.25	0.25006
258.50	0.25515
258.75	0.26241
259.00	0.26662
259.25	0.26830
259.50	0.27496
259.75	0.28145
260.00	0.29469
260.25	0.29859
260.50	0.30924
260.75	0.31312
261.00	0.32200
261.25	0.32703
261.50	0.33000
261.75	0.33503
262.00	0.33821
262.25	0.34508
262.50	0.34998
262.75	0.35739
263.00	0.36185
263.25	0.36497
263.50	0.37070
263.75	0.37755
264.00	0.38593
264.25	0.38987
264.50	0.39484
264.75	0.40300
265.00	0.41262
265.25	0.41651
265.50	0.42625
265.75	0.43005
266.00	0.43469
266.25	0.43821
266.50	0.44696
266.75	0.45504
267.00	0.46595
267.25	0.47398
267.50	0.48231
267.75	0.48471
268.00	0.49221
268.25	0.50113
268.50	0.50784
268.75	0.51540
269.00	0.51989
269.25	0.52901
269.50	0.53666
269.75	0.53768
270.00	0.55255
270.25	0.55480
270.50	0.55906
270.75	0.57026
271.00	0.57443
271.25	0.58226
271.50	0.59303
271.75	0.59912
272.00	0.60688
272.25	0.61506
272.50	0.61884
272.75	0.63250
273.00	0.63719
273.25	0.64231
273.50	0.65392
273.75	0.66255
274.00	0.66880
274.25	0.67076
274.50	0.68638
274.75	0.68824
275.00	0.69454
275.25	0.70619
275.50	0.71028
275.75	0.70899
276.00	0.72871
276.25	0.73050
276.50	0.73932
276.75	0.74617
277.00	0.75233
277.25	0.75188
277.50	0.75910
277.75	0.76967
278.00	0.77073
278.25	0.78260
278.50	0.79042
278.75	0.79020
279.00	0.79551
279.25	0.80325
279.50	0.80568
279.75	0.81239
280.00	0.82032
280.25	0.82591
280.50	0.83225
280.75	0.83807
281.00	0.84320
281.25	0.85178
281.50	0.84963
281.75	0.84844
282.00	0.86228
282.25	0.86889
282.50	0.86595
282.75	0.87542
283.00	0.88067
283.25	0.88116
283.50	0.88745
283.75	0.88724
284.00	0.88587
284.25	0.89919
284.50	0.90735
284.75	0.91263
285.00	0.90018
285.25	0.91763
285.50	0.91173
285.75	0.91616
286.00	0.92005
286.25	0.92411
286.50	0.93017
286.75	0.92787
287.00	0.93597
287.25	0.94329
287.50	0.93579
287.75	0.94521
288.00	0.93655
288.25	0.94229
288.50	0.94345
288.75	0.95304
289.00	0.94506
289.25	0.95504
289.50	0.95468
289.75	0.95869
290.00	0.96652
290.25	0.96038
290.50	0.97299
290.75	0.95850
291.00	0.97198
291.25	0.97881
291.50	0.97034
291.75	0.97982
292.00	0.97353
292.25	0.98725
292.50	0.99076
292.75	0.98098
293.00	0.99144
293.25	0.98161
293.50	0.99521
293.75	1.0000
294.00	0.99875
294.25	0.99140
294.50	0.99361
294.75	0.99353
295.00	0.99020
295.25	0.98453
295.50	0.99884
295.75	0.98496
296.00	0.98748
296.25	0.99171
296.50	0.99074
