Wavelength (nm)	D04 ems
310.00	0.21234
311.00	0.22395
312.00	0.23006
313.00	0.22568
314.00	0.21760
315.00	0.20312
316.00	0.19079
317.00	0.17624
318.00	0.16827
319.00	0.16908
320.00	0.17396
321.00	0.18761
322.00	0.21384
323.00	0.25203
324.00	0.32151
325.00	0.42195
326.00	0.54901
327.00	0.69240
328.00	0.84010
329.00	0.94870
330.00	1.0000
331.00	0.98446
332.00	0.90081
333.00	0.79387
334.00	0.67383
335.00	0.58636
336.00	0.51238
337.00	0.46916
338.00	0.43303
339.00	0.42117
340.00	0.40486
341.00	0.40185
342.00	0.40327
343.00	0.40013
344.00	0.39448
345.00	0.39286
346.00	0.38858
347.00	0.37930
348.00	0.37257
349.00	0.36504
350.00	0.35635
351.00	0.35051
352.00	0.34148
353.00	0.33010
354.00	0.32526
355.00	0.31968
356.00	0.30978
357.00	0.30146
358.00	0.29440
359.00	0.28496
360.00	0.27859
361.00	0.27202
362.00	0.25858
363.00	0.25020
364.00	0.23792
365.00	0.22962
366.00	0.22256
367.00	0.21188
368.00	0.20285
369.00	0.19919
370.00	0.18970
371.00	0.18344
372.00	0.17524
373.00	0.17142
374.00	0.16473
375.00	0.15960
376.00	0.15473
377.00	0.15087
378.00	0.14537
379.00	0.14051
380.00	0.13405
381.00	0.12894
382.00	0.12177
383.00	0.11742
384.00	0.11269
385.00	0.10700
386.00	0.10412
387.00	0.097959
388.00	0.094053
389.00	0.092177
390.00	0.089024
391.00	0.087277
392.00	0.082527
393.00	0.079005
394.00	0.077097
395.00	0.075350
396.00	0.072404
397.00	0.069778
398.00	0.067678
399.00	0.065913
400.00	0.062826
401.00	0.060600
402.00	0.058110
403.00	0.056591
404.00	0.054993
405.00	0.051160
406.00	0.050510
407.00	0.048247
408.00	0.047025
409.00	0.045196
410.00	0.044102
411.00	0.041407
412.00	0.041684
413.00	0.038943
414.00	0.036923
415.00	0.036797
416.00	0.035394
417.00	0.034440
418.00	0.033389
419.00	0.033439
420.00	0.031559
421.00	0.030846
422.00	0.030639
423.00	0.029544
424.00	0.027851
425.00	0.027268
426.00	0.026826
427.00	0.026674
428.00	0.025798
429.00	0.025911
430.00	0.023368
431.00	0.022482
432.00	0.022676
433.00	0.022905
434.00	0.021686
435.00	0.021837
436.00	0.020100
437.00	0.018943
438.00	0.019085
439.00	0.019057
440.00	0.017196
441.00	0.018267
442.00	0.017981
443.00	0.017393
444.00	0.016970
445.00	0.016446
446.00	0.015682
447.00	0.015841
448.00	0.015235
449.00	0.015430
450.00	0.014822
451.00	0.014228
452.00	0.013701
453.00	0.013222
454.00	0.014005
455.00	0.012422
456.00	0.011188
457.00	0.012157
458.00	0.012064
459.00	0.011552
460.00	0.011452
461.00	0.010465
462.00	0.011469
463.00	0.0097127
464.00	0.0098458
465.00	0.010372
466.00	0.0091231
467.00	0.0089125
468.00	0.0086362
469.00	0.0092368
470.00	0.0088429
471.00	0.0079193
472.00	0.0076618
473.00	0.0074731
474.00	0.0081114
475.00	0.0077375
476.00	0.0074985
477.00	0.0066493
478.00	0.0066545
479.00	0.0068119
480.00	0.0061883
481.00	0.0057835
482.00	0.0049564
483.00	0.0061300
484.00	0.0039631
485.00	0.0054609
486.00	0.0051498
487.00	0.0043539
488.00	0.0050627
489.00	0.0044454
490.00	0.0036485
491.00	0.0034215
492.00	0.0033878
493.00	0.0044730
494.00	0.0042715
495.00	0.0032221
496.00	0.0030268
497.00	0.0026925
498.00	0.0023757
499.00	0.0021780
500.00	0.0018540
