Wavelength (nm)	D05 abs N
220.00	0.24106
220.25	0.24238
220.50	0.23657
220.75	0.24338
221.00	0.24165
221.25	0.24600
221.50	0.24267
221.75	0.24506
222.00	0.24976
222.25	0.25394
222.50	0.24637
222.75	0.25409
223.00	0.25598
223.25	0.25456
223.50	0.25854
223.75	0.25589
224.00	0.26456
224.25	0.27145
224.50	0.26953
224.75	0.26999
225.00	0.27125
225.25	0.27136
225.50	0.27267
225.75	0.27251
226.00	0.27106
226.25	0.27760
226.50	0.28141
226.75	0.27858
227.00	0.27675
227.25	0.28194
227.50	0.28683
227.75	0.28581
228.00	0.28746
228.25	0.28746
228.50	0.28487
228.75	0.28804
229.00	0.28987
229.25	0.29112
229.50	0.29465
229.75	0.28936
230.00	0.29727
230.25	0.30072
230.50	0.29637
230.75	0.29747
231.00	0.29625
231.25	0.29330
231.50	0.29652
231.75	0.30050
232.00	0.29823
232.25	0.29525
232.50	0.29671
232.75	0.29914
233.00	0.29606
233.25	0.29616
233.50	0.29654
233.75	0.29612
234.00	0.29081
234.25	0.29252
234.50	0.28543
234.75	0.28551
235.00	0.28236
235.25	0.28313
235.50	0.28251
235.75	0.28340
236.00	0.28262
236.25	0.27731
236.50	0.27595
236.75	0.27284
237.00	0.27671
237.25	0.27215
237.50	0.27591
237.75	0.27043
238.00	0.26087
238.25	0.25855
238.50	0.25566
238.75	0.25701
239.00	0.25071
239.25	0.24635
239.50	0.24902
239.75	0.23928
240.00	0.23574
240.25	0.23249
240.50	0.23015
240.75	0.22404
241.00	0.22327
241.25	0.21626
241.50	0.21292
241.75	0.21222
242.00	0.20380
242.25	0.20556
242.50	0.20221
242.75	0.19751
243.00	0.19397
243.25	0.18820
243.50	0.18733
243.75	0.18183
244.00	0.17821
244.25	0.17730
244.50	0.17298
244.75	0.17563
245.00	0.17114
245.25	0.16634
245.50	0.16406
245.75	0.15932
246.00	0.15411
246.25	0.14996
246.50	0.14453
246.75	0.14082
247.00	0.13986
247.25	0.13789
247.50	0.13070
247.75	0.12818
248.00	0.12062
248.25	0.11872
248.50	0.11508
248.75	0.11051
249.00	0.10802
249.25	0.10806
249.50	0.097935
249.75	0.097111
250.00	0.094758
250.25	0.092516
250.50	0.085486
250.75	0.082404
251.00	0.085066
251.25	0.080083
251.50	0.080613
251.75	0.078645
252.00	0.075324
252.25	0.078827
252.50	0.071741
252.75	0.070078
253.00	0.069342
253.25	0.068767
253.50	0.069536
253.75	0.065137
254.00	0.061361
254.25	0.062166
254.50	0.065385
254.75	0.063722
255.00	0.062525
255.25	0.063898
255.50	0.062506
255.75	0.061433
256.00	0.059810
256.25	0.055605
256.50	0.062154
256.75	0.059697
257.00	0.058298
257.25	0.059003
257.50	0.062661
257.75	0.059336
258.00	0.059674
258.25	0.059743
258.50	0.058170
258.75	0.060840
259.00	0.057371
259.25	0.062939
259.50	0.066405
259.75	0.063381
260.00	0.058354
260.25	0.065392
260.50	0.061657
260.75	0.061226
261.00	0.065014
261.25	0.065096
261.50	0.068245
261.75	0.070732
262.00	0.066561
262.25	0.065174
262.50	0.071811
262.75	0.071452
263.00	0.068373
263.25	0.072278
263.50	0.076368
263.75	0.075145
264.00	0.078625
264.25	0.078257
264.50	0.076886
264.75	0.081221
265.00	0.079043
265.25	0.079660
265.50	0.083092
265.75	0.083627
266.00	0.088519
266.25	0.085763
266.50	0.088140
266.75	0.088181
267.00	0.087877
267.25	0.091197
267.50	0.092553
267.75	0.095866
268.00	0.095940
268.25	0.093714
268.50	0.096259
268.75	0.098702
269.00	0.10064
269.25	0.099917
269.50	0.10623
269.75	0.10464
270.00	0.10730
270.25	0.10848
270.50	0.10984
270.75	0.11099
271.00	0.11458
271.25	0.11562
271.50	0.11418
271.75	0.11719
272.00	0.12036
272.25	0.12448
272.50	0.12588
272.75	0.12694
273.00	0.12947
273.25	0.12645
273.50	0.13220
273.75	0.13800
274.00	0.13446
274.25	0.14162
274.50	0.14365
274.75	0.13875
275.00	0.14655
275.25	0.14678
275.50	0.15480
275.75	0.15243
276.00	0.15476
276.25	0.15572
276.50	0.15987
276.75	0.16149
277.00	0.16362
277.25	0.16746
277.50	0.16936
277.75	0.16973
278.00	0.17289
278.25	0.18108
278.50	0.18029
278.75	0.18164
279.00	0.18094
279.25	0.18846
279.50	0.19146
279.75	0.19040
280.00	0.19535
280.25	0.19928
280.50	0.19811
280.75	0.20003
281.00	0.20693
281.25	0.20832
281.50	0.21507
281.75	0.21501
282.00	0.22165
282.25	0.22261
282.50	0.22369
282.75	0.22818
283.00	0.23377
283.25	0.23356
283.50	0.23804
283.75	0.24111
284.00	0.24401
284.25	0.24389
284.50	0.25152
284.75	0.24952
285.00	0.25591
285.25	0.25652
285.50	0.25949
285.75	0.26764
286.00	0.26819
286.25	0.27428
286.50	0.27381
286.75	0.28282
287.00	0.28380
287.25	0.28969
287.50	0.28744
287.75	0.29467
288.00	0.29463
288.25	0.30029
288.50	0.30215
288.75	0.31020
289.00	0.30785
289.25	0.30998
289.50	0.31675
289.75	0.32094
290.00	0.32473
290.25	0.32593
290.50	0.32385
290.75	0.33177
291.00	0.33573
291.25	0.33917
291.50	0.34610
291.75	0.34988
292.00	0.35062
292.25	0.35677
292.50	0.36064
292.75	0.36326
293.00	0.36513
293.25	0.37125
293.50	0.37695
293.75	0.37544
294.00	0.38973
294.25	0.38964
294.50	0.39389
294.75	0.39565
295.00	0.39705
295.25	0.40496
295.50	0.40880
295.75	0.40778
296.00	0.41576
296.25	0.42466
296.50	0.43362
296.75	0.43051
297.00	0.43690
297.25	0.44837
297.50	0.44956
297.75	0.45687
298.00	0.45816
298.25	0.46822
298.50	0.47037
298.75	0.48189
299.00	0.48462
299.25	0.48585
299.50	0.49605
299.75	0.49675
300.00	0.50649
300.25	0.50536
300.50	0.51669
300.75	0.51512
301.00	0.52520
301.25	0.52514
301.50	0.53478
301.75	0.53278
302.00	0.54372
302.25	0.54548
302.50	0.54030
302.75	0.54737
303.00	0.54956
303.25	0.55719
303.50	0.56142
303.75	0.56293
304.00	0.56219
304.25	0.56967
304.50	0.56635
304.75	0.57439
305.00	0.56831
305.25	0.58278
305.50	0.58632
305.75	0.58625
306.00	0.59275
306.25	0.59826
306.50	0.60335
306.75	0.60813
307.00	0.60613
307.25	0.61188
307.50	0.62144
307.75	0.63093
308.00	0.63291
