Wavelength (nm)	D06 ems
346.00	0.0031499
346.50	0.0030679
347.00	0.0031094
347.50	0.0031083
348.00	0.0032005
348.50	0.0032437
349.00	0.0032591
349.50	0.0034082
350.00	0.0035396
350.50	0.0036283
351.00	0.0035912
351.50	0.0037356
352.00	0.0036847
352.50	0.0036070
353.00	0.0036883
353.50	0.0034130
354.00	0.0033777
354.50	0.0030608
355.00	0.0031067
355.50	0.0030868
356.00	0.0030527
356.50	0.0030309
357.00	0.0031232
357.50	0.0031020
358.00	0.0031498
358.50	0.0033168
359.00	0.0032966
359.50	0.0035311
360.00	0.0036353
360.50	0.0038284
361.00	0.0040520
361.50	0.0042757
362.00	0.0044193
362.50	0.0048662
363.00	0.0051238
363.50	0.0056662
364.00	0.0058717
364.50	0.0066560
365.00	0.0071530
365.50	0.0082169
366.00	0.0090106
366.50	0.010357
367.00	0.011644
367.50	0.014216
368.00	0.015841
368.50	0.019339
369.00	0.022688
369.50	0.028214
370.00	0.031747
370.50	0.038045
371.00	0.041984
371.50	0.048266
372.00	0.051516
372.50	0.056083
373.00	0.058620
373.50	0.063144
374.00	0.065496
374.50	0.069965
375.00	0.072920
375.50	0.078467
376.00	0.081232
376.50	0.086736
377.00	0.089672
377.50	0.093453
378.00	0.095385
378.50	0.098000
379.00	0.099576
379.50	0.10126
380.00	0.10209
380.50	0.10341
381.00	0.10502
381.50	0.10619
382.00	0.10729
382.50	0.11091
383.00	0.11297
383.50	0.11794
384.00	0.12098
384.50	0.12665
385.00	0.13235
385.50	0.14365
386.00	0.14818
386.50	0.16134
387.00	0.17167
387.50	0.18922
388.00	0.19891
388.50	0.21783
389.00	0.23360
389.50	0.25762
390.00	0.27302
390.50	0.29742
391.00	0.31692
391.50	0.34715
392.00	0.36352
392.50	0.39134
393.00	0.41155
393.50	0.44079
394.00	0.45831
394.50	0.48284
395.00	0.49981
395.50	0.52485
396.00	0.53652
396.50	0.55163
397.00	0.56250
397.50	0.57722
398.00	0.58307
398.50	0.59097
399.00	0.59431
399.50	0.59960
400.00	0.60024
400.50	0.59888
401.00	0.59764
401.50	0.59365
402.00	0.59074
402.50	0.58664
403.00	0.58310
403.50	0.57625
404.00	0.57344
404.50	0.56781
405.00	0.56489
405.50	0.56366
406.00	0.56193
406.50	0.56368
407.00	0.56315
407.50	0.56941
408.00	0.57345
408.50	0.58077
409.00	0.58704
409.50	0.60054
410.00	0.60860
410.50	0.62478
411.00	0.63523
411.50	0.65499
412.00	0.66676
412.50	0.68534
413.00	0.70052
413.50	0.72238
414.00	0.73424
414.50	0.75423
415.00	0.77008
415.50	0.79439
416.00	0.80694
416.50	0.82944
417.00	0.84588
417.50	0.86759
418.00	0.87989
418.50	0.89752
419.00	0.91070
419.50	0.93015
420.00	0.93776
420.50	0.95392
421.00	0.96414
421.50	0.97721
422.00	0.97981
422.50	0.99031
423.00	0.99416
423.50	0.99689
424.00	0.99956
424.50	0.99871
425.00	1.0000
425.50	0.99736
426.00	0.99486
426.50	0.98697
427.00	0.98267
427.50	0.97221
428.00	0.96552
428.50	0.95613
429.00	0.95183
429.50	0.93870
430.00	0.93241
430.50	0.92127
431.00	0.91550
431.50	0.90513
432.00	0.89998
432.50	0.89217
433.00	0.88701
433.50	0.88205
434.00	0.87932
434.50	0.87417
435.00	0.87174
435.50	0.87260
436.00	0.87210
436.50	0.87128
