Wavelength (nm)	D07 abs N
290.00	0.45883
290.25	0.46102
290.50	0.46164
290.75	0.46757
291.00	0.46691
291.25	0.47010
291.50	0.47201
291.75	0.47444
292.00	0.47657
292.25	0.47809
292.50	0.47969
292.75	0.47884
293.00	0.48077
293.25	0.48046
293.50	0.48537
293.75	0.48754
294.00	0.48772
294.25	0.48920
294.50	0.48961
294.75	0.49019
295.00	0.48981
295.25	0.49089
295.50	0.49399
295.75	0.49569
296.00	0.49742
296.25	0.49830
296.50	0.49985
296.75	0.49837
297.00	0.49876
297.25	0.50222
297.50	0.50347
297.75	0.50228
298.00	0.50279
298.25	0.50341
298.50	0.50144
298.75	0.50333
299.00	0.50306
299.25	0.50415
299.50	0.50601
299.75	0.50422
300.00	0.50373
300.25	0.50468
300.50	0.50515
300.75	0.50451
301.00	0.50353
301.25	0.50277
301.50	0.50202
301.75	0.50088
302.00	0.49918
302.25	0.49838
302.50	0.49647
302.75	0.49670
303.00	0.49842
303.25	0.49341
303.50	0.49295
303.75	0.49278
304.00	0.48806
304.25	0.48838
304.50	0.48972
304.75	0.48438
305.00	0.48413
305.25	0.48269
305.50	0.48204
305.75	0.47789
306.00	0.47540
306.25	0.47469
306.50	0.47388
306.75	0.47005
307.00	0.46754
307.25	0.46471
307.50	0.46145
307.75	0.46025
308.00	0.45766
308.25	0.45478
308.50	0.45475
308.75	0.44869
309.00	0.44694
309.25	0.44637
309.50	0.44422
309.75	0.44166
310.00	0.43873
310.25	0.42842
310.50	0.43379
310.75	0.42680
311.00	0.42104
311.25	0.42262
311.50	0.42452
311.75	0.40891
312.00	0.41025
312.25	0.41303
312.50	0.41398
312.75	0.41120
313.00	0.40276
313.25	0.40009
313.50	0.40464
313.75	0.39671
314.00	0.39041
314.25	0.39233
314.50	0.38763
314.75	0.37691
315.00	0.37414
315.25	0.38364
315.50	0.37556
315.75	0.36908
316.00	0.36765
316.25	0.35975
316.50	0.35932
316.75	0.35222
317.00	0.33926
317.25	0.34508
317.50	0.34452
317.75	0.33899
318.00	0.33915
318.25	0.33036
318.50	0.33365
318.75	0.32612
319.00	0.32034
319.25	0.31910
319.50	0.31513
319.75	0.30834
320.00	0.31070
320.25	0.30003
320.50	0.30722
320.75	0.30549
321.00	0.29986
321.25	0.29363
321.50	0.29127
321.75	0.29768
322.00	0.28748
322.25	0.28867
322.50	0.28457
322.75	0.28114
323.00	0.26730
323.25	0.27448
323.50	0.26552
323.75	0.26830
324.00	0.26618
324.25	0.26226
324.50	0.25772
324.75	0.25727
325.00	0.25452
325.25	0.24879
325.50	0.24960
325.75	0.24446
326.00	0.24559
326.25	0.23816
326.50	0.24025
326.75	0.23972
327.00	0.23476
327.25	0.22857
327.50	0.23095
327.75	0.22296
328.00	0.22489
328.25	0.21877
328.50	0.22040
328.75	0.21492
329.00	0.21320
329.25	0.21204
329.50	0.22072
329.75	0.20471
330.00	0.20357
330.25	0.19793
330.50	0.20767
330.75	0.20397
331.00	0.19447
331.25	0.19426
331.50	0.19013
331.75	0.19765
332.00	0.18819
332.25	0.18944
332.50	0.18658
332.75	0.18651
333.00	0.18531
333.25	0.18006
333.50	0.17802
333.75	0.17974
334.00	0.17816
334.25	0.17332
334.50	0.17355
334.75	0.16936
335.00	0.17213
335.25	0.17249
335.50	0.17354
335.75	0.16727
336.00	0.16649
336.25	0.16189
336.50	0.16545
336.75	0.15954
337.00	0.16224
337.25	0.16022
337.50	0.16051
337.75	0.15629
338.00	0.16025
338.25	0.15871
338.50	0.15271
338.75	0.15377
339.00	0.15112
339.25	0.14968
339.50	0.14738
339.75	0.15162
340.00	0.14981
340.25	0.14988
340.50	0.14227
340.75	0.14721
341.00	0.14526
341.25	0.14463
341.50	0.14274
341.75	0.14356
342.00	0.14177
342.25	0.13784
342.50	0.13985
342.75	0.14189
343.00	0.14328
343.25	0.14194
343.50	0.13556
343.75	0.13926
344.00	0.14053
344.25	0.13290
344.50	0.13941
344.75	0.13345
345.00	0.14105
345.25	0.14001
345.50	0.13963
345.75	0.13720
346.00	0.13989
346.25	0.13674
346.50	0.13681
346.75	0.13982
347.00	0.13773
347.25	0.13679
347.50	0.13488
347.75	0.13633
348.00	0.13605
348.25	0.13846
348.50	0.13952
348.75	0.13716
349.00	0.14121
349.25	0.14047
349.50	0.14118
349.75	0.14110
350.00	0.13657
350.25	0.14025
350.50	0.14182
350.75	0.14366
351.00	0.14450
351.25	0.14257
351.50	0.14534
351.75	0.14557
352.00	0.14642
352.25	0.14560
352.50	0.14734
352.75	0.15000
353.00	0.14955
353.25	0.15344
353.50	0.15655
353.75	0.14849
354.00	0.15510
354.25	0.15469
354.50	0.15484
354.75	0.15851
355.00	0.15995
355.25	0.16339
355.50	0.16224
355.75	0.16194
356.00	0.16339
356.25	0.16685
356.50	0.16776
356.75	0.16545
357.00	0.16910
357.25	0.16998
357.50	0.17502
357.75	0.17511
358.00	0.17760
358.25	0.17417
358.50	0.18486
358.75	0.18610
359.00	0.18585
359.25	0.19049
359.50	0.18791
359.75	0.19239
360.00	0.19420
360.25	0.19238
360.50	0.19470
360.75	0.19667
361.00	0.19951
361.25	0.20409
361.50	0.20607
361.75	0.21072
362.00	0.21094
362.25	0.21336
362.50	0.20940
362.75	0.21379
363.00	0.21576
363.25	0.22162
363.50	0.22069
363.75	0.22861
364.00	0.22836
364.25	0.22742
364.50	0.22879
364.75	0.23203
365.00	0.23443
365.25	0.23855
365.50	0.24012
365.75	0.24037
366.00	0.24548
366.25	0.24837
366.50	0.24968
