Wavelength (nm)	D07 ems
450.00	0.00051708
451.00	0.00075250
452.00	0.0010421
453.00	0.0018928
454.00	0.0030373
455.00	0.0035834
456.00	0.0031364
457.00	0.0021038
458.00	0.0011915
459.00	0.00077374
460.00	0.00068851
461.00	0.00065228
462.00	0.00072879
463.00	0.00075700
464.00	0.00076466
465.00	0.00081700
466.00	0.00089073
467.00	0.00096434
468.00	0.0010694
469.00	0.0011165
470.00	0.0012366
471.00	0.0013663
472.00	0.0015734
473.00	0.0016840
474.00	0.0019250
475.00	0.0021991
476.00	0.0024978
477.00	0.0027643
478.00	0.0031044
479.00	0.0036431
480.00	0.0041141
481.00	0.0046816
482.00	0.0054237
483.00	0.0061936
484.00	0.0069124
485.00	0.0080837
486.00	0.0090214
487.00	0.010226
488.00	0.011400
489.00	0.012916
490.00	0.014531
491.00	0.016353
492.00	0.018154
493.00	0.020495
494.00	0.022982
495.00	0.025434
496.00	0.028516
497.00	0.031619
498.00	0.035203
499.00	0.039363
500.00	0.043661
501.00	0.047885
502.00	0.053577
503.00	0.059125
504.00	0.065730
505.00	0.072423
506.00	0.079516
507.00	0.087214
508.00	0.095121
509.00	0.10324
510.00	0.11170
511.00	0.12046
512.00	0.13011
513.00	0.14012
514.00	0.15110
515.00	0.16276
516.00	0.17411
517.00	0.18701
518.00	0.19876
519.00	0.21183
520.00	0.22667
521.00	0.23963
522.00	0.25508
523.00	0.26983
524.00	0.28595
525.00	0.30185
526.00	0.31927
527.00	0.33743
528.00	0.35532
529.00	0.37267
530.00	0.39067
531.00	0.40888
532.00	0.42773
533.00	0.44459
534.00	0.46273
535.00	0.47982
536.00	0.49773
537.00	0.51517
538.00	0.53333
539.00	0.55149
540.00	0.56956
541.00	0.58560
542.00	0.60302
543.00	0.61751
544.00	0.63436
545.00	0.65183
546.00	0.66778
547.00	0.68424
548.00	0.69888
549.00	0.71578
550.00	0.72771
551.00	0.74389
552.00	0.75931
553.00	0.77279
554.00	0.78688
555.00	0.80083
556.00	0.81291
557.00	0.82556
558.00	0.83578
559.00	0.84680
560.00	0.85746
561.00	0.86801
562.00	0.87829
563.00	0.88553
564.00	0.89238
565.00	0.90395
566.00	0.91039
567.00	0.91991
568.00	0.92700
569.00	0.93522
570.00	0.94010
571.00	0.94711
572.00	0.95216
573.00	0.95858
574.00	0.96334
575.00	0.96989
576.00	0.97268
577.00	0.97699
578.00	0.98081
579.00	0.98532
580.00	0.98672
581.00	0.99120
582.00	0.99300
583.00	0.99572
584.00	0.99637
585.00	0.99748
586.00	0.99852
587.00	0.99861
588.00	1.0000
589.00	0.99741
590.00	0.99838
591.00	0.99836
592.00	0.99431
593.00	0.99294
594.00	0.99080
595.00	0.99036
596.00	0.98816
597.00	0.98742
598.00	0.98335
599.00	0.97799
600.00	0.97216
601.00	0.96667
602.00	0.96413
603.00	0.95769
604.00	0.95590
605.00	0.95071
606.00	0.94446
607.00	0.94081
608.00	0.93734
609.00	0.92768
610.00	0.92080
611.00	0.91591
612.00	0.91151
613.00	0.90373
614.00	0.89605
615.00	0.88955
616.00	0.88245
617.00	0.87558
618.00	0.86859
619.00	0.86085
620.00	0.85164
621.00	0.84765
622.00	0.84385
623.00	0.83041
624.00	0.82463
625.00	0.81574
626.00	0.80347
627.00	0.79380
628.00	0.78361
629.00	0.77848
630.00	0.77017
631.00	0.76325
632.00	0.75361
633.00	0.74653
634.00	0.74009
635.00	0.73164
636.00	0.72384
637.00	0.71298
638.00	0.70343
639.00	0.69520
640.00	0.68812
641.00	0.67762
642.00	0.67021
643.00	0.66148
644.00	0.64962
645.00	0.64281
646.00	0.63611
647.00	0.62899
648.00	0.61919
649.00	0.60968
650.00	0.60196
651.00	0.59257
652.00	0.58832
653.00	0.57723
654.00	0.57034
655.00	0.56482
656.00	0.55275
657.00	0.54816
658.00	0.53666
