Wavelength (nm)	D08 abs N
200.00	0.47621
201.00	0.50510
202.00	0.51436
203.00	0.50870
204.00	0.48758
205.00	0.46639
206.00	0.44911
207.00	0.43332
208.00	0.42140
209.00	0.41174
210.00	0.40237
211.00	0.39278
212.00	0.38310
213.00	0.37311
214.00	0.36480
215.00	0.35558
216.00	0.34664
217.00	0.33680
218.00	0.32665
219.00	0.31605
220.00	0.30497
221.00	0.29408
222.00	0.28399
223.00	0.27466
224.00	0.26574
225.00	0.25779
226.00	0.25060
227.00	0.24447
228.00	0.23925
229.00	0.23500
230.00	0.23147
231.00	0.22842
232.00	0.22513
233.00	0.22197
234.00	0.21936
235.00	0.21719
236.00	0.21528
237.00	0.21324
238.00	0.21139
239.00	0.20972
240.00	0.20814
241.00	0.20667
242.00	0.20537
243.00	0.20397
244.00	0.20258
245.00	0.20145
246.00	0.20066
247.00	0.20050
248.00	0.20105
249.00	0.20204
250.00	0.20377
251.00	0.20572
252.00	0.20760
253.00	0.20965
254.00	0.21167
255.00	0.21385
256.00	0.21624
257.00	0.21819
258.00	0.21981
259.00	0.22116
260.00	0.22205
261.00	0.22283
262.00	0.22365
263.00	0.22369
264.00	0.22307
265.00	0.22203
266.00	0.21958
267.00	0.21687
268.00	0.21373
269.00	0.21003
270.00	0.20540
271.00	0.20005
272.00	0.19401
273.00	0.18826
274.00	0.18266
275.00	0.17678
276.00	0.17074
277.00	0.16480
278.00	0.15857
279.00	0.15226
280.00	0.14608
281.00	0.14012
282.00	0.13444
283.00	0.12924
284.00	0.12439
285.00	0.11955
286.00	0.11578
287.00	0.11274
288.00	0.11079
289.00	0.10943
290.00	0.10845
291.00	0.10779
292.00	0.10727
293.00	0.10712
294.00	0.10710
295.00	0.10719
296.00	0.10720
297.00	0.10735
298.00	0.10724
299.00	0.10702
300.00	0.10699
301.00	0.10701
302.00	0.10698
303.00	0.10731
304.00	0.10723
305.00	0.10671
306.00	0.10659
307.00	0.10667
308.00	0.10686
309.00	0.10692
310.00	0.10702
311.00	0.10695
312.00	0.10701
313.00	0.10707
314.00	0.10734
315.00	0.10784
316.00	0.10844
317.00	0.10883
318.00	0.10911
319.00	0.10999
320.00	0.11060
321.00	0.11188
322.00	0.11318
323.00	0.11428
324.00	0.11575
325.00	0.11735
326.00	0.11885
327.00	0.12103
328.00	0.12325
329.00	0.12583
330.00	0.12816
331.00	0.13045
332.00	0.13365
333.00	0.13668
334.00	0.14019
335.00	0.14375
336.00	0.14725
337.00	0.15113
338.00	0.15497
339.00	0.15910
340.00	0.16355
341.00	0.16810
342.00	0.17295
343.00	0.17723
344.00	0.18196
345.00	0.18648
346.00	0.19133
347.00	0.19629
348.00	0.20137
349.00	0.20667
350.00	0.21207
351.00	0.21676
352.00	0.22186
353.00	0.22768
354.00	0.23313
355.00	0.23862
356.00	0.24445
357.00	0.24983
358.00	0.25489
359.00	0.26080
360.00	0.26719
361.00	0.27354
362.00	0.28009
363.00	0.28624
364.00	0.29273
365.00	0.29945
366.00	0.30683
367.00	0.31478
368.00	0.32244
369.00	0.33051
370.00	0.33846
371.00	0.34594
372.00	0.35406
373.00	0.36357
374.00	0.37316
375.00	0.38250
376.00	0.39150
377.00	0.40051
378.00	0.41068
379.00	0.42127
380.00	0.43192
381.00	0.44394
382.00	0.45566
383.00	0.46717
384.00	0.47895
385.00	0.49252
386.00	0.50691
387.00	0.52094
388.00	0.53556
389.00	0.54890
390.00	0.56233
391.00	0.57700
392.00	0.59418
393.00	0.60896
