Wavelength (nm)	D10 abs N
200.00	0.63458
201.00	0.61349
202.00	0.59550
203.00	0.57963
204.00	0.56658
205.00	0.55343
206.00	0.54055
207.00	0.52731
208.00	0.51318
209.00	0.49948
210.00	0.48467
211.00	0.46871
212.00	0.45223
213.00	0.43618
214.00	0.42005
215.00	0.40539
216.00	0.39116
217.00	0.37656
218.00	0.36209
219.00	0.34849
220.00	0.33544
221.00	0.32323
222.00	0.31294
223.00	0.30242
224.00	0.29178
225.00	0.28205
226.00	0.27219
227.00	0.26386
228.00	0.25652
229.00	0.25063
230.00	0.24468
231.00	0.23929
232.00	0.23476
233.00	0.23030
234.00	0.22651
235.00	0.22397
236.00	0.22177
237.00	0.21970
238.00	0.21833
239.00	0.21708
240.00	0.21588
241.00	0.21472
242.00	0.21401
243.00	0.21328
244.00	0.21257
245.00	0.21156
246.00	0.21042
247.00	0.20947
248.00	0.20816
249.00	0.20749
250.00	0.20677
251.00	0.20677
252.00	0.20707
253.00	0.20760
254.00	0.20807
255.00	0.20851
256.00	0.20869
257.00	0.20849
258.00	0.20848
259.00	0.20959
260.00	0.21006
261.00	0.21122
262.00	0.21244
263.00	0.21422
264.00	0.21627
265.00	0.21795
266.00	0.21959
267.00	0.22071
268.00	0.22057
269.00	0.22055
270.00	0.22020
271.00	0.22027
272.00	0.21961
273.00	0.21853
274.00	0.21702
275.00	0.21465
276.00	0.21266
277.00	0.21082
278.00	0.20904
279.00	0.20639
280.00	0.20330
281.00	0.20044
282.00	0.19682
283.00	0.19305
284.00	0.18913
285.00	0.18431
286.00	0.17953
287.00	0.17395
288.00	0.16872
289.00	0.16378
290.00	0.15898
291.00	0.15440
292.00	0.14960
293.00	0.14463
294.00	0.14022
295.00	0.13610
296.00	0.13230
297.00	0.12813
298.00	0.12427
299.00	0.12078
300.00	0.11756
301.00	0.11493
302.00	0.11239
303.00	0.11076
304.00	0.10876
305.00	0.10735
306.00	0.10651
307.00	0.10539
308.00	0.10502
309.00	0.10528
310.00	0.10545
311.00	0.10559
