Wavelength (nm)	E01 abs N
210.00	0.14067
211.00	0.11790
212.00	0.10784
213.00	0.10487
214.00	0.10591
215.00	0.10911
216.00	0.11391
217.00	0.11949
218.00	0.12621
219.00	0.13306
220.00	0.14067
221.00	0.14886
222.00	0.15827
223.00	0.16846
224.00	0.17957
225.00	0.19109
226.00	0.20411
227.00	0.21901
228.00	0.23612
229.00	0.25353
230.00	0.27218
231.00	0.29322
232.00	0.31792
233.00	0.34686
234.00	0.37495
235.00	0.40341
236.00	0.43295
237.00	0.46902
238.00	0.51381
239.00	0.55668
240.00	0.59440
241.00	0.62891
242.00	0.66568
243.00	0.71777
244.00	0.77573
245.00	0.81913
246.00	0.84674
247.00	0.86464
248.00	0.88985
249.00	0.93616
250.00	0.98334
251.00	1.0000
252.00	0.98657
253.00	0.96032
254.00	0.94410
255.00	0.95520
256.00	0.97468
257.00	0.96165
258.00	0.90761
259.00	0.83641
260.00	0.77355
261.00	0.73447
262.00	0.71680
263.00	0.69295
264.00	0.63804
265.00	0.56109
266.00	0.47987
267.00	0.40740
268.00	0.34508
269.00	0.29206
270.00	0.24746
271.00	0.21035
272.00	0.17853
273.00	0.15184
274.00	0.12870
275.00	0.10903
276.00	0.091845
277.00	0.077062
278.00	0.064295
279.00	0.053256
280.00	0.043899
281.00	0.035959
282.00	0.029391
283.00	0.023748
284.00	0.019050
285.00	0.015320
286.00	0.012271
287.00	0.0097844
288.00	0.0078558
289.00	0.0064628
290.00	0.0052277
291.00	0.0042188
292.00	0.0036264
293.00	0.0033353
294.00	0.0028509
295.00	0.0026514
296.00	0.0025333
297.00	0.0020888
298.00	0.0019913
299.00	0.0020292
300.00	0.0020466
301.00	0.0020064
302.00	0.0021666
303.00	0.0020201
304.00	0.0019175
305.00	0.0017848
306.00	0.0019427
307.00	0.0020791
308.00	0.0020073
309.00	0.0018232
310.00	0.0014584
311.00	0.0016639
312.00	0.0018626
313.00	0.0017408
314.00	0.0017550
315.00	0.0018228
316.00	0.0017848
317.00	0.0017770
318.00	0.0017729
319.00	0.0018287
320.00	0.0016877
321.00	0.0015788
322.00	0.0017793
323.00	0.0016699
324.00	0.0015536
325.00	0.0014039
326.00	0.0017024
327.00	0.0016955
328.00	0.0018466
329.00	0.0016855
330.00	0.0013815
331.00	0.0013696
332.00	0.0015541
333.00	0.0014346
334.00	0.0013920
335.00	0.0015129
336.00	0.0012446
337.00	0.0012561
338.00	0.0013055
339.00	0.0013394
340.00	0.0015408
341.00	0.0014401
342.00	0.0013641
343.00	0.0015664
344.00	0.0012849
345.00	0.0013801
346.00	0.0013096
347.00	0.0012162
348.00	0.0013833
349.00	0.0012918
350.00	0.0014099
