Wavelength (nm)	E02 abs N
240.00	0.11488
241.00	0.098582
242.00	0.082296
243.00	0.078607
244.00	0.077792
245.00	0.080506
246.00	0.085239
247.00	0.092291
248.00	0.10118
249.00	0.11216
250.00	0.12577
251.00	0.14184
252.00	0.16017
253.00	0.18142
254.00	0.20537
255.00	0.23221
256.00	0.26215
257.00	0.29455
258.00	0.33044
259.00	0.36911
260.00	0.41130
261.00	0.45519
262.00	0.50026
263.00	0.54869
264.00	0.59836
265.00	0.64777
266.00	0.69830
267.00	0.74638
268.00	0.79289
269.00	0.83869
270.00	0.87914
271.00	0.91399
272.00	0.94644
273.00	0.97109
274.00	0.98845
275.00	0.99906
276.00	1.0000
277.00	0.99194
278.00	0.97859
279.00	0.95570
280.00	0.92182
281.00	0.88287
282.00	0.83770
283.00	0.78772
284.00	0.73676
285.00	0.68501
286.00	0.63474
287.00	0.58610
288.00	0.54002
289.00	0.49730
290.00	0.45730
291.00	0.42061
292.00	0.38693
293.00	0.35600
294.00	0.32744
295.00	0.30101
296.00	0.27674
297.00	0.25393
298.00	0.23235
299.00	0.21273
300.00	0.19413
301.00	0.17668
302.00	0.16105
303.00	0.14640
304.00	0.13352
305.00	0.12159
306.00	0.11033
307.00	0.099815
308.00	0.089921
309.00	0.080454
310.00	0.072101
311.00	0.063785
312.00	0.056720
313.00	0.050442
314.00	0.044637
315.00	0.039715
316.00	0.035572
317.00	0.031355
318.00	0.028197
319.00	0.025110
320.00	0.022486
321.00	0.019649
322.00	0.017538
323.00	0.015599
324.00	0.013341
325.00	0.011841
326.00	0.010222
327.00	0.0090205
328.00	0.0080185
329.00	0.0073140
330.00	0.0061584
331.00	0.0055617
332.00	0.0051300
333.00	0.0046407
334.00	0.0043403
335.00	0.0038906
336.00	0.0037744
337.00	0.0037106
338.00	0.0034849
339.00	0.0033473
340.00	0.0033979
341.00	0.0031582
342.00	0.0030318
343.00	0.0030057
344.00	0.0031423
345.00	0.0030079
346.00	0.0030385
347.00	0.0028495
348.00	0.0027096
349.00	0.0026569
350.00	0.0024248
