Wavelength (nm)	E04 abs N
210.00	0.65590
211.00	0.62520
212.00	0.59008
213.00	0.54794
214.00	0.49917
215.00	0.44499
216.00	0.39010
217.00	0.34014
218.00	0.29657
219.00	0.26200
220.00	0.23468
221.00	0.21484
222.00	0.20122
223.00	0.19283
224.00	0.18867
225.00	0.18798
226.00	0.18991
227.00	0.19388
228.00	0.19958
229.00	0.20647
230.00	0.21465
231.00	0.22338
232.00	0.23215
233.00	0.24207
234.00	0.25195
235.00	0.26263
236.00	0.27452
237.00	0.28797
238.00	0.30353
239.00	0.32114
240.00	0.34228
241.00	0.36719
242.00	0.39591
243.00	0.42946
244.00	0.46797
245.00	0.51072
246.00	0.55839
247.00	0.61013
248.00	0.66501
249.00	0.72066
250.00	0.77688
251.00	0.83119
252.00	0.88104
253.00	0.92535
254.00	0.96039
255.00	0.98601
256.00	0.99962
257.00	1.0000
258.00	0.98603
259.00	0.95745
260.00	0.91467
261.00	0.85930
262.00	0.79457
263.00	0.72364
264.00	0.65243
265.00	0.58420
266.00	0.52110
267.00	0.46506
268.00	0.41654
269.00	0.37560
270.00	0.34184
271.00	0.31339
272.00	0.28908
273.00	0.26906
274.00	0.25174
275.00	0.23703
276.00	0.22374
277.00	0.21208
278.00	0.20174
279.00	0.19195
280.00	0.18286
281.00	0.17411
282.00	0.16591
283.00	0.15775
284.00	0.14967
285.00	0.14192
286.00	0.13434
287.00	0.12648
288.00	0.11871
289.00	0.11099
290.00	0.10306
291.00	0.095119
292.00	0.087436
293.00	0.080015
294.00	0.072993
295.00	0.065792
296.00	0.059304
297.00	0.052918
298.00	0.047012
299.00	0.041043
300.00	0.035792
301.00	0.030902
302.00	0.026295
303.00	0.022033
304.00	0.018177
305.00	0.015105
306.00	0.012514
307.00	0.010308
308.00	0.0085540
309.00	0.0070227
310.00	0.0060724
311.00	0.0051807
312.00	0.0044237
313.00	0.0041522
314.00	0.0036583
315.00	0.0032214
316.00	0.0032102
317.00	0.0031320
318.00	0.0030281
319.00	0.0028454
320.00	0.0029644
321.00	0.0026734
322.00	0.0024409
323.00	0.0025046
324.00	0.0025560
325.00	0.0026063
326.00	0.0024868
327.00	0.0022057
328.00	0.0021957
329.00	0.0022063
330.00	0.0021661
331.00	0.0021862
332.00	0.0022594
333.00	0.0022817
334.00	0.0021091
335.00	0.0021108
336.00	0.0021845
337.00	0.0020761
338.00	0.0020577
339.00	0.0022069
340.00	0.0020817
341.00	0.0021130
342.00	0.0021594
343.00	0.0020471
344.00	0.0021074
345.00	0.0018683
346.00	0.0019996
347.00	0.0022152
348.00	0.0021208
349.00	0.0021415
350.00	0.0020370
