Wavelength (nm)	E05 abs N
215.00	0.89950
216.00	0.85863
217.00	0.82120
218.00	0.78377
219.00	0.74359
220.00	0.68987
221.00	0.62598
222.00	0.55787
223.00	0.49396
224.00	0.43711
225.00	0.38940
226.00	0.34979
227.00	0.31805
228.00	0.29256
229.00	0.27480
230.00	0.26351
231.00	0.25883
232.00	0.25963
233.00	0.26467
234.00	0.27340
235.00	0.28480
236.00	0.29868
237.00	0.31489
238.00	0.33310
239.00	0.35171
240.00	0.37169
241.00	0.39297
242.00	0.41569
243.00	0.44085
244.00	0.46809
245.00	0.49674
246.00	0.52692
247.00	0.55823
248.00	0.59114
249.00	0.62543
250.00	0.66088
251.00	0.69542
252.00	0.72699
253.00	0.75794
254.00	0.78948
255.00	0.82292
256.00	0.85808
257.00	0.89057
258.00	0.91441
259.00	0.93013
260.00	0.94228
261.00	0.95375
262.00	0.96988
263.00	0.98388
264.00	0.99837
265.00	1.0000
266.00	0.99007
267.00	0.97423
268.00	0.96464
269.00	0.95281
270.00	0.94193
271.00	0.93485
272.00	0.92758
273.00	0.91534
274.00	0.90316
275.00	0.88981
276.00	0.87259
277.00	0.85603
278.00	0.83699
279.00	0.81526
280.00	0.79234
281.00	0.76829
282.00	0.74422
283.00	0.71897
284.00	0.69238
285.00	0.66566
286.00	0.63740
287.00	0.61061
288.00	0.58387
289.00	0.55720
290.00	0.52939
291.00	0.50187
292.00	0.47432
293.00	0.44719
294.00	0.42072
295.00	0.39436
296.00	0.36813
297.00	0.34263
298.00	0.31759
299.00	0.29410
300.00	0.27164
301.00	0.25010
302.00	0.22887
303.00	0.20878
304.00	0.19047
305.00	0.17329
306.00	0.15759
307.00	0.14300
308.00	0.12956
309.00	0.11738
310.00	0.10628
311.00	0.096431
312.00	0.088097
313.00	0.080727
314.00	0.074195
315.00	0.068113
316.00	0.062685
317.00	0.057853
318.00	0.053608
319.00	0.050176
320.00	0.047223
321.00	0.044592
322.00	0.042403
323.00	0.040398
324.00	0.038752
325.00	0.037261
326.00	0.036196
327.00	0.035258
328.00	0.034231
329.00	0.033497
330.00	0.032811
331.00	0.031967
332.00	0.031282
333.00	0.030909
334.00	0.030192
335.00	0.029762
336.00	0.029165
337.00	0.028440
338.00	0.028085
339.00	0.027507
340.00	0.026904
341.00	0.026354
342.00	0.025803
343.00	0.025130
344.00	0.024795
345.00	0.024355
346.00	0.023781
347.00	0.023178
348.00	0.022533
349.00	0.021940
350.00	0.021394
351.00	0.020847
352.00	0.020309
353.00	0.019943
354.00	0.019215
355.00	0.018801
356.00	0.018341
357.00	0.017786
358.00	0.017189
359.00	0.016662
360.00	0.015883
361.00	0.015223
362.00	0.014734
363.00	0.014476
364.00	0.014078
365.00	0.013494
366.00	0.013010
367.00	0.012503
368.00	0.012162
369.00	0.011588
370.00	0.011034
371.00	0.010826
372.00	0.0099987
373.00	0.010019
374.00	0.0092613
375.00	0.0090245
376.00	0.0085463
377.00	0.0082884
378.00	0.0082062
379.00	0.0079561
380.00	0.0075329
381.00	0.0069715
382.00	0.0065256
383.00	0.0064782
384.00	0.0066465
385.00	0.0064524
386.00	0.0058648
387.00	0.0054748
388.00	0.0049999
389.00	0.0048325
390.00	0.0047959
391.00	0.0051063
392.00	0.0048071
393.00	0.0042819
394.00	0.0038471
395.00	0.0035518
396.00	0.0038811
397.00	0.0042466
398.00	0.0038368
399.00	0.0035036
400.00	0.0014320
