Wavelength (nm)	E07 abs N
200.00	0.49464
201.00	0.52706
202.00	0.55953
203.00	0.59407
204.00	0.62887
205.00	0.66315
206.00	0.69879
207.00	0.73434
208.00	0.77188
209.00	0.81332
210.00	0.86026
211.00	0.90610
212.00	0.94334
213.00	0.96940
214.00	0.98914
215.00	1.0000
216.00	0.99687
217.00	0.97710
218.00	0.93403
219.00	0.86587
220.00	0.78362
221.00	0.71049
222.00	0.64335
223.00	0.57693
224.00	0.51757
225.00	0.47495
226.00	0.43927
227.00	0.40790
228.00	0.39668
229.00	0.40367
230.00	0.39039
231.00	0.34336
232.00	0.29433
233.00	0.26744
234.00	0.25682
235.00	0.24600
236.00	0.24539
237.00	0.26133
238.00	0.25853
239.00	0.21236
240.00	0.14629
241.00	0.092953
242.00	0.060188
243.00	0.041651
244.00	0.031937
245.00	0.026950
246.00	0.024338
247.00	0.023046
248.00	0.022450
249.00	0.022213
250.00	0.022203
251.00	0.022376
252.00	0.022650
253.00	0.022964
254.00	0.023306
255.00	0.023731
256.00	0.024088
257.00	0.024520
258.00	0.024936
259.00	0.025306
260.00	0.025700
261.00	0.026122
262.00	0.026451
263.00	0.026836
264.00	0.027198
265.00	0.027611
266.00	0.028093
267.00	0.028603
268.00	0.029036
269.00	0.029583
270.00	0.030114
271.00	0.030829
272.00	0.031404
273.00	0.032013
274.00	0.032627
275.00	0.033331
276.00	0.034126
277.00	0.035053
278.00	0.036032
279.00	0.037080
280.00	0.038057
281.00	0.038985
282.00	0.039889
283.00	0.040781
284.00	0.041823
285.00	0.042873
286.00	0.044111
287.00	0.045341
288.00	0.046355
289.00	0.047103
290.00	0.047479
291.00	0.047452
292.00	0.047100
293.00	0.046429
294.00	0.045804
295.00	0.045260
296.00	0.045091
297.00	0.045010
298.00	0.044690
299.00	0.043829
300.00	0.042335
301.00	0.039971
302.00	0.036820
303.00	0.033258
304.00	0.029388
305.00	0.025483
306.00	0.021847
307.00	0.018399
308.00	0.015443
309.00	0.012934
310.00	0.010941
311.00	0.0092698
312.00	0.0078469
313.00	0.0069035
314.00	0.0060250
315.00	0.0052783
316.00	0.0048118
317.00	0.0043382
318.00	0.0040219
319.00	0.0038360
320.00	0.0036408
321.00	0.0034395
322.00	0.0032822
323.00	0.0031729
324.00	0.0030039
325.00	0.0029138
326.00	0.0029199
327.00	0.0028988
328.00	0.0028064
329.00	0.0027435
330.00	0.0026205
331.00	0.0026496
332.00	0.0026336
333.00	0.0026172
334.00	0.0025046
335.00	0.0024389
336.00	0.0024131
337.00	0.0023779
338.00	0.0023858
339.00	0.0024572
340.00	0.0023948
341.00	0.0023980
342.00	0.0023065
343.00	0.0023230
344.00	0.0022634
345.00	0.0023445
346.00	0.0023774
347.00	0.0023140
348.00	0.0023173
349.00	0.0022502
350.00	0.0022526
