Wavelength (nm)	E08 abs N
210.00	0.30737
211.00	0.27949
212.00	0.25609
213.00	0.23697
214.00	0.22404
215.00	0.21743
216.00	0.21704
217.00	0.22239
218.00	0.23321
219.00	0.24880
220.00	0.26943
221.00	0.29432
222.00	0.32356
223.00	0.35557
224.00	0.39116
225.00	0.42905
226.00	0.46948
227.00	0.51000
228.00	0.55105
229.00	0.59067
230.00	0.62852
231.00	0.66229
232.00	0.69340
233.00	0.72549
234.00	0.75598
235.00	0.77863
236.00	0.78750
237.00	0.78401
238.00	0.77095
239.00	0.74780
240.00	0.71611
241.00	0.69045
242.00	0.68616
243.00	0.69885
244.00	0.69130
245.00	0.62861
246.00	0.52775
247.00	0.43559
248.00	0.37313
249.00	0.33806
250.00	0.32127
251.00	0.31679
252.00	0.32040
253.00	0.33012
254.00	0.34467
255.00	0.36308
256.00	0.38445
257.00	0.40790
258.00	0.43380
259.00	0.46145
260.00	0.49071
261.00	0.52169
262.00	0.55331
263.00	0.58644
264.00	0.61995
265.00	0.65384
266.00	0.68778
267.00	0.72130
268.00	0.75401
269.00	0.78611
270.00	0.81791
271.00	0.84848
272.00	0.87770
273.00	0.90343
274.00	0.92507
275.00	0.94294
276.00	0.95774
277.00	0.96986
278.00	0.98052
279.00	0.98979
280.00	0.99679
281.00	1.00000
282.00	0.99678
283.00	0.98539
284.00	0.96411
285.00	0.93300
286.00	0.89337
287.00	0.84607
288.00	0.79375
289.00	0.73973
290.00	0.68713
291.00	0.63936
292.00	0.59320
293.00	0.54285
294.00	0.48433
295.00	0.41867
296.00	0.35116
297.00	0.28748
298.00	0.23076
299.00	0.18399
300.00	0.14582
301.00	0.11526
302.00	0.091012
303.00	0.071508
304.00	0.056369
305.00	0.044383
306.00	0.035008
307.00	0.027593
308.00	0.021845
309.00	0.017357
310.00	0.013878
311.00	0.011128
312.00	0.0090601
313.00	0.0074084
314.00	0.0062131
315.00	0.0052264
316.00	0.0044418
317.00	0.0037922
318.00	0.0034024
319.00	0.0029848
320.00	0.0026873
321.00	0.0024013
322.00	0.0022910
323.00	0.0021321
324.00	0.0019439
325.00	0.0018282
326.00	0.0017726
327.00	0.0016876
328.00	0.0016241
329.00	0.0015079
330.00	0.0015099
331.00	0.0013614
332.00	0.0013375
333.00	0.0013649
334.00	0.0013092
335.00	0.0012556
336.00	0.0012030
337.00	0.0011508
338.00	0.0011454
339.00	0.0011747
340.00	0.0011493
341.00	0.0010927
342.00	0.0010441
343.00	0.0010028
344.00	0.0010475
345.00	0.0010172
346.00	0.0010187
347.00	0.00099340
348.00	0.0010177
349.00	0.00094722
350.00	0.00096311
