Wavelength (nm)	E10 ems
280.00	0.031418
281.00	0.11645
282.00	0.14473
283.00	0.23657
284.00	0.39561
285.00	0.45091
286.00	0.41046
287.00	0.46583
288.00	0.54624
289.00	0.53315
290.00	0.60453
291.00	0.56939
292.00	0.61147
293.00	0.70189
294.00	0.92560
295.00	0.73983
296.00	0.96564
297.00	0.76015
298.00	0.90571
299.00	0.84892
300.00	0.85905
301.00	1.0000
302.00	0.98212
303.00	0.95177
304.00	0.95675
305.00	0.88640
306.00	0.92885
307.00	0.93738
308.00	0.93912
309.00	0.95221
310.00	0.93973
311.00	0.88371
312.00	0.79434
313.00	0.86919
314.00	0.77397
315.00	0.76040
316.00	0.78074
317.00	0.70642
318.00	0.86921
319.00	0.89152
320.00	0.81940
321.00	0.79504
322.00	0.73343
323.00	0.76522
324.00	0.73859
325.00	0.68862
326.00	0.71939
327.00	0.58590
328.00	0.58667
329.00	0.55672
330.00	0.56658
331.00	0.50501
332.00	0.50997
333.00	0.48461
334.00	0.50394
335.00	0.51018
336.00	0.47586
337.00	0.47782
338.00	0.37929
339.00	0.36611
340.00	0.35526
341.00	0.35569
342.00	0.33689
343.00	0.32732
344.00	0.32856
345.00	0.26842
346.00	0.26235
347.00	0.26644
348.00	0.27823
349.00	0.24051
350.00	0.26834
351.00	0.26314
352.00	0.22907
353.00	0.20477
354.00	0.22094
355.00	0.15820
356.00	0.21115
357.00	0.15392
358.00	0.16165
359.00	0.16101
360.00	0.15083
361.00	0.11298
362.00	0.16116
363.00	0.13815
364.00	0.15342
365.00	0.14289
366.00	0.12540
367.00	0.11475
368.00	0.13383
369.00	0.13099
370.00	0.11966
371.00	0.11073
372.00	0.074597
373.00	0.095534
374.00	0.088836
375.00	0.075486
376.00	0.079561
377.00	0.073032
378.00	0.069677
379.00	0.071764
380.00	0.059978
381.00	0.056495
382.00	0.075924
383.00	0.061759
384.00	0.087814
385.00	0.058258
386.00	0.048079
387.00	0.057416
388.00	0.055878
389.00	0.043229
390.00	0.042495
391.00	0.029639
392.00	0.031895
393.00	0.064027
394.00	0.040338
395.00	0.037815
396.00	0.015868
397.00	0.023500
398.00	0.023927
399.00	0.035367
400.00	0.038211
