Wavelength (nm)	E12 abs N
200.00	0.82324
201.00	0.80816
202.00	0.87279
203.00	0.89943
204.00	0.92376
205.00	0.94761
206.00	0.95860
207.00	0.95207
208.00	0.93435
209.00	0.91434
210.00	0.89622
211.00	0.87793
212.00	0.86366
213.00	0.85366
214.00	0.85248
215.00	0.85169
216.00	0.85024
217.00	0.84754
218.00	0.84354
219.00	0.84047
220.00	0.84305
221.00	0.85322
222.00	0.86829
223.00	0.88938
224.00	0.91652
225.00	0.93897
226.00	0.95514
227.00	0.97092
228.00	0.98381
229.00	0.97895
230.00	0.97898
231.00	1.0171
232.00	1.0491
233.00	1.0029
234.00	0.89893
235.00	0.81179
236.00	0.77409
237.00	0.77542
238.00	0.79909
239.00	0.83286
240.00	0.86894
241.00	0.90469
242.00	0.93769
243.00	0.96749
244.00	0.99042
245.00	1.00000
246.00	0.99194
247.00	0.96174
248.00	0.90752
249.00	0.83435
250.00	0.74685
251.00	0.65256
252.00	0.56084
253.00	0.47457
254.00	0.39904
255.00	0.33561
256.00	0.28524
257.00	0.24670
258.00	0.21741
259.00	0.19651
260.00	0.18192
261.00	0.17234
262.00	0.16668
263.00	0.16369
264.00	0.16238
265.00	0.16295
266.00	0.16492
267.00	0.16737
268.00	0.17043
269.00	0.17394
270.00	0.17768
271.00	0.18179
272.00	0.18606
273.00	0.18962
274.00	0.19377
275.00	0.19788
276.00	0.20138
277.00	0.20513
278.00	0.20858
279.00	0.21128
280.00	0.21376
281.00	0.21640
282.00	0.21877
283.00	0.22088
284.00	0.22204
285.00	0.22236
286.00	0.22234
287.00	0.22210
288.00	0.22221
289.00	0.22121
290.00	0.21829
291.00	0.21440
292.00	0.21008
293.00	0.20620
294.00	0.20275
295.00	0.19844
296.00	0.19244
297.00	0.18556
298.00	0.17858
299.00	0.17410
300.00	0.17226
301.00	0.17146
302.00	0.16633
303.00	0.15650
304.00	0.14623
305.00	0.13765
306.00	0.13096
307.00	0.12511
308.00	0.11851
309.00	0.10985
310.00	0.10091
311.00	0.094285
312.00	0.092838
313.00	0.098565
314.00	0.10742
315.00	0.10909
316.00	0.098983
317.00	0.082701
318.00	0.066601
319.00	0.054738
320.00	0.046963
321.00	0.041809
322.00	0.037837
323.00	0.035101
324.00	0.032291
325.00	0.030327
326.00	0.028078
327.00	0.026430
328.00	0.025084
329.00	0.024036
330.00	0.022732
331.00	0.021679
332.00	0.020640
333.00	0.019613
334.00	0.018627
335.00	0.017619
336.00	0.016328
337.00	0.015431
338.00	0.014458
339.00	0.013215
340.00	0.012269
341.00	0.011036
342.00	0.010019
343.00	0.0091418
344.00	0.0084168
345.00	0.0073379
346.00	0.0069019
347.00	0.0060893
348.00	0.0057136
349.00	0.0052623
350.00	0.0047154
351.00	0.0044032
352.00	0.0039366
353.00	0.0035435
354.00	0.0034447
355.00	0.0031704
356.00	0.0030922
357.00	0.0030140
358.00	0.0028095
359.00	0.0025622
360.00	0.0022907
361.00	0.0023488
362.00	0.0023239
363.00	0.0019070
364.00	0.0019562
365.00	0.0016011
366.00	0.0018447
367.00	0.0017226
368.00	0.0015863
369.00	0.0017369
370.00	0.0020360
371.00	0.0017586
372.00	0.0018167
373.00	0.0015594
374.00	0.0014489
375.00	0.0015129
376.00	0.0016735
377.00	0.0018870
378.00	0.0014505
379.00	0.0012857
380.00	0.0013591
381.00	0.0016000
382.00	0.0018627
383.00	0.0014870
384.00	0.0016212
385.00	0.0016798
386.00	0.0014701
387.00	0.0015678
388.00	0.0016222
389.00	0.0014273
390.00	0.0013026
391.00	0.0018426
392.00	0.0014796
393.00	0.0015393
394.00	0.0015409
395.00	0.0014801
396.00	0.0011821
397.00	0.0014119
398.00	0.0014484
399.00	0.0014214
400.00	0.0013676
