Wavelength (nm)	E13 abs N
200.00	0.94511
201.00	0.97117
202.00	0.89048
203.00	0.83294
204.00	0.77320
205.00	0.74115
206.00	0.72964
207.00	0.73073
208.00	0.74578
209.00	0.77670
210.00	0.81140
211.00	0.84416
212.00	0.87242
213.00	0.90332
214.00	0.93701
215.00	0.97341
216.00	0.99891
217.00	1.00000
218.00	0.97563
219.00	0.94365
220.00	0.91114
221.00	0.87858
222.00	0.83904
223.00	0.79278
224.00	0.74530
225.00	0.70150
226.00	0.66039
227.00	0.62378
228.00	0.58993
229.00	0.55698
230.00	0.52268
231.00	0.48967
232.00	0.45605
233.00	0.41938
234.00	0.38249
235.00	0.34702
236.00	0.31585
237.00	0.29078
238.00	0.27331
239.00	0.26269
240.00	0.25770
241.00	0.25740
242.00	0.25986
243.00	0.26392
244.00	0.26824
245.00	0.27266
246.00	0.27766
247.00	0.28336
248.00	0.29003
249.00	0.29668
250.00	0.30254
251.00	0.30541
252.00	0.30407
253.00	0.29837
254.00	0.28938
255.00	0.27848
256.00	0.26748
257.00	0.25860
258.00	0.25166
259.00	0.24454
260.00	0.23562
261.00	0.22165
262.00	0.20205
263.00	0.17739
264.00	0.15070
265.00	0.12557
266.00	0.10435
267.00	0.087982
268.00	0.076448
269.00	0.068776
270.00	0.064102
271.00	0.061951
272.00	0.061489
273.00	0.062635
274.00	0.064850
275.00	0.067301
276.00	0.069017
277.00	0.069936
278.00	0.070925
279.00	0.071872
280.00	0.072820
281.00	0.074887
282.00	0.078917
283.00	0.084168
284.00	0.088418
285.00	0.088594
286.00	0.084311
287.00	0.078457
288.00	0.072840
289.00	0.068535
290.00	0.064727
291.00	0.061801
292.00	0.062362
293.00	0.067120
294.00	0.072229
295.00	0.070270
296.00	0.059935
297.00	0.045359
298.00	0.031185
299.00	0.020406
300.00	0.013333
301.00	0.0087038
302.00	0.0057890
303.00	0.0042844
304.00	0.0030630
305.00	0.0022041
306.00	0.0016757
307.00	0.0012036
308.00	0.0011234
309.00	0.00090773
310.00	0.00082943
311.00	0.00055140
312.00	0.00065033
313.00	0.00063533
314.00	0.00045435
315.00	0.00050123
316.00	0.00055140
317.00	0.00021694
318.00	0.00039259
319.00	0.00031553
320.00	0.00055307
321.00	0.00033723
322.00	0.00068307
323.00	0.00030454
324.00	0.00038783
325.00	0.00021371
326.00	0.00014462
327.00	0.00030011
328.00	0.00039653
329.00	0.00037761
330.00	0.00027992
331.00	0.00024271
332.00	0.00041508
333.00	0.00033895
334.00	0.00045225
335.00	0.00046427
336.00	0.00028875
337.00	0.00043814
338.00	0.00030154
339.00	0.00026058
340.00	0.00032417
341.00	0.00057859
342.00	0.00061218
343.00	0.00044604
344.00	0.00044540
345.00	0.00031067
346.00	0.00048773
347.00	0.00046927
348.00	0.00046207
349.00	0.00082620
350.00	0.00069288
