Wavelength (nm)	E19 abs N
210.00	0.77871
211.00	0.72422
212.00	0.67448
213.00	0.62908
214.00	0.59109
215.00	0.55833
216.00	0.52918
217.00	0.50236
218.00	0.47626
219.00	0.45273
220.00	0.43089
221.00	0.41011
222.00	0.38854
223.00	0.36621
224.00	0.34445
225.00	0.32598
226.00	0.31189
227.00	0.30264
228.00	0.29709
229.00	0.29471
230.00	0.29427
231.00	0.29472
232.00	0.29569
233.00	0.29684
234.00	0.29761
235.00	0.29760
236.00	0.29688
237.00	0.29571
238.00	0.29408
239.00	0.29226
240.00	0.29048
241.00	0.28880
242.00	0.28746
243.00	0.28647
244.00	0.28620
245.00	0.28682
246.00	0.28778
247.00	0.28911
248.00	0.29086
249.00	0.29248
250.00	0.29389
251.00	0.29507
252.00	0.29537
253.00	0.29564
254.00	0.29501
255.00	0.29353
256.00	0.29134
257.00	0.28812
258.00	0.28392
259.00	0.27872
260.00	0.27226
261.00	0.26441
262.00	0.25581
263.00	0.24667
264.00	0.23571
265.00	0.22454
266.00	0.21234
267.00	0.20093
268.00	0.18933
269.00	0.17856
270.00	0.16823
271.00	0.15902
272.00	0.15028
273.00	0.14264
274.00	0.13604
275.00	0.13041
276.00	0.12598
277.00	0.12222
278.00	0.11922
279.00	0.11695
280.00	0.11550
281.00	0.11451
282.00	0.11363
283.00	0.11355
284.00	0.11367
285.00	0.11379
286.00	0.11428
287.00	0.11464
288.00	0.11531
289.00	0.11590
290.00	0.11641
291.00	0.11708
292.00	0.11757
293.00	0.11800
294.00	0.11838
295.00	0.11831
296.00	0.11838
297.00	0.11839
298.00	0.11810
299.00	0.11805
300.00	0.11770
301.00	0.11731
302.00	0.11708
303.00	0.11672
304.00	0.11636
305.00	0.11601
306.00	0.11579
307.00	0.11540
308.00	0.11463
309.00	0.11380
310.00	0.11295
311.00	0.11159
312.00	0.11021
313.00	0.10887
314.00	0.10749
315.00	0.10606
316.00	0.10457
317.00	0.10315
318.00	0.10155
319.00	0.10005
320.00	0.098394
321.00	0.096670
322.00	0.094580
323.00	0.092013
324.00	0.089838
325.00	0.087589
326.00	0.085863
327.00	0.084463
328.00	0.083382
329.00	0.082697
330.00	0.082679
331.00	0.083477
332.00	0.084826
333.00	0.086809
334.00	0.089480
335.00	0.092096
336.00	0.095376
337.00	0.099133
338.00	0.10339
339.00	0.10768
340.00	0.11250
341.00	0.11754
342.00	0.12282
343.00	0.12840
344.00	0.13430
345.00	0.14051
346.00	0.14719
347.00	0.15394
348.00	0.16115
349.00	0.16880
350.00	0.17666
351.00	0.18440
352.00	0.19307
353.00	0.20189
354.00	0.21077
355.00	0.22063
356.00	0.23015
357.00	0.23950
358.00	0.24941
359.00	0.25983
360.00	0.27028
361.00	0.28163
362.00	0.29401
363.00	0.30666
364.00	0.31882
365.00	0.33212
366.00	0.34608
367.00	0.35931
368.00	0.37297
369.00	0.38784
370.00	0.40302
371.00	0.41833
372.00	0.43364
373.00	0.44794
374.00	0.46476
375.00	0.48130
376.00	0.49709
377.00	0.51369
378.00	0.53101
379.00	0.54824
380.00	0.56574
381.00	0.58367
382.00	0.60208
383.00	0.61989
384.00	0.63700
385.00	0.65502
386.00	0.67324
387.00	0.69209
388.00	0.71091
389.00	0.72878
390.00	0.74600
391.00	0.76490
392.00	0.78374
393.00	0.80025
394.00	0.81700
395.00	0.83511
396.00	0.84853
397.00	0.86621
398.00	0.88043
399.00	0.89688
400.00	0.91016
401.00	0.92143
402.00	0.93451
403.00	0.94580
404.00	0.95510
405.00	0.96737
406.00	0.97505
407.00	0.98107
408.00	0.98605
409.00	0.99247
410.00	0.99660
411.00	0.99792
412.00	0.99830
413.00	1.0000
414.00	0.99648
415.00	0.99194
416.00	0.98769
417.00	0.98244
418.00	0.97548
419.00	0.96611
420.00	0.95421
421.00	0.94246
422.00	0.92944
423.00	0.91488
424.00	0.89828
425.00	0.88011
426.00	0.86090
427.00	0.83903
428.00	0.81980
429.00	0.79516
430.00	0.77313
431.00	0.74937
432.00	0.72334
433.00	0.69720
434.00	0.67024
435.00	0.64347
436.00	0.61604
437.00	0.58868
438.00	0.55985
439.00	0.53252
440.00	0.50422
441.00	0.47489
442.00	0.44917
443.00	0.42211
444.00	0.39497
445.00	0.36987
446.00	0.34442
447.00	0.32031
448.00	0.29672
449.00	0.27333
450.00	0.25274
451.00	0.23204
452.00	0.21248
453.00	0.19351
454.00	0.17625
455.00	0.15969
456.00	0.14457
457.00	0.12994
458.00	0.11650
459.00	0.10513
460.00	0.094508
461.00	0.084154
462.00	0.075233
463.00	0.066263
464.00	0.058277
465.00	0.051260
466.00	0.045518
467.00	0.040292
468.00	0.035249
469.00	0.031665
470.00	0.028209
471.00	0.024304
472.00	0.021290
473.00	0.018337
474.00	0.015987
475.00	0.014301
476.00	0.012454
477.00	0.011096
478.00	0.0097628
479.00	0.0083725
480.00	0.0075097
481.00	0.0061387
482.00	0.0057390
483.00	0.0053451
484.00	0.0046185
485.00	0.0034616
486.00	0.0029954
487.00	0.0025910
488.00	0.0034449
489.00	0.0029304
490.00	0.0025380
491.00	0.0023000
492.00	0.0023057
493.00	0.0021051
494.00	0.0021695
495.00	0.0021025
496.00	0.0018125
497.00	0.0017594
498.00	0.0016810
499.00	0.0018494
500.00	0.0014143
501.00	0.0014850
502.00	0.0017480
503.00	0.0021799
504.00	0.0014632
505.00	0.0016633
506.00	0.0015245
507.00	0.0011503
508.00	0.0013816
509.00	0.0010744
510.00	0.0014268
511.00	0.0013748
512.00	0.00095542
513.00	0.00096634
514.00	0.0013478
515.00	0.0015604
516.00	0.0015765
517.00	0.0014211
518.00	0.0016914
519.00	0.0010084
520.00	0.0011384
521.00	0.0014512
522.00	0.0011342
523.00	0.0014705
524.00	0.0012454
525.00	0.00093359
526.00	0.0013203
527.00	0.0014601
528.00	0.0014383
529.00	0.0014710
530.00	0.0013130
531.00	0.0013343
532.00	0.0014694
533.00	0.0016134
534.00	0.0016295
535.00	0.0013437
536.00	0.0011675
537.00	0.00075013
538.00	0.00092840
539.00	0.0010583
540.00	0.0014419
541.00	0.0012595
542.00	0.0014008
543.00	0.0015017
544.00	0.0014273
545.00	0.0012834
546.00	0.0010755
547.00	0.0013182
548.00	0.0011326
549.00	0.0012797
550.00	0.0017121
551.00	0.0012491
552.00	0.0014279
553.00	0.0013988
554.00	0.0014840
555.00	0.0014876
556.00	0.0012766
557.00	0.00096790
558.00	0.0012501
559.00	0.0017901
560.00	0.0015588
561.00	0.0012091
562.00	0.0015126
563.00	0.0016430
564.00	0.0012984
565.00	0.0019143
566.00	0.0015812
567.00	0.0018140
568.00	0.0017220
569.00	0.0017839
570.00	0.0018727
571.00	0.0017298
572.00	0.0016342
573.00	0.0017724
574.00	0.0018520
575.00	0.0011025
576.00	0.0012324
577.00	0.0016586
578.00	0.0015001
579.00	0.0012777
580.00	0.0014814
581.00	0.0014814
582.00	0.0015391
583.00	0.0015853
584.00	0.0016342
585.00	0.0016233
586.00	0.0014518
587.00	0.0016971
588.00	0.0016461
589.00	0.0016129
590.00	0.0015770
591.00	0.0015822
592.00	0.0017277
593.00	0.0016482
594.00	0.0016960
595.00	0.0019382
596.00	0.0018244
597.00	0.0017657
598.00	0.0014497
599.00	0.0013910
600.00	0.0015635
