Wavelength (nm)	E20 abs N
220.00	0.24150
220.25	0.23970
220.50	0.23521
220.75	0.22881
221.00	0.22496
221.25	0.21579
221.50	0.21707
221.75	0.20672
222.00	0.20620
222.25	0.20150
222.50	0.19844
222.75	0.20094
223.00	0.19187
223.25	0.19168
223.50	0.18871
223.75	0.18901
224.00	0.18395
224.25	0.18201
224.50	0.18262
224.75	0.18174
225.00	0.17833
225.25	0.17641
225.50	0.17637
225.75	0.17873
226.00	0.17593
226.25	0.17878
226.50	0.17723
226.75	0.17562
227.00	0.17771
227.25	0.18098
227.50	0.17644
227.75	0.17755
228.00	0.18176
228.25	0.18377
228.50	0.18380
228.75	0.18565
229.00	0.18776
229.25	0.18787
229.50	0.18709
229.75	0.19105
230.00	0.19583
230.25	0.19928
230.50	0.20456
230.75	0.20215
231.00	0.20245
231.25	0.20596
231.50	0.20960
231.75	0.21614
232.00	0.21901
232.25	0.22066
232.50	0.22395
232.75	0.22661
233.00	0.22871
233.25	0.23105
233.50	0.23487
233.75	0.24088
234.00	0.24233
234.25	0.24617
234.50	0.24981
234.75	0.25136
235.00	0.25507
235.25	0.25900
235.50	0.26715
235.75	0.26541
236.00	0.26326
236.25	0.26989
236.50	0.27351
236.75	0.27917
237.00	0.27384
237.25	0.28021
237.50	0.28483
237.75	0.28409
238.00	0.28931
238.25	0.28904
238.50	0.29090
238.75	0.28847
239.00	0.29389
239.25	0.29669
239.50	0.29601
239.75	0.29672
240.00	0.30293
240.25	0.30402
240.50	0.30469
240.75	0.30614
241.00	0.30875
241.25	0.30835
241.50	0.30935
241.75	0.31078
242.00	0.31053
242.25	0.30931
242.50	0.31611
242.75	0.31447
243.00	0.31684
243.25	0.31458
243.50	0.30987
243.75	0.30893
244.00	0.31482
244.25	0.31026
244.50	0.30794
244.75	0.30992
245.00	0.30456
245.25	0.31045
245.50	0.30535
245.75	0.30307
246.00	0.30435
246.25	0.29567
246.50	0.29554
246.75	0.29482
247.00	0.29459
247.25	0.29423
247.50	0.29093
247.75	0.28807
248.00	0.29148
248.25	0.28880
248.50	0.28193
248.75	0.27951
249.00	0.27981
249.25	0.28058
249.50	0.27478
249.75	0.27797
250.00	0.27963
250.25	0.27063
250.50	0.27263
250.75	0.27324
251.00	0.27114
251.25	0.27103
251.50	0.26983
251.75	0.27047
252.00	0.26664
252.25	0.26845
252.50	0.26998
252.75	0.26683
253.00	0.27117
253.25	0.26774
253.50	0.26690
253.75	0.26741
254.00	0.26266
254.25	0.26382
254.50	0.26171
254.75	0.26322
255.00	0.26185
255.25	0.25560
255.50	0.25298
255.75	0.24835
256.00	0.24267
256.25	0.23504
256.50	0.22602
256.75	0.22134
257.00	0.22291
257.25	0.21337
257.50	0.20594
257.75	0.19879
258.00	0.19151
258.25	0.18221
258.50	0.18100
258.75	0.17228
259.00	0.16646
259.25	0.16128
259.50	0.15637
259.75	0.15440
260.00	0.15066
260.25	0.14511
260.50	0.14390
260.75	0.14275
261.00	0.13773
261.25	0.13661
261.50	0.13773
261.75	0.14204
262.00	0.14091
262.25	0.14225
262.50	0.14102
262.75	0.14705
263.00	0.14486
263.25	0.14657
263.50	0.15061
263.75	0.15386
264.00	0.15637
264.25	0.16382
264.50	0.16465
264.75	0.17128
265.00	0.17746
265.25	0.17962
265.50	0.18692
265.75	0.18779
266.00	0.19764
266.25	0.19921
266.50	0.20884
266.75	0.21824
267.00	0.21968
267.25	0.23013
267.50	0.23930
267.75	0.24293
268.00	0.24894
268.25	0.25834
268.50	0.26569
268.75	0.27704
269.00	0.28638
269.25	0.29334
269.50	0.30703
269.75	0.31288
270.00	0.32151
270.25	0.33233
270.50	0.34265
270.75	0.35285
271.00	0.36610
271.25	0.37651
271.50	0.38617
271.75	0.40374
272.00	0.41460
272.25	0.42493
272.50	0.43707
272.75	0.45039
273.00	0.46363
273.25	0.47359
273.50	0.49163
273.75	0.50388
274.00	0.52407
274.25	0.53388
274.50	0.55255
274.75	0.57140
275.00	0.59165
275.25	0.60903
275.50	0.63046
275.75	0.64090
276.00	0.65143
276.25	0.67458
276.50	0.68682
276.75	0.69731
277.00	0.71724
277.25	0.73519
277.50	0.74317
277.75	0.75601
278.00	0.76155
278.25	0.78644
278.50	0.78579
278.75	0.79298
279.00	0.82103
279.25	0.82767
279.50	0.82956
279.75	0.84280
280.00	0.85208
280.25	0.86522
280.50	0.86741
280.75	0.87342
281.00	0.89002
281.25	0.89673
281.50	0.90194
281.75	0.91690
282.00	0.92308
282.25	0.92565
282.50	0.93062
282.75	0.93100
283.00	0.95451
283.25	0.96365
283.50	0.95212
283.75	0.96617
284.00	0.96697
284.25	0.96943
284.50	0.98480
284.75	0.98147
285.00	0.97680
285.25	0.97353
285.50	0.98694
285.75	0.98653
286.00	1.0000
286.25	0.98427
286.50	0.99054
286.75	0.98343
287.00	0.98682
287.25	0.97096
287.50	0.96703
287.75	0.95841
288.00	0.93875
288.25	0.94762
288.50	0.93352
288.75	0.91802
289.00	0.91756
289.25	0.90169
289.50	0.89208
289.75	0.87431
290.00	0.86031
290.25	0.84635
290.50	0.83092
290.75	0.81764
291.00	0.79998
291.25	0.78532
291.50	0.76183
291.75	0.74865
292.00	0.73518
292.25	0.71098
292.50	0.70114
292.75	0.68242
293.00	0.67006
