Wavelength (nm)	E22 abs N
220.00	0.70578
220.25	0.70425
220.50	0.70256
220.75	0.70325
221.00	0.70850
221.25	0.70635
221.50	0.70431
221.75	0.70319
222.00	0.70215
222.25	0.70704
222.50	0.70940
222.75	0.70846
223.00	0.70660
223.25	0.71063
223.50	0.70689
223.75	0.70742
224.00	0.70703
224.25	0.70962
224.50	0.71220
224.75	0.70864
225.00	0.71162
225.25	0.71112
225.50	0.71055
225.75	0.70980
226.00	0.70744
226.25	0.70731
226.50	0.70938
226.75	0.71013
227.00	0.71136
227.25	0.70781
227.50	0.70808
227.75	0.70597
228.00	0.70785
228.25	0.70154
228.50	0.70318
228.75	0.70188
229.00	0.70063
229.25	0.69957
229.50	0.69978
229.75	0.69818
230.00	0.69698
230.25	0.69157
230.50	0.69311
230.75	0.68627
231.00	0.68721
231.25	0.68561
231.50	0.67917
231.75	0.68151
232.00	0.67691
232.25	0.67359
232.50	0.66889
232.75	0.66506
233.00	0.65994
233.25	0.65832
233.50	0.65543
233.75	0.65082
234.00	0.64456
234.25	0.63998
234.50	0.63356
234.75	0.62577
235.00	0.61999
235.25	0.61084
235.50	0.60198
235.75	0.59244
236.00	0.58442
236.25	0.57546
236.50	0.56771
236.75	0.55645
237.00	0.54581
237.25	0.53543
237.50	0.52396
237.75	0.51204
238.00	0.50077
238.25	0.48841
238.50	0.47581
238.75	0.46310
239.00	0.44775
239.25	0.43467
239.50	0.42107
239.75	0.40821
240.00	0.39370
240.25	0.37979
240.50	0.36575
240.75	0.35239
241.00	0.33912
241.25	0.32605
241.50	0.31330
241.75	0.30084
242.00	0.29059
242.25	0.27802
242.50	0.26578
242.75	0.25768
243.00	0.24610
243.25	0.23760
243.50	0.22743
243.75	0.21854
244.00	0.21078
244.25	0.20210
244.50	0.19402
244.75	0.18701
245.00	0.18053
245.25	0.17263
245.50	0.16923
245.75	0.16378
246.00	0.15746
246.25	0.15312
246.50	0.14912
246.75	0.14504
247.00	0.14201
247.25	0.13896
247.50	0.13492
247.75	0.13043
248.00	0.12938
248.25	0.12641
248.50	0.12486
248.75	0.12204
249.00	0.12038
249.25	0.11988
249.50	0.11562
249.75	0.11748
250.00	0.11566
250.25	0.11405
250.50	0.11119
250.75	0.10993
251.00	0.11086
251.25	0.10958
251.50	0.10895
251.75	0.11007
252.00	0.10960
252.25	0.10894
252.50	0.10811
252.75	0.10729
253.00	0.10730
253.25	0.10639
253.50	0.10749
253.75	0.10741
254.00	0.10811
254.25	0.10988
254.50	0.10816
254.75	0.10849
255.00	0.10913
255.25	0.10811
255.50	0.10675
255.75	0.10797
256.00	0.10786
256.25	0.10975
