Wavelength (nm)	E22 abs N
188.78	0.15909
190.97	0.17115
192.86	0.19017
194.90	0.21568
196.95	0.24490
199.28	0.28015
201.03	0.32236
202.78	0.36688
205.11	0.44944
207.30	0.54453
208.90	0.63636
210.95	0.76299
212.11	0.81911
213.50	0.88080
214.74	0.92347
215.90	0.95965
216.92	0.97681
217.65	0.99304
219.00	1.00000
219.99	0.99211
221.01	0.97866
222.03	0.95593
222.76	0.91651
224.36	0.82467
225.38	0.76113
226.47	0.68274
227.33	0.62987
228.74	0.55890
230.19	0.49211
231.55	0.42532
232.65	0.37059
234.05	0.32189
235.15	0.28479
235.88	0.25928
237.05	0.23423
238.07	0.21011
239.38	0.19109
240.69	0.17486
242.15	0.16187
243.61	0.15213
245.65	0.14425
247.55	0.14007
250.61	0.13683
253.96	0.13636
256.88	0.13544
259.65	0.13265
261.69	0.12570
264.90	0.11364
267.67	0.10204
269.71	0.095083
272.78	0.089517
276.13	0.087198
279.48	0.088126
282.40	0.091373
285.75	0.089981
289.40	0.085807
292.02	0.081632
295.09	0.078386
298.29	0.077922
301.21	0.081169
303.69	0.088590
306.02	0.099258
308.94	0.12059
312.00	0.14425
314.77	0.16698
318.27	0.19852
321.34	0.23330
323.38	0.25974
325.56	0.28386
327.43	0.29685
329.94	0.30241
332.71	0.30751
334.61	0.31493
336.06	0.32514
337.52	0.33581
338.54	0.34044
340.00	0.34415
341.50	0.34044
342.63	0.33117
343.70	0.31493
345.10	0.29406
346.71	0.26855
348.35	0.23887
349.63	0.21336
351.08	0.18831
352.40	0.16651
354.29	0.14007
356.04	0.11967
358.08	0.097402
359.83	0.078850
361.35	0.063080
363.43	0.047774
365.96	0.034323
368.73	0.022784
371.21	0.015190
373.98	0.0097402
377.04	0.0051020
378.55	0.0034370
380.54	0.0023191
384.62	0.0015002
389.00	0.00092764
393.52	0.00071011
398.48	0.00046382
