Wavelength (nm)	E23 ems
351.09	3.6555e-05
354.59	0.00040649
358.38	0.00077943
361.59	0.0038971
364.65	0.010133
368.74	0.021824
371.51	0.038192
374.13	0.056898
376.32	0.077163
378.07	0.10133
379.96	0.13094
382.00	0.17225
384.12	0.21140
386.53	0.27436
388.57	0.32814
390.61	0.39439
392.36	0.44817
394.25	0.50974
395.71	0.56275
397.75	0.62666
399.00	0.67576
400.45	0.72434
401.98	0.77397
404.03	0.82337
405.78	0.86750
407.38	0.90881
409.13	0.94077
411.17	0.96727
412.48	0.97974
414.38	0.99065
417.00	1.0000
419.19	0.99496
421.67	0.98052
423.71	0.96025
425.90	0.92596
428.09	0.88855
430.57	0.83243
434.21	0.76072
437.13	0.70226
439.75	0.65238
442.52	0.59782
445.59	0.54560
448.94	0.49571
452.00	0.44895
455.79	0.39517
459.00	0.34607
463.08	0.29618
467.46	0.24942
471.40	0.20967
475.77	0.17303
480.15	0.14575
484.67	0.11925
490.35	0.092752
496.33	0.070928
501.15	0.057677
506.10	0.047545
511.94	0.035074
517.88	0.026500
522.20	0.021824
525.85	0.017927
531.48	0.013250
537.31	0.0097174
543.00	0.0073308
550.14	0.0047734
558.31	0.0032274
566.04	0.0021190
574.93	0.0014126
581.93	0.0010341
589.22	0.00082775
595.35	0.00067678
600.00	0.00063065
