Wavelength (nm)	E25 abs N
210.00	0.74045
211.00	0.64452
212.00	0.56949
213.00	0.51070
214.00	0.46639
215.00	0.43322
216.00	0.40849
217.00	0.39114
218.00	0.37973
219.00	0.37407
220.00	0.37403
221.00	0.37935
222.00	0.38984
223.00	0.40453
224.00	0.42379
225.00	0.44603
226.00	0.47173
227.00	0.49948
228.00	0.52930
229.00	0.56074
230.00	0.59412
231.00	0.62858
232.00	0.66309
233.00	0.69834
234.00	0.73280
235.00	0.76707
236.00	0.80023
237.00	0.83160
238.00	0.86154
239.00	0.88901
240.00	0.91387
241.00	0.93709
242.00	0.95692
243.00	0.97432
244.00	0.98732
245.00	0.99554
246.00	0.99921
247.00	1.0000
248.00	0.99826
249.00	0.99245
250.00	0.98403
251.00	0.97376
252.00	0.96143
253.00	0.94632
254.00	0.92708
255.00	0.90544
256.00	0.88090
257.00	0.85492
258.00	0.82864
259.00	0.80183
260.00	0.77424
261.00	0.74636
262.00	0.71736
263.00	0.68912
264.00	0.65990
265.00	0.63179
266.00	0.60294
267.00	0.57387
268.00	0.54629
269.00	0.51949
270.00	0.49469
271.00	0.47269
272.00	0.45176
273.00	0.43240
274.00	0.41420
275.00	0.39757
276.00	0.38201
277.00	0.36735
278.00	0.35389
279.00	0.34137
280.00	0.33007
281.00	0.31989
282.00	0.31047
283.00	0.30160
284.00	0.29330
285.00	0.28563
286.00	0.27886
287.00	0.27245
288.00	0.26693
289.00	0.26168
290.00	0.25696
291.00	0.25263
292.00	0.24884
293.00	0.24521
294.00	0.24189
295.00	0.23912
296.00	0.23593
297.00	0.23356
298.00	0.23059
299.00	0.22807
300.00	0.22602
301.00	0.22378
302.00	0.22172
303.00	0.21971
304.00	0.21762
305.00	0.21572
306.00	0.21388
307.00	0.21201
308.00	0.21033
309.00	0.20872
310.00	0.20687
311.00	0.20515
312.00	0.20345
313.00	0.20136
314.00	0.19980
315.00	0.19817
316.00	0.19568
317.00	0.19384
318.00	0.19150
319.00	0.18918
320.00	0.18688
321.00	0.18394
322.00	0.18139
323.00	0.17848
324.00	0.17543
325.00	0.17212
326.00	0.16864
327.00	0.16517
328.00	0.16101
329.00	0.15729
330.00	0.15320
331.00	0.14895
332.00	0.14478
333.00	0.14056
334.00	0.13597
335.00	0.13088
336.00	0.12619
337.00	0.12156
338.00	0.11666
339.00	0.11185
340.00	0.10676
341.00	0.10207
342.00	0.097351
343.00	0.092255
344.00	0.087473
345.00	0.082901
346.00	0.078046
347.00	0.073680
348.00	0.069364
349.00	0.065170
350.00	0.060933
351.00	0.057043
352.00	0.052970
353.00	0.049101
354.00	0.045631
355.00	0.042019
356.00	0.038983
357.00	0.036179
358.00	0.033304
359.00	0.030627
360.00	0.027968
361.00	0.025598
362.00	0.023007
363.00	0.020927
364.00	0.019030
365.00	0.017134
366.00	0.015701
367.00	0.014235
368.00	0.012772
369.00	0.011260
370.00	0.010258
371.00	0.0093366
372.00	0.0083193
373.00	0.0076851
374.00	0.0071307
375.00	0.0062700
376.00	0.0058315
377.00	0.0050860
378.00	0.0043888
379.00	0.0039141
380.00	0.0037116
381.00	0.0037225
382.00	0.0032088
383.00	0.0028356
384.00	0.0023382
385.00	0.0025670
386.00	0.0022753
387.00	0.0021598
388.00	0.0020139
389.00	0.0020175
390.00	0.0018581
391.00	0.0017530
392.00	0.0015446
393.00	0.0014667
394.00	0.0015360
395.00	0.0013263
396.00	0.0017168
397.00	0.0014536
398.00	0.0012040
399.00	0.0013249
400.00	0.0013639
