Wavelength (nm)	E26 ems
350.00	0.0021538
350.50	0.0018116
351.00	0.0015764
351.50	0.0012795
352.00	0.0012347
352.50	0.0011347
353.00	0.0010507
353.50	0.0010660
354.00	0.00099209
354.50	0.0010707
355.00	0.0010494
355.50	0.0010598
356.00	0.0010207
356.50	0.0010604
357.00	0.0010144
357.50	0.0010399
358.00	0.0011057
358.50	0.0010572
359.00	0.0010534
359.50	0.0011038
360.00	0.0011143
360.50	0.0012124
361.00	0.0011562
361.50	0.0012690
362.00	0.0012352
362.50	0.0013541
363.00	0.0013976
363.50	0.0014230
364.00	0.0014860
364.50	0.0016141
365.00	0.0016788
365.50	0.0018151
366.00	0.0019526
366.50	0.0020475
367.00	0.0022074
367.50	0.0023828
368.00	0.0024776
368.50	0.0027206
369.00	0.0028125
369.50	0.0031903
370.00	0.0033765
370.50	0.0036186
371.00	0.0039607
371.50	0.0043634
372.00	0.0047588
372.50	0.0052414
373.00	0.0056102
373.50	0.0061077
374.00	0.0064825
374.50	0.0072506
375.00	0.0076061
375.50	0.0086735
376.00	0.0091890
376.50	0.010251
377.00	0.011076
377.50	0.012249
378.00	0.013155
378.50	0.014585
379.00	0.015460
379.50	0.017463
380.00	0.018426
380.50	0.020133
381.00	0.021576
381.50	0.024091
382.00	0.025323
382.50	0.028032
383.00	0.029991
383.50	0.033214
384.00	0.034999
384.50	0.038259
385.00	0.040646
385.50	0.045312
386.00	0.047330
386.50	0.051692
387.00	0.054784
387.50	0.060395
388.00	0.062823
388.50	0.068150
389.00	0.072037
389.50	0.078094
390.00	0.081505
390.50	0.087091
391.00	0.090769
391.50	0.097648
392.00	0.10186
392.50	0.10855
393.00	0.11299
393.50	0.12129
394.00	0.12517
394.50	0.13281
395.00	0.13827
395.50	0.14704
396.00	0.15225
396.50	0.15949
397.00	0.16578
397.50	0.17507
398.00	0.18054
398.50	0.18954
399.00	0.19573
399.50	0.20705
400.00	0.21358
400.50	0.22283
401.00	0.22886
401.50	0.24189
402.00	0.24738
402.50	0.25786
403.00	0.26504
403.50	0.27880
404.00	0.28577
404.50	0.29656
405.00	0.30432
405.50	0.32080
406.00	0.32749
406.50	0.34188
407.00	0.35136
407.50	0.36837
408.00	0.37494
408.50	0.38831
409.00	0.40019
409.50	0.41634
410.00	0.42346
410.50	0.43820
411.00	0.44817
411.50	0.46370
412.00	0.47075
412.50	0.48321
413.00	0.49250
413.50	0.50799
414.00	0.51495
414.50	0.52647
415.00	0.53602
415.50	0.55021
416.00	0.55726
416.50	0.57014
417.00	0.57912
417.50	0.59541
418.00	0.59976
418.50	0.61236
419.00	0.62389
419.50	0.63628
420.00	0.64241
420.50	0.65375
421.00	0.66559
421.50	0.67719
422.00	0.68431
422.50	0.69709
423.00	0.70434
423.50	0.71730
424.00	0.72490
424.50	0.73556
425.00	0.74498
425.50	0.75379
426.00	0.76495
426.50	0.77595
427.00	0.78253
427.50	0.79442
428.00	0.79979
428.50	0.81184
429.00	0.81749
429.50	0.83126
430.00	0.83584
430.50	0.84482
431.00	0.85273
431.50	0.86274
432.00	0.86699
432.50	0.87483
433.00	0.88033
433.50	0.89168
434.00	0.89808
434.50	0.90281
435.00	0.90803
435.50	0.91552
436.00	0.91775
436.50	0.92514
437.00	0.92819
437.50	0.93352
438.00	0.93735
438.50	0.94204
439.00	0.94676
439.50	0.94897
440.00	0.95644
440.50	0.95833
441.00	0.95922
441.50	0.96636
442.00	0.96812
442.50	0.97207
443.00	0.97611
443.50	0.97949
444.00	0.98146
444.50	0.98239
445.00	0.98750
445.50	0.98799
446.00	0.99073
446.50	0.99110
447.00	0.99327
447.50	0.99623
448.00	0.99633
448.50	0.99538
449.00	0.99901
449.50	0.99836
450.00	0.99857
450.50	0.99771
451.00	1.0000
451.50	0.99846
452.00	0.99618
452.50	0.99973
453.00	0.99630
453.50	0.99405
454.00	0.99634
454.50	0.99316
455.00	0.99298
455.50	0.98915
456.00	0.98733
456.50	0.98795
457.00	0.98467
457.50	0.98211
458.00	0.97939
458.50	0.97549
459.00	0.97275
459.50	0.96614
460.00	0.96841
460.50	0.96426
461.00	0.96260
461.50	0.95787
462.00	0.95679
462.50	0.95416
463.00	0.94824
463.50	0.94401
464.00	0.94121
464.50	0.93822
465.00	0.93604
465.50	0.92894
466.00	0.93041
466.50	0.92372
467.00	0.92093
467.50	0.91575
468.00	0.91355
468.50	0.90724
469.00	0.90358
469.50	0.89888
470.00	0.89638
470.50	0.89206
471.00	0.88837
471.50	0.88122
472.00	0.88049
472.50	0.87422
473.00	0.87019
473.50	0.86499
474.00	0.86210
474.50	0.85450
475.00	0.85074
475.50	0.84307
476.00	0.84188
476.50	0.83417
477.00	0.82930
477.50	0.81850
478.00	0.81807
478.50	0.80713
479.00	0.80040
479.50	0.79372
480.00	0.79022
480.50	0.78204
481.00	0.77901
481.50	0.76988
482.00	0.76552
482.50	0.75972
