Wavelength (nm)	F02 ems
255.00	0.0096222
255.50	0.0049284
256.00	0.016327
256.50	0.016998
257.00	0.016998
257.50	0.020686
258.00	0.026050
258.50	0.036779
259.00	0.095115
259.50	0.14205
260.00	0.15815
260.50	0.19234
261.00	0.24263
261.50	0.23760
262.00	0.21447
262.50	0.19134
263.00	0.17491
263.50	0.14842
264.00	0.15781
264.50	0.17290
265.00	0.18899
265.50	0.19000
266.00	0.21983
266.50	0.27281
267.00	0.27851
267.50	0.34288
268.00	0.38143
268.50	0.45419
269.00	0.49676
269.50	0.55141
270.00	0.57723
270.50	0.60975
271.00	0.62752
271.50	0.66339
272.00	0.62987
272.50	0.66976
273.00	0.67311
273.50	0.67479
274.00	0.71804
274.50	0.74721
275.00	0.76464
275.50	0.80890
276.00	0.86120
276.50	0.90713
277.00	0.88601
277.50	0.95709
278.00	0.96547
278.50	0.96547
279.00	0.98458
279.50	1.0000
280.00	0.96446
280.50	0.96513
281.00	0.92993
281.50	0.94703
282.00	0.91182
282.50	0.92658
283.00	0.89104
283.50	0.87863
284.00	0.89473
284.50	0.88869
285.00	0.91350
285.50	0.87159
286.00	0.88333
286.50	0.85751
287.00	0.84075
287.50	0.84578
288.00	0.87729
288.50	0.81594
289.00	0.79448
289.50	0.76263
290.00	0.76129
290.50	0.69759
291.00	0.70429
291.50	0.70027
292.00	0.66172
292.50	0.68250
293.00	0.64998
293.50	0.63355
294.00	0.63456
294.50	0.60506
295.00	0.60707
295.50	0.58628
296.00	0.53968
296.50	0.56013
297.00	0.55812
297.50	0.50448
298.00	0.47095
298.50	0.51219
299.00	0.48570
299.50	0.47799
300.00	0.43005
300.50	0.42234
301.00	0.42368
301.50	0.41865
302.00	0.37573
302.50	0.41228
303.00	0.35226
303.50	0.36869
304.00	0.32913
304.50	0.32712
305.00	0.32980
305.50	0.30935
306.00	0.31371
306.50	0.30734
307.00	0.27147
307.50	0.23861
308.00	0.25705
308.50	0.23660
309.00	0.25772
309.50	0.22755
310.00	0.21212
310.50	0.19938
311.00	0.18564
311.50	0.16284
312.00	0.17960
312.50	0.17625
313.00	0.19670
313.50	0.14574
314.00	0.15144
314.50	0.12764
315.00	0.13132
315.50	0.12328
316.00	0.10953
316.50	0.13065
317.00	0.12864
317.50	0.11322
318.00	0.10484
318.50	0.11758
319.00	0.092433
319.50	0.092768
320.00	0.082710
320.50	0.088410
321.00	0.086063
321.50	0.090086
322.00	0.072988
322.50	0.068294
323.00	0.047172
323.50	0.066617
324.00	0.062594
324.50	0.056224
325.00	0.059577
325.50	0.045160
326.00	0.052536
326.50	0.046837
327.00	0.040467
327.50	0.034097
328.00	0.034767
328.50	0.054548
329.00	0.039126
329.50	0.045831
330.00	0.040467
330.50	0.026385
331.00	0.070976
331.50	0.039796
332.00	0.029403
332.50	0.029738
333.00	0.011969
333.50	0.040131
334.00	0.028732
334.50	0.026721
335.00	0.020351
335.50	0.042814
336.00	0.042478
336.50	0.012640
337.00	0.017669
337.50	0.044490
338.00	0.020351
338.50	0.011298
339.00	0.015322
339.50	0.011298
340.00	0.024709
340.50	0.012975
341.00	0.013310
341.50	0.021692
342.00	0.012975
342.50	0.024039
343.00	0.014986
343.50	0.034097
344.00	0.022027
344.50	0.027056
345.00	0.029738
345.50	0.020686
346.00	0.032085
346.50	0.022698
347.00	0.020351
347.50	0.016327
348.00	0.024039
348.50	0.017333
349.00	0.025044
349.50	0.0096222
350.00	0.022698
350.50	0.024709
