Wavelength (nm)	F03 abs N
240.00	0.23295
240.25	0.22227
240.50	0.20950
240.75	0.20152
241.00	0.19298
241.25	0.18405
241.50	0.17671
241.75	0.17141
242.00	0.16717
242.25	0.16060
242.50	0.15769
242.75	0.15294
243.00	0.15136
243.25	0.14820
243.50	0.14723
243.75	0.14347
244.00	0.14068
244.25	0.14122
244.50	0.14009
244.75	0.13888
245.00	0.13852
245.25	0.13818
245.50	0.13768
245.75	0.13873
246.00	0.13836
246.25	0.13935
246.50	0.14071
246.75	0.14163
247.00	0.14399
247.25	0.14421
247.50	0.14545
247.75	0.14806
248.00	0.15048
248.25	0.15235
248.50	0.15478
248.75	0.15557
249.00	0.15832
249.25	0.16255
249.50	0.16440
249.75	0.16786
250.00	0.17158
250.25	0.17482
250.50	0.17940
250.75	0.18302
251.00	0.18479
251.25	0.18918
251.50	0.19207
251.75	0.19873
252.00	0.20199
252.25	0.20686
252.50	0.21124
252.75	0.21743
253.00	0.22035
253.25	0.22611
253.50	0.23125
253.75	0.23718
254.00	0.24201
254.25	0.24676
254.50	0.25151
254.75	0.25498
255.00	0.25778
255.25	0.26339
255.50	0.26877
255.75	0.27717
256.00	0.28159
256.25	0.29033
256.50	0.29765
256.75	0.30486
257.00	0.31286
257.25	0.32088
257.50	0.32687
257.75	0.33604
258.00	0.34506
258.25	0.35263
258.50	0.36212
258.75	0.37102
259.00	0.37964
259.25	0.39038
259.50	0.40010
259.75	0.41042
260.00	0.41959
260.25	0.43082
260.50	0.43766
260.75	0.44942
261.00	0.45912
261.25	0.47171
261.50	0.48132
261.75	0.49282
262.00	0.50094
262.25	0.51087
262.50	0.52372
262.75	0.53834
263.00	0.54962
263.25	0.56023
263.50	0.57367
263.75	0.58371
264.00	0.59686
264.25	0.61067
264.50	0.62373
264.75	0.63440
265.00	0.64604
265.25	0.66113
265.50	0.67079
265.75	0.68314
266.00	0.69525
266.25	0.70781
266.50	0.71939
266.75	0.73180
267.00	0.73891
267.25	0.75061
267.50	0.75965
267.75	0.77422
268.00	0.78646
268.25	0.79547
268.50	0.80566
268.75	0.81585
269.00	0.82400
269.25	0.83565
269.50	0.84531
269.75	0.85533
270.00	0.86484
270.25	0.87623
270.50	0.88608
270.75	0.89539
271.00	0.90595
271.25	0.91452
271.50	0.92810
271.75	0.93775
272.00	0.94850
272.25	0.95487
272.50	0.96340
272.75	0.97116
273.00	0.97986
273.25	0.98815
273.50	0.99017
273.75	0.99478
274.00	0.99570
274.25	1.0000
274.50	0.99500
274.75	0.99774
275.00	0.99649
275.25	0.99174
275.50	0.98521
275.75	0.97651
276.00	0.96917
276.25	0.96175
276.50	0.94960
276.75	0.93826
277.00	0.93086
277.25	0.92195
277.50	0.90968
277.75	0.90265
278.00	0.89538
278.25	0.89060
278.50	0.88534
278.75	0.88041
279.00	0.87511
279.25	0.87033
279.50	0.86697
279.75	0.86344
280.00	0.85889
280.25	0.85437
280.50	0.84993
280.75	0.84135
281.00	0.83103
281.25	0.82206
281.50	0.80698
281.75	0.79700
282.00	0.78108
282.25	0.76415
282.50	0.74226
282.75	0.72210
283.00	0.69702
283.25	0.67148
283.50	0.64438
283.75	0.61680
284.00	0.58754
284.25	0.55840
284.50	0.52731
284.75	0.49952
285.00	0.47083
285.25	0.44038
285.50	0.41270
285.75	0.38393
286.00	0.35968
286.25	0.33095
286.50	0.30934
286.75	0.28426
287.00	0.26317
287.25	0.24072
287.50	0.22118
287.75	0.20313
288.00	0.18575
288.25	0.17003
288.50	0.15471
288.75	0.14292
289.00	0.12944
289.25	0.12050
289.50	0.10989
289.75	0.10111
290.00	0.091550
290.25	0.083765
290.50	0.078512
290.75	0.070213
291.00	0.065572
291.25	0.060621
291.50	0.054013
291.75	0.051430
292.00	0.046413
292.25	0.044116
292.50	0.041509
292.75	0.039203
293.00	0.036196
293.25	0.034421
293.50	0.033186
293.75	0.031272
294.00	0.029424
294.25	0.028246
294.50	0.026961
294.75	0.025709
295.00	0.026540
295.25	0.022928
295.50	0.024575
295.75	0.021298
296.00	0.021254
296.25	0.020713
296.50	0.020751
296.75	0.017841
297.00	0.018255
297.25	0.017763
297.50	0.018218
297.75	0.017211
298.00	0.017665
298.25	0.017908
298.50	0.015725
298.75	0.018131
299.00	0.015336
299.25	0.014533
299.50	0.015609
299.75	0.014259
300.00	0.013309
300.25	0.014090
300.50	0.014823
300.75	0.013448
301.00	0.015797
301.25	0.014292
301.50	0.013686
301.75	0.014990
302.00	0.012684
302.25	0.012812
302.50	0.013398
302.75	0.011509
303.00	0.012584
303.25	0.013668
303.50	0.012677
303.75	0.012699
304.00	0.010884
304.25	0.012392
304.50	0.011091
304.75	0.010206
305.00	0.012090
305.25	0.013108
305.50	0.010958
305.75	0.012140
306.00	0.012031
306.25	0.010567
306.50	0.011601
306.75	0.011174
307.00	0.011302
307.25	0.011528
307.50	0.011248
307.75	0.0086734
308.00	0.011268
308.25	0.012621
308.50	0.0088780
308.75	0.011734
309.00	0.010041
309.25	0.0094012
309.50	0.010501
309.75	0.0091348
310.00	0.0086668
310.25	0.0094726
310.50	0.013798
310.75	0.0088388
311.00	0.0065253
311.25	0.010344
311.50	0.012057
311.75	0.011948
312.00	0.011341
312.25	0.012523
312.50	0.013280
312.75	0.012175
313.00	0.014695
313.25	0.011116
313.50	0.0092354
313.75	0.0041863
314.00	0.013754
314.25	0.0086398
314.50	0.010924
314.75	0.0043231
315.00	0.0053413
315.25	0.010508
315.50	0.0082678
315.75	0.015933
316.00	0.0078380
316.25	0.0081785
316.50	0.0087394
316.75	0.011366
317.00	0.0041042
317.25	0.0075803
317.50	0.010901
317.75	0.0066933
318.00	0.010063
318.25	0.0070557
318.50	0.0056894
318.75	0.0026737
319.00	0.0075788
319.25	0.012557
319.50	0.013551
319.75	0.0094902
320.00	0.0078871
320.25	0.011943
320.50	0.013908
320.75	0.010378
321.00	0.010670
321.25	0.010283
321.50	0.011914
321.75	0.0082204
322.00	0.011737
322.25	0.0076519
322.50	0.0030111
322.75	0.010391
323.00	0.0070155
323.25	0.0072824
323.50	0.010603
323.75	0.0051215
324.00	0.010909
324.25	0.0085951
324.50	0.0078168
324.75	0.0089656
325.00	0.0055252
325.25	0.010651
325.50	0.0085987
325.75	0.0094944
326.00	0.0060703
326.25	0.0077826
326.50	0.0067348
326.75	0.0064955
327.00	0.0098654
327.25	0.010247
327.50	0.0064143
327.75	0.0094658
328.00	0.0051599
328.25	0.0050430
328.50	0.0067389
328.75	0.0071120
329.00	0.0094939
329.25	0.0025994
329.50	0.0048098
329.75	0.010662
330.00	0.0091163
330.25	0.0047368
330.50	0.0070534
330.75	0.0024371
331.00	0.0055621
331.25	0.0040815
331.50	0.0073127
331.75	0.0080614
332.00	0.0050701
332.25	0.0047328
332.50	0.0096624
332.75	0.0068100
333.00	0.0075015
333.25	0.0063476
333.50	0.0074393
333.75	0.0055096
334.00	0.0043801
334.25	0.0083054
334.50	0.0043097
334.75	0.0055565
335.00	0.0066891
335.25	0.0053391
335.50	0.0077047
335.75	0.0032191
336.00	0.0052090
336.25	0.0027240
336.50	0.0036606
336.75	0.0075858
337.00	0.0066360
337.25	0.0053269
337.50	0.0073332
337.75	0.0060486
338.00	0.0069198
338.25	0.0065008
338.50	0.0072985
338.75	0.0019555
339.00	0.0043374
339.25	0.0031099
339.50	0.0072393
339.75	0.0056607
340.00	0.0096432
340.25	0.0074277
340.50	0.0082417
340.75	0.0060425
341.00	0.0044966
341.25	0.0023954
341.50	0.0062717
341.75	0.0054281
342.00	0.0044048
342.25	0.0070316
342.50	0.0031086
342.75	0.0022903
343.00	0.0084530
343.25	0.0037878
343.50	0.0056062
343.75	0.0054975
344.00	0.0046620
344.25	0.0069051
344.50	0.0033259
344.75	0.0068102
345.00	0.0040312
345.25	0.0047065
345.50	0.0070557
345.75	0.0014840
346.00	0.0059564
346.25	0.0049984
346.50	0.0048897
346.75	0.0052301
347.00	0.0044763
347.25	0.0058783
347.50	0.0061452
347.75	0.0067388
348.00	0.0016571
348.25	0.0042513
348.50	0.0047877
348.75	0.0038052
349.00	0.0053869
349.25	0.0067725
349.50	0.0038792
349.75	0.0033622
350.00	0.0025487
