Wavelength (nm)	F03 ems
270.00	0.0046055
270.50	0.0045433
271.00	0.0041491
271.50	0.0045640
272.00	0.0045018
272.50	0.0045225
273.00	0.0050827
273.50	0.0044603
274.00	0.0058295
274.50	0.0057880
275.00	0.0076966
275.50	0.0092110
276.00	0.010725
276.50	0.015103
277.00	0.015953
277.50	0.023131
278.00	0.025683
278.50	0.035060
279.00	0.039811
279.50	0.054519
280.00	0.067568
280.50	0.086053
281.00	0.10277
281.50	0.13812
282.00	0.15854
282.50	0.20183
283.00	0.23445
283.50	0.28855
284.00	0.31077
284.50	0.35670
285.00	0.38458
285.50	0.41576
286.00	0.43113
286.50	0.45348
287.00	0.47122
287.50	0.49549
288.00	0.51360
288.50	0.53374
289.00	0.56355
289.50	0.60195
290.00	0.61015
290.50	0.64359
291.00	0.67566
291.50	0.69728
292.00	0.71942
292.50	0.75728
293.00	0.77188
293.50	0.79906
294.00	0.80883
294.50	0.84003
295.00	0.85291
295.50	0.87223
296.00	0.88828
296.50	0.90028
297.00	0.91625
297.50	0.92859
298.00	0.93399
298.50	0.93996
299.00	0.95432
299.50	0.96884
300.00	0.97168
300.50	0.97925
301.00	0.98689
301.50	0.98089
302.00	0.98079
302.50	0.98751
303.00	1.0000
303.50	0.98413
304.00	0.98266
304.50	0.97919
305.00	0.98340
305.50	0.96612
306.00	0.96434
306.50	0.94901
307.00	0.94666
307.50	0.93000
308.00	0.92785
308.50	0.91540
309.00	0.90272
309.50	0.88304
310.00	0.87611
310.50	0.85136
311.00	0.84437
311.50	0.82468
312.00	0.81020
312.50	0.79844
313.00	0.78099
313.50	0.76122
314.00	0.74999
314.50	0.73203
315.00	0.71823
315.50	0.69064
316.00	0.68070
316.50	0.66707
317.00	0.65185
317.50	0.62658
318.00	0.62214
318.50	0.60561
319.00	0.59283
319.50	0.57297
320.00	0.56733
320.50	0.54385
321.00	0.53549
321.50	0.52032
322.00	0.49984
322.50	0.49227
323.00	0.48281
323.50	0.46445
324.00	0.45636
324.50	0.44408
325.00	0.43483
325.50	0.41912
326.00	0.40844
326.50	0.39356
327.00	0.39201
327.50	0.37155
328.00	0.36778
328.50	0.35303
329.00	0.34452
329.50	0.33328
330.00	0.32674
330.50	0.31110
331.00	0.30925
331.50	0.28950
332.00	0.28712
332.50	0.27623
333.00	0.27071
333.50	0.25530
334.00	0.25287
334.50	0.24194
335.00	0.23820
335.50	0.22631
336.00	0.22275
336.50	0.21476
337.00	0.21175
337.50	0.20463
338.00	0.19634
338.50	0.18849
339.00	0.18453
339.50	0.17737
340.00	0.17043
340.50	0.16646
341.00	0.16555
341.50	0.15543
342.00	0.15227
342.50	0.15016
343.00	0.14792
343.50	0.14178
344.00	0.14063
344.50	0.13271
345.00	0.13030
345.50	0.12611
346.00	0.12395
346.50	0.11979
347.00	0.11514
347.50	0.11387
348.00	0.11082
348.50	0.11130
349.00	0.10379
349.50	0.10157
350.00	0.098915
350.50	0.098438
351.00	0.096633
351.50	0.089870
352.00	0.091654
352.50	0.086032
353.00	0.083978
353.50	0.084269
354.00	0.079227
354.50	0.078667
355.00	0.077983
355.50	0.074062
356.00	0.072257
356.50	0.069954
357.00	0.067216
357.50	0.064498
358.00	0.065660
358.50	0.062527
359.00	0.059872
359.50	0.059478
360.00	0.059125
360.50	0.053627
361.00	0.056262
361.50	0.053752
362.00	0.052030
362.50	0.049603
363.00	0.049167
363.50	0.046927
364.00	0.048151
364.50	0.043296
365.00	0.044707
365.50	0.040288
366.00	0.041076
366.50	0.040454
367.00	0.041657
367.50	0.039375
368.00	0.039292
368.50	0.038089
369.00	0.036886
369.50	0.036160
370.00	0.035081
370.50	0.034915
371.00	0.034583
371.50	0.032384
372.00	0.033089
372.50	0.032467
373.00	0.033234
373.50	0.031139
374.00	0.029334
374.50	0.029915
375.00	0.028753
375.50	0.027301
376.00	0.027509
376.50	0.027156
377.00	0.026700
377.50	0.027301
378.00	0.026305
378.50	0.026015
379.00	0.026119
379.50	0.024106
380.00	0.024832
380.50	0.024293
381.00	0.024355
381.50	0.023235
382.00	0.022364
382.50	0.022758
383.00	0.021804
383.50	0.021617
384.00	0.020580
384.50	0.021741
385.00	0.023111
385.50	0.021389
386.00	0.021098
386.50	0.019895
387.00	0.017530
387.50	0.017758
388.00	0.018215
388.50	0.018256
389.00	0.018339
389.50	0.018671
390.00	0.017862
390.50	0.018194
391.00	0.018401
391.50	0.017489
392.00	0.017883
392.50	0.015829
393.00	0.016244
393.50	0.016327
394.00	0.016368
394.50	0.015891
395.00	0.015746
395.50	0.018588
396.00	0.017551
396.50	0.016596
397.00	0.016866
397.50	0.014895
398.00	0.016928
398.50	0.015476
399.00	0.015850
399.50	0.014584
400.00	0.015642
