Wavelength (nm)	F05 abs N
235.00	0.43207
235.25	0.41838
235.50	0.40614
235.75	0.39505
236.00	0.38719
236.25	0.37949
236.50	0.37083
236.75	0.36364
237.00	0.35733
237.25	0.35180
237.50	0.34753
237.75	0.34415
238.00	0.33988
238.25	0.33729
238.50	0.33225
238.75	0.32829
239.00	0.32648
239.25	0.32425
239.50	0.32164
239.75	0.31782
240.00	0.31704
240.25	0.31435
240.50	0.31396
240.75	0.31324
241.00	0.31273
241.25	0.31399
241.50	0.31377
241.75	0.31241
242.00	0.31296
242.25	0.31295
242.50	0.31431
242.75	0.31223
243.00	0.31313
243.25	0.31537
243.50	0.31616
243.75	0.31808
244.00	0.32096
244.25	0.32081
244.50	0.32363
244.75	0.32571
245.00	0.32710
245.25	0.32850
245.50	0.33018
245.75	0.33431
246.00	0.33559
246.25	0.33932
246.50	0.34324
246.75	0.34705
247.00	0.35006
247.25	0.35344
247.50	0.35686
247.75	0.35992
248.00	0.36510
248.25	0.36851
248.50	0.37299
248.75	0.37553
249.00	0.37980
249.25	0.38572
249.50	0.38973
249.75	0.39590
250.00	0.40166
250.25	0.40540
250.50	0.40914
250.75	0.41595
251.00	0.42145
251.25	0.42659
251.50	0.43297
251.75	0.43809
252.00	0.44426
252.25	0.45047
252.50	0.45843
252.75	0.46412
253.00	0.47074
253.25	0.47737
253.50	0.48527
253.75	0.49215
254.00	0.49848
254.25	0.50459
254.50	0.51068
254.75	0.51286
255.00	0.51813
255.25	0.52431
255.50	0.53222
255.75	0.53846
256.00	0.54962
256.25	0.55818
256.50	0.56539
256.75	0.57022
257.00	0.57803
257.25	0.58924
257.50	0.59425
257.75	0.60118
258.00	0.61220
258.25	0.61790
258.50	0.62703
258.75	0.63272
259.00	0.64152
259.25	0.65031
259.50	0.65986
259.75	0.66715
260.00	0.67497
260.25	0.68268
260.50	0.69294
260.75	0.70144
261.00	0.70935
261.25	0.71758
261.50	0.72356
261.75	0.73318
262.00	0.74256
262.25	0.75373
262.50	0.75859
262.75	0.76834
263.00	0.77360
263.25	0.78314
263.50	0.78884
263.75	0.79558
264.00	0.80525
264.25	0.80988
264.50	0.81829
264.75	0.82776
265.00	0.83361
265.25	0.84067
265.50	0.84464
265.75	0.85028
266.00	0.85709
266.25	0.86498
266.50	0.86895
266.75	0.87760
267.00	0.88218
267.25	0.88405
267.50	0.89110
267.75	0.89787
268.00	0.90023
268.25	0.90680
268.50	0.91004
268.75	0.91494
269.00	0.91804
269.25	0.92688
269.50	0.92801
269.75	0.93451
270.00	0.93889
270.25	0.94217
270.50	0.94580
270.75	0.94782
271.00	0.94975
271.25	0.95391
271.50	0.95172
271.75	0.95758
272.00	0.96080
272.25	0.95583
272.50	0.95908
272.75	0.95827
273.00	0.95795
273.25	0.95606
273.50	0.95425
273.75	0.95722
274.00	0.96037
274.25	0.95676
274.50	0.95926
274.75	0.96321
275.00	0.96419
275.25	0.97045
275.50	0.97392
275.75	0.97813
276.00	0.97895
276.25	0.98453
276.50	0.98692
276.75	0.98698
277.00	0.99850
277.25	0.99531
277.50	0.99833
277.75	0.99565
278.00	1.0000
278.25	0.99792
278.50	0.99680
278.75	0.99865
279.00	0.99783
279.25	0.99906
279.50	0.99700
279.75	0.99719
280.00	0.98623
280.25	0.98924
280.50	0.98039
280.75	0.97859
281.00	0.97361
281.25	0.96631
281.50	0.95323
281.75	0.94175
282.00	0.93356
282.25	0.92454
282.50	0.90973
282.75	0.89795
283.00	0.89251
283.25	0.87485
283.50	0.86176
283.75	0.85145
284.00	0.84306
284.25	0.83412
284.50	0.82485
284.75	0.81968
285.00	0.81459
285.25	0.81072
285.50	0.80824
285.75	0.80919
286.00	0.81077
286.25	0.81703
286.50	0.82082
286.75	0.82117
287.00	0.82349
287.25	0.82729
287.50	0.82943
287.75	0.82435
288.00	0.82170
288.25	0.80913
288.50	0.79892
288.75	0.78701
289.00	0.76887
289.25	0.74760
289.50	0.72523
289.75	0.69958
290.00	0.67601
290.25	0.64561
290.50	0.62325
290.75	0.59300
291.00	0.56633
291.25	0.54159
291.50	0.51591
291.75	0.49235
292.00	0.46784
292.25	0.44505
292.50	0.42291
292.75	0.40238
293.00	0.38194
293.25	0.36314
293.50	0.34530
293.75	0.32932
294.00	0.31337
294.25	0.29820
294.50	0.28938
294.75	0.28326
295.00	0.27473
295.25	0.25987
295.50	0.24815
295.75	0.23561
296.00	0.22181
296.25	0.21133
296.50	0.19972
296.75	0.18903
297.00	0.17959
297.25	0.16987
297.50	0.16157
297.75	0.15418
298.00	0.14633
298.25	0.13680
298.50	0.12963
298.75	0.12237
299.00	0.11582
299.25	0.10871
299.50	0.10196
299.75	0.098178
300.00	0.090955
300.25	0.087044
300.50	0.081325
300.75	0.078602
301.00	0.072796
301.25	0.067932
301.50	0.064676
301.75	0.059360
302.00	0.056748
302.25	0.052923
302.50	0.048968
302.75	0.047631
303.00	0.044611
303.25	0.041962
303.50	0.039400
303.75	0.035470
304.00	0.035129
304.25	0.031713
304.50	0.029862
304.75	0.027077
305.00	0.026960
305.25	0.025233
305.50	0.024342
305.75	0.023005
306.00	0.020356
306.25	0.020176
306.50	0.018642
306.75	0.017385
307.00	0.016370
307.25	0.016085
307.50	0.013734
307.75	0.013139
308.00	0.012056
308.25	0.012669
308.50	0.011926
308.75	0.010992
309.00	0.011456
309.25	0.0078664
309.50	0.0092465
309.75	0.012985
310.00	0.011048
310.25	0.014637
310.50	0.012712
310.75	0.010757
311.00	0.010466
311.25	0.0080830
311.50	0.0037382
311.75	0.0084234
312.00	0.0047656
312.25	0.0072103
312.50	0.0067895
312.75	0.0073341
313.00	1.2378e-05
313.25	0.0035402
313.50	-3.7135e-05
313.75	0.0039053
314.00	0.0099768
314.25	0.0028779
314.50	0.0011821
314.75	0.0057930
315.00	0.0016030
315.25	0.0060282
