Wavelength (nm)	F05 ems
280.00	0.0014473
280.50	0.0015121
281.00	0.0015388
281.50	0.0015884
282.00	0.0016875
282.50	0.0016189
283.00	0.0015807
283.50	0.0015617
284.00	0.0016494
284.50	0.0015846
285.00	0.0014130
285.50	0.0016417
286.00	0.0014244
286.50	0.0015960
287.00	0.0016989
287.50	0.0017561
288.00	0.0018209
288.50	0.0019391
289.00	0.0020116
289.50	0.0021260
290.00	0.0024119
290.50	0.0027474
291.00	0.0029304
291.50	0.0034108
292.00	0.0035977
292.50	0.0049397
293.00	0.0052524
293.50	0.0078259
294.00	0.0094082
294.50	0.012237
295.00	0.014757
295.50	0.018315
296.00	0.020686
296.50	0.024217
297.00	0.026020
297.50	0.028342
298.00	0.029207
298.50	0.029135
299.00	0.029463
299.50	0.027778
300.00	0.027694
300.50	0.027663
301.00	0.027713
301.50	0.028338
302.00	0.029066
302.50	0.030847
303.00	0.033146
303.50	0.037134
304.00	0.039098
304.50	0.043852
305.00	0.047097
305.50	0.053079
306.00	0.056918
306.50	0.063533
307.00	0.068997
307.50	0.078105
308.00	0.082185
308.50	0.090153
309.00	0.096517
309.50	0.10641
310.00	0.11256
310.50	0.12263
311.00	0.13066
311.50	0.14459
312.00	0.15026
312.50	0.16247
313.00	0.17154
313.50	0.18786
314.00	0.19347
314.50	0.20833
315.00	0.21907
315.50	0.23338
316.00	0.24436
316.50	0.25925
317.00	0.26739
317.50	0.28769
318.00	0.29615
318.50	0.30898
319.00	0.32090
319.50	0.33676
320.00	0.34601
320.50	0.36119
321.00	0.37436
321.50	0.38957
322.00	0.40156
322.50	0.41776
323.00	0.42694
323.50	0.44996
324.00	0.45383
324.50	0.46977
325.00	0.47959
325.50	0.50035
326.00	0.51372
326.50	0.52789
327.00	0.54052
327.50	0.55510
328.00	0.56670
328.50	0.58406
329.00	0.59415
329.50	0.61263
330.00	0.62295
330.50	0.64367
331.00	0.65264
331.50	0.67379
332.00	0.68488
332.50	0.69542
333.00	0.70972
333.50	0.72503
334.00	0.73518
334.50	0.74571
335.00	0.75766
335.50	0.77572
336.00	0.78180
336.50	0.79680
337.00	0.80475
337.50	0.81862
338.00	0.82631
338.50	0.83452
339.00	0.84673
339.50	0.86061
340.00	0.86515
340.50	0.87267
341.00	0.88207
341.50	0.88849
342.00	0.89903
342.50	0.90313
343.00	0.91328
343.50	0.91918
344.00	0.92721
344.50	0.92977
345.00	0.93539
345.50	0.94383
346.00	0.94906
346.50	0.95397
347.00	0.96142
347.50	0.96319
348.00	0.96798
348.50	0.97803
349.00	0.97685
349.50	0.98327
350.00	0.98318
350.50	0.98696
351.00	0.98940
351.50	0.99458
352.00	0.99249
352.50	0.99794
353.00	0.99508
353.50	0.99482
354.00	1.0000
354.50	0.99900
355.00	0.99526
355.50	0.99842
356.00	0.99938
356.50	0.99891
357.00	0.99438
357.50	0.99068
358.00	0.99095
358.50	0.98663
359.00	0.98519
359.50	0.98309
360.00	0.98140
360.50	0.97652
361.00	0.97323
361.50	0.96815
362.00	0.96466
362.50	0.96139
363.00	0.95392
363.50	0.94745
364.00	0.94747
364.50	0.93760
365.00	0.93089
365.50	0.92502
366.00	0.92536
366.50	0.91387
367.00	0.91112
367.50	0.90515
368.00	0.89756
368.50	0.89409
369.00	0.88233
369.50	0.88089
370.00	0.87289
370.50	0.86633
371.00	0.86042
371.50	0.85109
372.00	0.84420
372.50	0.83770
373.00	0.83602
373.50	0.82284
374.00	0.81789
374.50	0.81080
375.00	0.80584
375.50	0.79554
376.00	0.78976
376.50	0.78363
377.00	0.78106
377.50	0.77114
378.00	0.76218
378.50	0.75250
379.00	0.74786
379.50	0.73818
380.00	0.72674
380.50	0.71164
381.00	0.70662
381.50	0.69492
382.00	0.69165
382.50	0.67198
383.00	0.66768
383.50	0.65468
384.00	0.64315
384.50	0.63626
385.00	0.62818
385.50	0.61465
386.00	0.60839
386.50	0.59532
387.00	0.58703
387.50	0.57629
388.00	0.57038
388.50	0.55986
389.00	0.55368
389.50	0.54506
390.00	0.53719
390.50	0.52966
391.00	0.52206
391.50	0.51202
392.00	0.50647
392.50	0.49641
393.00	0.49127
393.50	0.48168
394.00	0.47370
394.50	0.46900
395.00	0.46434
395.50	0.45668
396.00	0.44875
396.50	0.44505
397.00	0.43698
397.50	0.42664
398.00	0.42317
398.50	0.41563
399.00	0.41006
399.50	0.40114
400.00	0.39707
400.50	0.39209
401.00	0.38348
401.50	0.37781
402.00	0.37388
402.50	0.36849
403.00	0.36153
403.50	0.35026
404.00	0.34724
404.50	0.33902
405.00	0.33695
405.50	0.32698
406.00	0.32558
406.50	0.31720
407.00	0.31248
407.50	0.30472
408.00	0.30104
408.50	0.29297
409.00	0.29005
