Wavelength (nm)	F06 abs N
220.00	0.46399
220.25	0.44632
220.50	0.43480
220.75	0.42085
221.00	0.40903
221.25	0.39757
221.50	0.38773
221.75	0.37674
222.00	0.36840
222.25	0.36146
222.50	0.35329
222.75	0.34613
223.00	0.34030
223.25	0.33553
223.50	0.33065
223.75	0.32396
224.00	0.32172
224.25	0.31940
224.50	0.31456
224.75	0.31426
225.00	0.31453
225.25	0.31117
225.50	0.30893
225.75	0.30987
226.00	0.30639
226.25	0.30647
226.50	0.30658
226.75	0.30609
227.00	0.30707
227.25	0.30608
227.50	0.30680
227.75	0.30606
228.00	0.30541
228.25	0.30461
228.50	0.30535
228.75	0.30617
229.00	0.30764
229.25	0.30650
229.50	0.30826
229.75	0.30760
230.00	0.30841
230.25	0.30961
230.50	0.31054
230.75	0.31165
231.00	0.31355
231.25	0.31362
231.50	0.31663
231.75	0.31689
232.00	0.31956
232.25	0.32130
232.50	0.32222
232.75	0.32519
233.00	0.32514
233.25	0.32801
233.50	0.33068
233.75	0.33336
234.00	0.33609
234.25	0.33868
234.50	0.34111
234.75	0.34518
235.00	0.34872
235.25	0.35157
235.50	0.35607
235.75	0.36136
236.00	0.36582
236.25	0.37188
236.50	0.37652
236.75	0.37862
237.00	0.38499
237.25	0.38824
237.50	0.39301
237.75	0.39972
238.00	0.40344
238.25	0.40985
238.50	0.41458
238.75	0.42185
239.00	0.42609
239.25	0.43279
239.50	0.43667
239.75	0.44364
240.00	0.45126
240.25	0.45560
240.50	0.46327
240.75	0.46982
241.00	0.47553
241.25	0.48228
241.50	0.48748
241.75	0.49591
242.00	0.50415
242.25	0.50975
242.50	0.51657
242.75	0.52468
243.00	0.53436
243.25	0.53959
243.50	0.54578
243.75	0.55427
244.00	0.56309
244.25	0.56774
244.50	0.57772
244.75	0.58444
245.00	0.59421
245.25	0.60416
245.50	0.61227
245.75	0.61893
246.00	0.62870
246.25	0.63642
246.50	0.64666
246.75	0.65535
247.00	0.66173
247.25	0.67148
247.50	0.67931
247.75	0.68939
248.00	0.69827
248.25	0.70722
248.50	0.71595
248.75	0.72047
249.00	0.73361
249.25	0.74211
249.50	0.75152
249.75	0.75797
250.00	0.76847
250.25	0.77538
250.50	0.78220
250.75	0.79223
251.00	0.79876
251.25	0.80528
251.50	0.81645
251.75	0.82609
252.00	0.83113
252.25	0.83894
252.50	0.84364
252.75	0.84938
253.00	0.86078
253.25	0.86643
253.50	0.87223
253.75	0.88265
254.00	0.88651
254.25	0.89328
254.50	0.90094
254.75	0.90629
255.00	0.90800
255.25	0.91510
255.50	0.91298
255.75	0.91968
256.00	0.92943
256.25	0.93300
256.50	0.94245
256.75	0.94589
257.00	0.94674
257.25	0.95564
257.50	0.95882
257.75	0.96110
258.00	0.96918
258.25	0.97252
258.50	0.97687
258.75	0.98030
259.00	0.98634
259.25	0.98890
259.50	0.99219
259.75	0.99376
260.00	0.99587
260.25	0.99437
260.50	0.99529
260.75	0.99658
261.00	1.0000
261.25	0.99539
261.50	0.98948
261.75	0.98559
262.00	0.97970
262.25	0.97266
262.50	0.96546
262.75	0.95978
263.00	0.95214
263.25	0.94394
263.50	0.93626
263.75	0.92664
264.00	0.92137
264.25	0.90916
264.50	0.90061
264.75	0.89340
265.00	0.88355
265.25	0.87724
265.50	0.86930
265.75	0.85991
266.00	0.85267
266.25	0.84785
266.50	0.83683
266.75	0.83305
267.00	0.82485
267.25	0.82053
267.50	0.81006
267.75	0.80307
268.00	0.79518
268.25	0.78352
268.50	0.77331
268.75	0.75784
269.00	0.74803
269.25	0.73458
269.50	0.71544
269.75	0.69893
270.00	0.68070
270.25	0.66047
270.50	0.64134
270.75	0.61845
271.00	0.59495
271.25	0.57392
271.50	0.55135
271.75	0.52849
272.00	0.50613
272.25	0.48779
272.50	0.46500
272.75	0.44513
273.00	0.42635
273.25	0.40614
273.50	0.39016
273.75	0.37251
274.00	0.35845
274.25	0.34024
274.50	0.32698
274.75	0.31437
275.00	0.29864
275.25	0.28364
275.50	0.27113
275.75	0.25857
276.00	0.24676
276.25	0.23480
276.50	0.22529
276.75	0.21570
277.00	0.20688
277.25	0.20126
277.50	0.19281
277.75	0.18495
278.00	0.17962
278.25	0.17234
278.50	0.16520
278.75	0.15688
279.00	0.14995
279.25	0.14389
279.50	0.13660
279.75	0.12973
280.00	0.12376
280.25	0.11706
280.50	0.11142
280.75	0.10334
281.00	0.096480
281.25	0.090279
281.50	0.084097
281.75	0.079220
282.00	0.073840
282.25	0.067210
282.50	0.062829
282.75	0.058607
283.00	0.053798
283.25	0.049662
283.50	0.044705
283.75	0.042603
284.00	0.039595
284.25	0.035465
284.50	0.033528
284.75	0.030422
285.00	0.028909
285.25	0.025336
285.50	0.024509
285.75	0.021881
286.00	0.019601
286.25	0.019031
286.50	0.017401
286.75	0.016917
287.00	0.016305
287.25	0.015441
287.50	0.014650
287.75	0.012071
288.00	0.012181
288.25	0.011960
288.50	0.011109
288.75	0.010686
289.00	0.0094667
289.25	0.0086824
289.50	0.0093564
289.75	0.0077265
290.00	0.0083086
290.25	0.0074447
290.50	0.0087865
290.75	0.0069054
291.00	0.0081554
291.25	0.0067339
291.50	0.0071383
291.75	0.0072731
292.00	0.0048283
292.25	0.0067829
292.50	0.0060415
292.75	0.0068748
293.00	0.0072792
293.25	0.0052021
293.50	0.0041175
293.75	0.0053981
294.00	0.0059373
