Wavelength (nm)	F07 abs N
230.00	0.81868
230.25	0.81052
230.50	0.80985
230.75	0.79413
231.00	0.80179
231.25	0.79494
231.50	0.77626
231.75	0.78337
232.00	0.78656
232.25	0.78144
232.50	0.77679
232.75	0.78233
233.00	0.77740
233.25	0.76830
233.50	0.76990
233.75	0.77008
234.00	0.76317
234.25	0.75670
234.50	0.77098
234.75	0.76935
235.00	0.77457
235.25	0.76288
235.50	0.76869
235.75	0.77042
236.00	0.77092
236.25	0.77492
236.50	0.77926
236.75	0.77881
237.00	0.77335
237.25	0.77871
237.50	0.78609
237.75	0.78565
238.00	0.78543
238.25	0.78054
238.50	0.78581
238.75	0.78489
239.00	0.78835
239.25	0.79561
239.50	0.79209
239.75	0.80053
240.00	0.79668
240.25	0.79960
240.50	0.79990
240.75	0.79915
241.00	0.81192
241.25	0.79838
241.50	0.80061
241.75	0.80481
242.00	0.80081
242.25	0.80433
242.50	0.80174
242.75	0.80269
243.00	0.81280
243.25	0.80534
243.50	0.80444
243.75	0.80686
244.00	0.80808
244.25	0.80480
244.50	0.80598
244.75	0.80890
245.00	0.80439
245.25	0.80654
245.50	0.80421
245.75	0.79110
246.00	0.80707
246.25	0.80157
246.50	0.79842
246.75	0.79340
247.00	0.79377
247.25	0.81113
247.50	0.79282
247.75	0.80052
248.00	0.80705
248.25	0.80398
248.50	0.79292
248.75	0.80032
249.00	0.79386
249.25	0.79119
249.50	0.79918
249.75	0.79038
250.00	0.78511
250.25	0.79442
250.50	0.79035
250.75	0.78143
251.00	0.79055
251.25	0.78362
251.50	0.78516
251.75	0.78082
252.00	0.77903
252.25	0.78318
252.50	0.77495
252.75	0.77803
253.00	0.77816
253.25	0.77670
253.50	0.77445
253.75	0.77124
254.00	0.77340
254.25	0.76509
254.50	0.76402
254.75	0.77402
255.00	0.76785
255.25	0.76640
255.50	0.76181
255.75	0.77500
256.00	0.77233
256.25	0.77382
256.50	0.77506
256.75	0.76843
257.00	0.77045
257.25	0.77370
257.50	0.78239
257.75	0.77504
258.00	0.77883
258.25	0.77466
258.50	0.78272
258.75	0.78216
259.00	0.78728
259.25	0.78861
259.50	0.79348
259.75	0.79365
260.00	0.81265
260.25	0.80855
260.50	0.81217
260.75	0.81157
261.00	0.81350
261.25	0.82728
261.50	0.82487
261.75	0.82086
262.00	0.83422
262.25	0.83858
262.50	0.85606
262.75	0.84326
263.00	0.85936
263.25	0.85802
263.50	0.87241
263.75	0.87205
264.00	0.87044
264.25	0.87864
264.50	0.89046
264.75	0.88374
265.00	0.89490
265.25	0.89857
265.50	0.90035
265.75	0.91305
266.00	0.92235
266.25	0.91677
266.50	0.92399
266.75	0.92393
267.00	0.93566
267.25	0.93456
267.50	0.94127
267.75	0.94534
268.00	0.95180
268.25	0.95498
268.50	0.95195
268.75	0.97110
269.00	0.96494
269.25	0.97143
269.50	0.96202
269.75	0.97609
270.00	0.97661
270.25	0.97571
270.50	0.97785
270.75	0.98290
271.00	0.98287
271.25	0.98787
271.50	0.98919
271.75	0.99267
272.00	0.97976
272.25	0.99467
272.50	0.99709
272.75	1.0000
273.00	0.98340
273.25	0.99822
273.50	0.99478
273.75	0.99526
274.00	0.99602
274.25	0.98812
274.50	0.99423
274.75	0.98727
275.00	0.98284
275.25	0.97900
275.50	0.98179
275.75	0.96886
276.00	0.96797
276.25	0.96441
276.50	0.96044
276.75	0.95672
277.00	0.95041
277.25	0.94791
277.50	0.94668
277.75	0.93772
278.00	0.91948
278.25	0.92187
278.50	0.91670
278.75	0.90517
279.00	0.89378
279.25	0.89342
279.50	0.87874
279.75	0.87166
280.00	0.86397
280.25	0.86209
280.50	0.85542
280.75	0.84275
281.00	0.83024
281.25	0.82071
281.50	0.81580
281.75	0.79918
282.00	0.79140
282.25	0.78221
282.50	0.77350
282.75	0.77305
283.00	0.75404
283.25	0.74563
283.50	0.73427
283.75	0.72400
284.00	0.71482
284.25	0.70177
284.50	0.69802
284.75	0.67580
285.00	0.66845
285.25	0.66069
285.50	0.64464
285.75	0.64151
286.00	0.62699
286.25	0.62136
286.50	0.61119
286.75	0.59380
287.00	0.58111
287.25	0.57679
287.50	0.55648
287.75	0.54845
288.00	0.53301
288.25	0.52066
288.50	0.51732
288.75	0.50479
289.00	0.49343
289.25	0.48229
289.50	0.47639
289.75	0.46320
290.00	0.44811
290.25	0.43430
290.50	0.42562
290.75	0.41953
291.00	0.40518
291.25	0.39698
291.50	0.38330
291.75	0.37977
292.00	0.36670
292.25	0.35856
292.50	0.34821
292.75	0.33501
293.00	0.33194
293.25	0.32495
293.50	0.30782
