Wavelength (nm)	F08 abs N
235.00	0.89838
235.25	0.89346
235.50	0.88494
235.75	0.87549
236.00	0.87100
236.25	0.86219
236.50	0.85825
236.75	0.85207
237.00	0.84374
237.25	0.84049
237.50	0.83346
237.75	0.83037
238.00	0.82145
238.25	0.81536
238.50	0.81196
238.75	0.80858
239.00	0.80062
239.25	0.79465
239.50	0.78992
239.75	0.78508
240.00	0.77694
240.25	0.77539
240.50	0.77134
240.75	0.76719
241.00	0.76202
241.25	0.75797
241.50	0.75404
241.75	0.74676
242.00	0.74653
242.25	0.74262
242.50	0.74012
242.75	0.73373
243.00	0.73417
243.25	0.72705
243.50	0.72400
243.75	0.72243
244.00	0.72089
244.25	0.71744
244.50	0.71444
244.75	0.71095
245.00	0.71029
245.25	0.70707
245.50	0.70617
245.75	0.70537
246.00	0.70382
246.25	0.70423
246.50	0.70061
246.75	0.70017
247.00	0.70106
247.25	0.69961
247.50	0.69798
247.75	0.69941
248.00	0.70022
248.25	0.70075
248.50	0.70161
248.75	0.70439
249.00	0.70178
249.25	0.70402
249.50	0.70662
249.75	0.70904
250.00	0.71158
250.25	0.71260
250.50	0.71555
250.75	0.71684
251.00	0.72460
251.25	0.72260
251.50	0.72689
251.75	0.73132
252.00	0.73407
252.25	0.73973
252.50	0.74520
252.75	0.74810
253.00	0.75304
253.25	0.75693
253.50	0.76179
253.75	0.76569
254.00	0.77094
254.25	0.77884
254.50	0.78266
254.75	0.78532
255.00	0.78855
255.25	0.79399
255.50	0.79667
255.75	0.80852
256.00	0.80972
256.25	0.81672
256.50	0.82253
256.75	0.82868
257.00	0.83756
257.25	0.84145
257.50	0.85075
257.75	0.85893
258.00	0.86433
258.25	0.86880
258.50	0.87323
258.75	0.87978
259.00	0.88666
259.25	0.89153
259.50	0.89954
259.75	0.90628
260.00	0.91420
260.25	0.91753
260.50	0.92394
260.75	0.92881
261.00	0.93591
261.25	0.93907
261.50	0.94564
261.75	0.95129
262.00	0.95156
262.25	0.96020
262.50	0.96457
262.75	0.96988
263.00	0.96977
263.25	0.97547
263.50	0.97840
263.75	0.98012
264.00	0.98349
264.25	0.98658
264.50	0.98682
264.75	0.98980
265.00	0.98741
265.25	0.98856
265.50	0.99480
265.75	0.99288
266.00	0.99415
266.25	0.99695
266.50	0.99817
266.75	1.0000
267.00	0.99312
267.25	0.99106
267.50	0.99379
267.75	0.99185
268.00	0.98787
268.25	0.98594
268.50	0.98314
268.75	0.97918
269.00	0.97766
269.25	0.97311
269.50	0.97022
269.75	0.96149
270.00	0.95584
270.25	0.95624
270.50	0.94692
270.75	0.93552
271.00	0.93148
271.25	0.92324
271.50	0.91563
271.75	0.90958
272.00	0.89642
272.25	0.89168
272.50	0.88240
272.75	0.87162
273.00	0.86615
273.25	0.85869
273.50	0.84656
273.75	0.83693
274.00	0.82605
274.25	0.81630
274.50	0.80486
274.75	0.79332
275.00	0.77524
275.25	0.76310
275.50	0.74757
275.75	0.73071
276.00	0.71664
276.25	0.70208
276.50	0.69006
276.75	0.67689
277.00	0.66465
277.25	0.65021
277.50	0.63830
277.75	0.62316
278.00	0.60967
278.25	0.59907
278.50	0.58855
278.75	0.57312
279.00	0.55943
279.25	0.55005
279.50	0.53662
279.75	0.52379
280.00	0.51251
280.25	0.49644
280.50	0.48544
280.75	0.46923
281.00	0.45451
281.25	0.44155
281.50	0.42708
281.75	0.41633
282.00	0.39889
282.25	0.38482
282.50	0.36952
282.75	0.35415
283.00	0.34142
283.25	0.32394
283.50	0.30966
283.75	0.30104
284.00	0.28559
284.25	0.27001
284.50	0.25712
284.75	0.24310
285.00	0.23374
285.25	0.22058
285.50	0.20847
285.75	0.19688
286.00	0.18730
286.25	0.17826
286.50	0.16714
286.75	0.15904
287.00	0.14839
287.25	0.14049
287.50	0.13259
287.75	0.12674
288.00	0.11669
288.25	0.11207
288.50	0.10607
288.75	0.099965
289.00	0.095284
289.25	0.088373
289.50	0.084130
289.75	0.080613
290.00	0.075417
290.25	0.070660
290.50	0.065417
290.75	0.062862
291.00	0.061241
291.25	0.057943
291.50	0.054310
291.75	0.051412
292.00	0.048286
292.25	0.046989
292.50	0.042356
292.75	0.041517
293.00	0.038447
293.25	0.038562
293.50	0.037017
293.75	0.034176
294.00	0.032613
294.25	0.032937
294.50	0.029877
294.75	0.027274
295.00	0.026998
295.25	0.028066
295.50	0.028371
295.75	0.024262
296.00	0.024948
296.25	0.021736
296.50	0.022508
296.75	0.021678
297.00	0.020163
297.25	0.019400
297.50	0.017474
297.75	0.017408
298.00	0.018542
298.25	0.017751
298.50	0.017932
298.75	0.018857
299.00	0.019581
299.25	0.017169
299.50	0.016531
299.75	0.014195
300.00	0.013737
300.25	0.013070
