Wavelength (nm)	F12 abs N
200.00	0.75903
201.00	0.80641
202.00	0.91008
203.00	0.94455
204.00	0.94669
205.00	0.94377
206.00	0.92674
207.00	0.91277
208.00	0.90183
209.00	0.88111
210.00	0.85925
211.00	0.83054
212.00	0.78918
213.00	0.74563
214.00	0.70322
215.00	0.65683
216.00	0.60947
217.00	0.55889
218.00	0.50826
219.00	0.45946
220.00	0.41255
221.00	0.36968
222.00	0.33026
223.00	0.29641
224.00	0.26728
225.00	0.24413
226.00	0.22651
227.00	0.21518
228.00	0.20927
229.00	0.20847
230.00	0.21254
231.00	0.22133
232.00	0.23395
233.00	0.25068
234.00	0.27036
235.00	0.29316
236.00	0.31857
237.00	0.34704
238.00	0.37703
239.00	0.40818
240.00	0.44162
241.00	0.47705
242.00	0.51291
243.00	0.55104
244.00	0.58925
245.00	0.62674
246.00	0.66508
247.00	0.70345
248.00	0.74127
249.00	0.77808
250.00	0.81465
251.00	0.84955
252.00	0.88037
253.00	0.90804
254.00	0.93300
255.00	0.95449
256.00	0.97274
257.00	0.98841
258.00	0.99815
259.00	1.0000
260.00	0.99814
261.00	0.99224
262.00	0.98223
263.00	0.97119
264.00	0.94738
265.00	0.92166
266.00	0.88666
267.00	0.84645
268.00	0.80566
269.00	0.76190
270.00	0.71603
271.00	0.66912
272.00	0.61795
273.00	0.56595
274.00	0.51438
275.00	0.46156
276.00	0.40770
277.00	0.35354
278.00	0.29969
279.00	0.24857
280.00	0.20147
281.00	0.15970
282.00	0.12421
283.00	0.094407
284.00	0.070577
285.00	0.051907
286.00	0.038179
287.00	0.027677
288.00	0.020118
289.00	0.014849
290.00	0.011184
291.00	0.0084977
292.00	0.0069689
293.00	0.0058610
294.00	0.0049885
295.00	0.0044739
296.00	0.0037243
297.00	0.0037894
298.00	0.0034087
299.00	0.0033158
300.00	0.0031860
301.00	0.0029807
302.00	0.0028281
303.00	0.0028832
304.00	0.0028827
305.00	0.0028609
306.00	0.0027516
307.00	0.0026218
308.00	0.0026687
309.00	0.0025189
310.00	0.0024233
311.00	0.0022648
312.00	0.0022334
313.00	0.0020958
314.00	0.0023190
315.00	0.0022516
316.00	0.0023909
317.00	0.0020002
318.00	0.0021286
319.00	0.0021004
320.00	0.0022876
321.00	0.0021978
322.00	0.0020061
323.00	0.0020986
324.00	0.0019528
325.00	0.0020722
326.00	0.0021514
327.00	0.0020498
328.00	0.0017402
329.00	0.0016605
330.00	0.0017889
331.00	0.0017844
332.00	0.0018317
333.00	0.0016655
334.00	0.0016004
335.00	0.0016072
336.00	0.0016477
337.00	0.0016459
338.00	0.0016983
339.00	0.0015389
340.00	0.0016851
341.00	0.0016637
342.00	0.0013540
343.00	0.0015480
344.00	0.0016345
345.00	0.0015803
346.00	0.0016669
347.00	0.0014551
348.00	0.0013567
349.00	0.0011218
350.00	0.0014811
