Wavelength (nm)	F13 abs N
206.00	0.94638
207.00	0.93599
208.00	0.94987
209.00	0.96277
210.00	0.97960
211.00	0.99362
212.00	1.0000
213.00	0.99867
214.00	0.99772
215.00	0.98294
216.00	0.96257
217.00	0.93572
218.00	0.90592
219.00	0.87091
220.00	0.82099
221.00	0.75846
222.00	0.68842
223.00	0.61902
224.00	0.54593
225.00	0.46169
226.00	0.35898
227.00	0.25511
228.00	0.16599
229.00	0.10378
230.00	0.064593
231.00	0.041813
232.00	0.029026
233.00	0.022135
234.00	0.018117
235.00	0.015936
236.00	0.014896
237.00	0.014750
238.00	0.014851
239.00	0.015291
240.00	0.015930
241.00	0.016951
242.00	0.018074
243.00	0.019168
244.00	0.020833
245.00	0.022762
246.00	0.024745
247.00	0.027160
248.00	0.029822
249.00	0.032682
250.00	0.035951
251.00	0.039633
252.00	0.043723
253.00	0.048030
254.00	0.052620
255.00	0.057595
256.00	0.062739
257.00	0.068230
258.00	0.074600
259.00	0.081175
260.00	0.087642
261.00	0.093969
262.00	0.099666
263.00	0.10518
264.00	0.11065
265.00	0.11671
266.00	0.12260
267.00	0.12735
268.00	0.13023
269.00	0.12986
270.00	0.12669
271.00	0.12206
272.00	0.11869
273.00	0.11772
274.00	0.11553
275.00	0.11002
276.00	0.10063
277.00	0.087671
278.00	0.072543
279.00	0.056192
280.00	0.040357
281.00	0.027106
282.00	0.017878
283.00	0.011839
284.00	0.0081930
285.00	0.0059582
286.00	0.0048434
287.00	0.0037582
288.00	0.0031064
289.00	0.0027983
290.00	0.0028568
291.00	0.0024179
292.00	0.0022725
293.00	0.0023889
294.00	0.0022784
295.00	0.0021882
296.00	0.0018789
297.00	0.0020197
298.00	0.0021746
299.00	0.0022186
300.00	0.0017951
