Wavelength (nm)	F14 abs N
230.00	0.70242
231.00	0.67179
232.00	0.64683
233.00	0.62706
234.00	0.61233
235.00	0.60307
236.00	0.59943
237.00	0.60056
238.00	0.60644
239.00	0.61656
240.00	0.62954
241.00	0.64453
242.00	0.66095
243.00	0.67785
244.00	0.69523
245.00	0.71437
246.00	0.73404
247.00	0.75373
248.00	0.77195
249.00	0.78874
250.00	0.80372
251.00	0.81720
252.00	0.82910
253.00	0.84232
254.00	0.85730
255.00	0.87507
256.00	0.89571
257.00	0.91804
258.00	0.94052
259.00	0.96109
260.00	0.97818
261.00	0.99080
262.00	0.99873
263.00	1.00000
264.00	0.99250
265.00	0.97531
266.00	0.94903
267.00	0.91733
268.00	0.88354
269.00	0.84953
270.00	0.81533
271.00	0.78032
272.00	0.74205
273.00	0.70025
274.00	0.65657
275.00	0.61202
276.00	0.56797
277.00	0.52497
278.00	0.48410
279.00	0.44425
280.00	0.40501
281.00	0.36708
282.00	0.33032
283.00	0.29527
284.00	0.26071
285.00	0.22762
286.00	0.19694
287.00	0.16930
288.00	0.14417
289.00	0.12250
290.00	0.10381
291.00	0.087930
292.00	0.074659
293.00	0.065041
294.00	0.057665
295.00	0.052151
296.00	0.048541
297.00	0.046750
298.00	0.046087
299.00	0.046750
300.00	0.048739
301.00	0.050812
302.00	0.053717
303.00	0.057200
304.00	0.061332
305.00	0.065704
306.00	0.070428
307.00	0.074969
308.00	0.080004
309.00	0.084968
310.00	0.090383
311.00	0.095545
312.00	0.10082
313.00	0.10619
314.00	0.11171
315.00	0.11746
316.00	0.12317
317.00	0.12919
318.00	0.13478
319.00	0.14111
320.00	0.14686
321.00	0.15307
322.00	0.15930
323.00	0.16542
324.00	0.17119
325.00	0.17711
326.00	0.18250
327.00	0.18790
328.00	0.19313
329.00	0.19753
330.00	0.20217
331.00	0.20628
332.00	0.21027
333.00	0.21371
334.00	0.21697
335.00	0.22003
336.00	0.22279
337.00	0.22529
338.00	0.22726
339.00	0.22942
340.00	0.23127
341.00	0.23266
342.00	0.23416
343.00	0.23510
344.00	0.23570
345.00	0.23615
346.00	0.23636
347.00	0.23626
348.00	0.23603
349.00	0.23510
350.00	0.23378
351.00	0.23261
352.00	0.23158
353.00	0.23001
354.00	0.22836
355.00	0.22676
356.00	0.22536
357.00	0.22378
358.00	0.22286
359.00	0.22282
360.00	0.22300
361.00	0.22262
362.00	0.22327
363.00	0.22460
364.00	0.22570
365.00	0.22544
366.00	0.22274
367.00	0.21843
368.00	0.21446
369.00	0.21302
370.00	0.21317
371.00	0.21278
372.00	0.21151
373.00	0.20968
374.00	0.20793
375.00	0.20518
376.00	0.20244
377.00	0.19931
378.00	0.19693
379.00	0.19470
380.00	0.19229
381.00	0.19012
382.00	0.18748
383.00	0.18518
384.00	0.18316
385.00	0.18194
386.00	0.18048
387.00	0.17933
388.00	0.17797
389.00	0.17710
390.00	0.17580
391.00	0.17539
392.00	0.17514
393.00	0.17452
394.00	0.17381
395.00	0.17332
396.00	0.17349
397.00	0.17369
398.00	0.17374
399.00	0.17412
400.00	0.17369
401.00	0.17412
402.00	0.17470
403.00	0.17431
404.00	0.17357
405.00	0.17486
406.00	0.17429
407.00	0.17400
408.00	0.17383
409.00	0.17381
410.00	0.17326
411.00	0.17221
412.00	0.17159
413.00	0.17084
414.00	0.16927
415.00	0.16813
416.00	0.16744
417.00	0.16707
418.00	0.16688
419.00	0.16630
420.00	0.16647
421.00	0.16712
422.00	0.16785
423.00	0.16827
424.00	0.16923
425.00	0.17050
426.00	0.17215
427.00	0.17443
428.00	0.17637
429.00	0.17930
430.00	0.18232
431.00	0.18419
432.00	0.18608
433.00	0.18960
434.00	0.19374
435.00	0.19593
436.00	0.19916
437.00	0.20227
438.00	0.20514
439.00	0.20783
440.00	0.20937
441.00	0.21210
442.00	0.21427
443.00	0.21492
444.00	0.21561
445.00	0.21645
446.00	0.21684
447.00	0.21719
448.00	0.21671
449.00	0.21571
450.00	0.21470
451.00	0.21322
452.00	0.21196
453.00	0.20983
454.00	0.20839
455.00	0.20619
456.00	0.20439
457.00	0.20237
458.00	0.20033
459.00	0.19861
460.00	0.19601
461.00	0.19467
462.00	0.19301
463.00	0.19198
464.00	0.19037
465.00	0.18844
466.00	0.18653
467.00	0.18470
468.00	0.18383
469.00	0.18198
470.00	0.18016
471.00	0.17799
472.00	0.17558
473.00	0.17252
474.00	0.16812
475.00	0.16432
476.00	0.15968
477.00	0.15400
478.00	0.14947
479.00	0.14296
480.00	0.13672
481.00	0.13011
482.00	0.12285
483.00	0.11613
484.00	0.10877
485.00	0.10066
486.00	0.090764
487.00	0.082204
488.00	0.076309
489.00	0.071063
490.00	0.065267
491.00	0.058342
492.00	0.052617
493.00	0.046313
494.00	0.041151
495.00	0.036469
496.00	0.031562
497.00	0.027190
498.00	0.023227
499.00	0.020350
500.00	0.016867
501.00	0.013962
502.00	0.011903
503.00	0.0097872
504.00	0.0078269
505.00	0.0069244
506.00	0.0054577
507.00	0.0042731
508.00	0.0036808
509.00	0.0035539
510.00	0.0023833
511.00	0.0021718
512.00	0.0016359
513.00	0.0013680
514.00	0.0014244
515.00	0.0018756
516.00	0.0018756
517.00	0.0015795
518.00	0.0016641
519.00	0.0020449
520.00	0.0021577
521.00	0.0024962
522.00	0.0024116
523.00	0.0027923
524.00	0.0031449
525.00	0.0031308
526.00	0.0027359
527.00	0.0032577
528.00	0.0030885
529.00	0.0033141
530.00	0.0036808
531.00	0.0037513
532.00	0.0035398
533.00	0.0040615
534.00	0.0036526
535.00	0.0038218
536.00	0.0036949
537.00	0.0041179
538.00	0.0044846
539.00	0.0043859
540.00	0.0044141
541.00	0.0043295
542.00	0.0043718
543.00	0.0043577
544.00	0.0045551
545.00	0.0048936
546.00	0.0042590
547.00	0.0048513
548.00	0.0046821
549.00	0.0045269
550.00	0.0047103
551.00	0.0052039
552.00	0.0050064
553.00	0.0050487
554.00	0.0052603
555.00	0.0053026
556.00	0.0056410
557.00	0.0050205
558.00	0.0050205
559.00	0.0054859
560.00	0.0059372
561.00	0.0057680
562.00	0.0051615
563.00	0.0052462
564.00	0.0060923
565.00	0.0057256
566.00	0.0055564
567.00	0.0053731
568.00	0.0052744
569.00	0.0049500
570.00	0.0048795
571.00	0.0040192
572.00	0.0035539
573.00	0.0033987
574.00	0.0039910
575.00	0.0034974
576.00	0.0033000
577.00	0.0030744
578.00	0.0037231
579.00	0.0034551
580.00	0.0031590
581.00	0.0031590
582.00	0.0035821
583.00	0.0041321
584.00	0.0035962
585.00	0.0042590
586.00	0.0033000
587.00	0.0032859
588.00	0.0037231
589.00	0.0038500
590.00	0.0045410
