Wavelength (nm)	F14 ems
460.00	0.0038527
460.50	0.0046536
461.00	0.0052137
461.50	0.0061719
462.00	0.0069452
462.50	0.0081265
463.00	0.0089897
463.50	0.010226
464.00	0.011431
464.50	0.013068
465.00	0.014178
465.50	0.015968
466.00	0.017551
466.50	0.019759
467.00	0.021317
467.50	0.023857
468.00	0.026306
468.50	0.029184
469.00	0.031442
469.50	0.034812
470.00	0.038119
470.50	0.041851
471.00	0.044818
471.50	0.049482
472.00	0.053923
472.50	0.059188
473.00	0.063400
473.50	0.069580
474.00	0.075554
474.50	0.082462
475.00	0.088100
475.50	0.096668
476.00	0.10408
476.50	0.11424
477.00	0.12095
477.50	0.13244
478.00	0.14111
478.50	0.15428
479.00	0.16286
479.50	0.17623
480.00	0.18767
480.50	0.20220
481.00	0.21349
481.50	0.22741
482.00	0.24036
482.50	0.25767
483.00	0.27038
483.50	0.28681
484.00	0.30124
484.50	0.31897
485.00	0.33258
485.50	0.34925
486.00	0.36342
486.50	0.38202
487.00	0.39561
487.50	0.41208
488.00	0.42749
488.50	0.44610
489.00	0.45862
489.50	0.47652
490.00	0.49101
490.50	0.51020
491.00	0.52281
491.50	0.54043
492.00	0.55606
492.50	0.57362
493.00	0.58645
493.50	0.60362
494.00	0.61876
494.50	0.63415
495.00	0.64603
495.50	0.66220
496.00	0.67645
496.50	0.69110
497.00	0.70293
497.50	0.71694
498.00	0.73038
498.50	0.74433
499.00	0.75500
499.50	0.76783
500.00	0.77970
500.50	0.79271
501.00	0.80088
501.50	0.81390
502.00	0.82363
502.50	0.83479
503.00	0.84305
503.50	0.85328
504.00	0.86170
504.50	0.87073
505.00	0.87728
505.50	0.88530
506.00	0.89191
506.50	0.89932
507.00	0.90539
507.50	0.91155
508.00	0.91688
508.50	0.92279
509.00	0.92696
509.50	0.93138
510.00	0.93579
510.50	0.94024
511.00	0.94392
511.50	0.94776
512.00	0.95157
512.50	0.95524
513.00	0.95810
513.50	0.96084
514.00	0.96409
514.50	0.96625
515.00	0.96864
515.50	0.97147
516.00	0.97330
516.50	0.97605
517.00	0.97820
517.50	0.98004
518.00	0.98154
518.50	0.98301
519.00	0.98469
519.50	0.98618
520.00	0.98707
520.50	0.98836
521.00	0.98991
521.50	0.99027
522.00	0.99162
522.50	0.99235
523.00	0.99321
523.50	0.99375
524.00	0.99439
524.50	0.99467
525.00	0.99563
525.50	0.99635
526.00	0.99713
526.50	0.99717
527.00	0.99760
527.50	0.99802
528.00	0.99831
528.50	0.99839
