Wavelength (nm)	F16 abs N
200.00	0.64186
201.00	0.76051
202.00	0.86114
203.00	0.94138
204.00	0.97451
205.00	0.98357
206.00	1.00000
207.00	0.95938
208.00	0.90763
209.00	0.85726
210.00	0.78309
211.00	0.70241
212.00	0.63074
213.00	0.56570
214.00	0.51357
215.00	0.47104
216.00	0.43819
217.00	0.41361
218.00	0.39406
219.00	0.37908
220.00	0.36591
221.00	0.35364
222.00	0.34204
223.00	0.33071
224.00	0.31921
225.00	0.30720
226.00	0.29226
227.00	0.27366
228.00	0.25051
229.00	0.22407
230.00	0.19530
231.00	0.16711
232.00	0.14181
233.00	0.12017
234.00	0.10264
235.00	0.087894
236.00	0.075920
237.00	0.065833
238.00	0.057486
239.00	0.050802
240.00	0.045177
241.00	0.040631
242.00	0.036863
243.00	0.033671
244.00	0.030998
245.00	0.028734
246.00	0.026764
247.00	0.025043
248.00	0.023558
249.00	0.022330
250.00	0.021203
251.00	0.020227
252.00	0.019492
253.00	0.018854
254.00	0.018407
255.00	0.018188
256.00	0.018010
257.00	0.018032
258.00	0.018248
259.00	0.018650
260.00	0.019111
261.00	0.019917
262.00	0.020733
263.00	0.021794
264.00	0.023051
265.00	0.024512
266.00	0.026210
267.00	0.028117
268.00	0.030172
269.00	0.032540
270.00	0.035078
271.00	0.037784
272.00	0.040874
273.00	0.044100
274.00	0.047512
275.00	0.051195
276.00	0.055295
277.00	0.059538
278.00	0.063961
279.00	0.068626
280.00	0.073381
281.00	0.078031
282.00	0.082633
283.00	0.087111
284.00	0.091465
285.00	0.095662
286.00	0.099641
287.00	0.10347
288.00	0.10696
289.00	0.10982
290.00	0.11184
291.00	0.11327
292.00	0.11375
293.00	0.11312
294.00	0.11119
295.00	0.10842
296.00	0.10461
297.00	0.10007
298.00	0.094765
299.00	0.088654
300.00	0.081728
301.00	0.074367
302.00	0.066383
303.00	0.057990
304.00	0.049717
305.00	0.041541
306.00	0.034040
307.00	0.027223
308.00	0.021471
309.00	0.016997
310.00	0.013420
311.00	0.010759
312.00	0.0089659
313.00	0.0074733
314.00	0.0064484
315.00	0.0055984
316.00	0.0051296
317.00	0.0047946
318.00	0.0046594
319.00	0.0043755
320.00	0.0042870
321.00	0.0039526
322.00	0.0040086
323.00	0.0038691
324.00	0.0038311
325.00	0.0037677
326.00	0.0037920
327.00	0.0036839
328.00	0.0035434
329.00	0.0034755
330.00	0.0035566
331.00	0.0036050
332.00	0.0035231
333.00	0.0034544
334.00	0.0034370
335.00	0.0033466
336.00	0.0033163
337.00	0.0033672
338.00	0.0033340
339.00	0.0032909
340.00	0.0032407
341.00	0.0032021
342.00	0.0032124
343.00	0.0031287
344.00	0.0032856
345.00	0.0032389
346.00	0.0032161
347.00	0.0032048
348.00	0.0031176
349.00	0.0031108
350.00	0.0031155
