Wavelength (nm)	F16 ems
290.00	0.039772
291.00	0.048591
292.00	0.050311
293.00	0.058008
294.00	0.060098
295.00	0.070622
296.00	0.072470
297.00	0.076699
298.00	0.087770
299.00	0.10819
300.00	0.11548
301.00	0.14389
302.00	0.17980
303.00	0.23759
304.00	0.28508
305.00	0.33224
306.00	0.38502
307.00	0.43488
308.00	0.48275
309.00	0.55178
310.00	0.60804
311.00	0.66258
312.00	0.70639
313.00	0.77160
314.00	0.80005
315.00	0.83966
316.00	0.85818
317.00	0.89346
318.00	0.89764
319.00	0.91311
320.00	0.91929
321.00	0.94976
322.00	0.96751
323.00	0.97276
324.00	0.97611
325.00	0.98380
326.00	1.0000
327.00	0.98601
328.00	0.96932
329.00	0.96293
330.00	0.93697
331.00	0.92667
332.00	0.91313
333.00	0.89372
334.00	0.87166
335.00	0.83361
336.00	0.81625
337.00	0.79076
338.00	0.77644
339.00	0.72447
340.00	0.69540
341.00	0.67265
342.00	0.64598
343.00	0.62696
344.00	0.59903
345.00	0.57130
346.00	0.55828
347.00	0.53206
348.00	0.51572
349.00	0.48439
350.00	0.46140
351.00	0.44341
352.00	0.42014
353.00	0.39711
354.00	0.37382
355.00	0.36863
356.00	0.34549
357.00	0.33032
358.00	0.30763
359.00	0.29519
360.00	0.27543
361.00	0.26423
362.00	0.24528
363.00	0.23961
364.00	0.21825
365.00	0.20773
366.00	0.19704
367.00	0.18408
368.00	0.17321
369.00	0.16773
370.00	0.15680
371.00	0.14797
372.00	0.13678
373.00	0.13352
374.00	0.12168
375.00	0.11612
376.00	0.10720
377.00	0.10030
378.00	0.093055
379.00	0.085842
380.00	0.081275
381.00	0.075475
382.00	0.074864
383.00	0.063835
384.00	0.064884
385.00	0.059301
386.00	0.057826
387.00	0.049000
388.00	0.046547
389.00	0.045458
390.00	0.042272
391.00	0.039982
392.00	0.036677
393.00	0.034153
394.00	0.031545
395.00	0.030415
396.00	0.028153
397.00	0.026713
398.00	0.025347
399.00	0.023685
400.00	0.022504
401.00	0.019957
402.00	0.019027
403.00	0.019169
404.00	0.017928
405.00	0.016397
406.00	0.014818
407.00	0.015310
408.00	0.013039
409.00	0.011787
410.00	0.010917
411.00	0.010200
412.00	0.010340
413.00	0.0089401
414.00	0.0088740
415.00	0.0081612
416.00	0.0079097
417.00	0.0070016
418.00	0.0073198
419.00	0.0062747
420.00	0.0064074
421.00	0.0059124
422.00	0.0053675
423.00	0.0052837
424.00	0.0050374
425.00	0.0039104
426.00	0.0045699
427.00	0.0038494
428.00	0.0046078
429.00	0.0046171
430.00	0.0032768
431.00	0.0042137
432.00	0.0023182
433.00	0.0036957
434.00	0.0038425
435.00	0.0033254
436.00	0.0031856
437.00	0.0021599
438.00	0.0024782
439.00	0.0028581
440.00	0.0020840
441.00	0.0018778
442.00	0.0018686
443.00	0.0018431
444.00	0.0018500
445.00	0.0023050
446.00	0.0016404
447.00	0.0014420
448.00	0.0020337
449.00	0.0013489
450.00	0.0026060
