Wavelength (nm)	F18 abs N
210.00	0.91303
211.00	0.90007
212.00	0.89241
213.00	0.88865
214.00	0.88608
215.00	0.88292
216.00	0.87894
217.00	0.87354
218.00	0.86462
219.00	0.85334
220.00	0.83757
221.00	0.81822
222.00	0.79500
223.00	0.76973
224.00	0.74266
225.00	0.71623
226.00	0.68971
227.00	0.66479
228.00	0.64058
229.00	0.61870
230.00	0.59899
231.00	0.58238
232.00	0.56766
233.00	0.55521
234.00	0.54475
235.00	0.53583
236.00	0.52847
237.00	0.52256
238.00	0.51747
239.00	0.51344
240.00	0.50959
241.00	0.50605
242.00	0.50282
243.00	0.50005
244.00	0.49782
245.00	0.49658
246.00	0.49623
247.00	0.49674
248.00	0.49886
249.00	0.50246
250.00	0.50838
251.00	0.51659
252.00	0.52632
253.00	0.53787
254.00	0.55048
255.00	0.56383
256.00	0.57833
257.00	0.59335
258.00	0.60990
259.00	0.62713
260.00	0.64431
261.00	0.66211
262.00	0.68024
263.00	0.69998
264.00	0.72194
265.00	0.74566
266.00	0.76883
267.00	0.79259
268.00	0.81630
269.00	0.83827
270.00	0.86152
271.00	0.88579
272.00	0.90613
273.00	0.92447
274.00	0.94188
275.00	0.95578
276.00	0.96680
277.00	0.97678
278.00	0.98711
279.00	0.99463
280.00	0.99949
281.00	1.0000
282.00	0.99862
283.00	0.99521
284.00	0.98900
285.00	0.98261
286.00	0.97279
287.00	0.95928
288.00	0.94288
289.00	0.92712
290.00	0.91008
291.00	0.89527
292.00	0.87972
293.00	0.86420
294.00	0.84892
295.00	0.83234
296.00	0.81755
297.00	0.80303
298.00	0.78644
299.00	0.76956
300.00	0.75128
301.00	0.73175
302.00	0.71201
303.00	0.69069
304.00	0.66934
305.00	0.64703
306.00	0.62266
307.00	0.59722
308.00	0.57177
309.00	0.54730
310.00	0.52269
311.00	0.49747
312.00	0.47316
313.00	0.44928
314.00	0.42622
315.00	0.40387
316.00	0.38309
317.00	0.36453
318.00	0.34698
319.00	0.33119
320.00	0.31732
321.00	0.30403
322.00	0.29287
323.00	0.28319
324.00	0.27600
325.00	0.26937
326.00	0.26440
327.00	0.26025
328.00	0.25695
329.00	0.25454
330.00	0.25328
331.00	0.25277
332.00	0.25202
333.00	0.25194
334.00	0.25259
335.00	0.25352
336.00	0.25477
337.00	0.25623
338.00	0.25807
339.00	0.25963
340.00	0.26126
341.00	0.26301
342.00	0.26461
343.00	0.26655
344.00	0.26828
345.00	0.26992
346.00	0.27059
347.00	0.27163
348.00	0.27209
349.00	0.27209
350.00	0.27248
351.00	0.27233
352.00	0.27248
353.00	0.27165
354.00	0.27055
355.00	0.26966
356.00	0.26934
357.00	0.26869
358.00	0.26782
359.00	0.26633
360.00	0.26415
361.00	0.26233
362.00	0.26076
363.00	0.25879
364.00	0.25711
365.00	0.25432
366.00	0.25108
367.00	0.24762
368.00	0.24406
369.00	0.24062
370.00	0.23737
371.00	0.23243
372.00	0.22780
373.00	0.22271
374.00	0.21726
375.00	0.21149
376.00	0.20613
377.00	0.20069
378.00	0.19430
379.00	0.18812
380.00	0.18190
381.00	0.17476
382.00	0.16768
383.00	0.16171
384.00	0.15475
385.00	0.14744
386.00	0.14036
387.00	0.13287
388.00	0.12558
389.00	0.11979
390.00	0.11351
391.00	0.10648
392.00	0.099666
393.00	0.093722
394.00	0.087397
395.00	0.081789
396.00	0.076694
397.00	0.071120
398.00	0.065761
399.00	0.061125
400.00	0.056601
401.00	0.052971
402.00	0.049222
403.00	0.045634
404.00	0.042216
405.00	0.038953
406.00	0.035717
407.00	0.033291
408.00	0.031142
409.00	0.029395
410.00	0.027148
411.00	0.025765
412.00	0.023095
413.00	0.020857
414.00	0.019811
415.00	0.018766
416.00	0.017613
417.00	0.016810
418.00	0.015740
419.00	0.014938
420.00	0.013799
421.00	0.012935
422.00	0.012138
423.00	0.011531
424.00	0.011039
425.00	0.010332
426.00	0.0098789
427.00	0.0094872
428.00	0.0088379
429.00	0.0089776
430.00	0.0082559
431.00	0.0078293
432.00	0.0073602
433.00	0.0073721
434.00	0.0069255
435.00	0.0067252
436.00	0.0067945
437.00	0.0062063
438.00	0.0056044
439.00	0.0050380
440.00	0.0050542
441.00	0.0049881
442.00	0.0046338
443.00	0.0045465
444.00	0.0039414
445.00	0.0035366
446.00	0.0036676
447.00	0.0037737
448.00	0.0033963
449.00	0.0036402
450.00	0.0033133
451.00	0.0029703
452.00	0.0027208
453.00	0.0023765
454.00	0.0025442
455.00	0.0029073
456.00	0.0025648
457.00	0.0021669
458.00	0.0020053
459.00	0.0022704
460.00	0.0020427
461.00	0.0022660
462.00	0.0019642
463.00	0.0023459
464.00	0.0018263
465.00	0.0015450
466.00	0.0016959
467.00	0.0018026
468.00	0.0022685
469.00	0.0018300
470.00	0.0018088
471.00	0.0014315
472.00	0.0015899
473.00	0.0018625
474.00	0.0015288
475.00	0.0018494
476.00	0.0015094
477.00	0.0012119
478.00	0.0015456
479.00	0.0017876
480.00	0.0017764
481.00	0.0020521
482.00	0.0017427
483.00	0.0016298
484.00	0.0012836
485.00	0.0017053
486.00	0.00093808
487.00	0.0010672
488.00	0.0013348
489.00	0.0011028
490.00	0.0012893
491.00	0.0010822
492.00	0.0012643
493.00	0.0012705
494.00	0.0012450
495.00	0.0014333
496.00	0.0013666
497.00	0.0012949
498.00	0.0014340
499.00	0.0010828
500.00	0.0014308
