Wavelength (nm)	G03 abs N
200.00	0.43742
201.00	0.41574
202.00	0.38806
203.00	0.37769
204.00	0.35592
205.00	0.35264
206.00	0.36171
207.00	0.35127
208.00	0.34681
209.00	0.38910
210.00	0.44468
211.00	0.46630
212.00	0.46531
213.00	0.45345
214.00	0.43458
215.00	0.40823
216.00	0.37321
217.00	0.33536
218.00	0.29875
219.00	0.26479
220.00	0.23261
221.00	0.20316
222.00	0.17611
223.00	0.15242
224.00	0.13129
225.00	0.11271
226.00	0.096303
227.00	0.082359
228.00	0.070126
229.00	0.059811
230.00	0.050774
231.00	0.042945
232.00	0.036729
233.00	0.031514
234.00	0.027277
235.00	0.023975
236.00	0.021411
237.00	0.019651
238.00	0.018502
239.00	0.017633
240.00	0.017217
241.00	0.017242
242.00	0.017804
243.00	0.018708
244.00	0.019817
245.00	0.021224
246.00	0.023059
247.00	0.025740
248.00	0.029448
249.00	0.033198
250.00	0.037194
251.00	0.042325
252.00	0.047837
253.00	0.054640
254.00	0.062601
255.00	0.070709
256.00	0.079313
257.00	0.089750
258.00	0.10216
259.00	0.11668
260.00	0.13395
261.00	0.15293
262.00	0.17205
263.00	0.19329
264.00	0.21517
265.00	0.23744
266.00	0.26068
267.00	0.28560
268.00	0.31311
269.00	0.34578
270.00	0.38353
271.00	0.42451
272.00	0.47105
273.00	0.51931
274.00	0.56546
275.00	0.60891
276.00	0.64627
277.00	0.67611
278.00	0.70106
279.00	0.72200
280.00	0.74304
281.00	0.76756
282.00	0.79913
283.00	0.83795
284.00	0.88198
285.00	0.92722
286.00	0.96707
287.00	0.99350
288.00	1.00000
289.00	0.98308
290.00	0.93897
291.00	0.87073
292.00	0.78378
293.00	0.68268
294.00	0.57577
295.00	0.47175
296.00	0.37588
297.00	0.29153
298.00	0.22003
299.00	0.16347
300.00	0.11918
301.00	0.085865
302.00	0.061219
303.00	0.043395
304.00	0.030947
305.00	0.022550
306.00	0.016237
307.00	0.011934
308.00	0.0091974
309.00	0.0074267
310.00	0.0062406
311.00	0.0055286
312.00	0.0047841
313.00	0.0043695
314.00	0.0042271
315.00	0.0042429
316.00	0.0040742
317.00	0.0043988
318.00	0.0041783
319.00	0.0045604
320.00	0.0045478
321.00	0.0046768
322.00	0.0049333
323.00	0.0051277
324.00	0.0054508
325.00	0.0054671
326.00	0.0055794
327.00	0.0057278
328.00	0.0059697
329.00	0.0061866
330.00	0.0063997
331.00	0.0066221
332.00	0.0067921
333.00	0.0070790
334.00	0.0072914
335.00	0.0074955
336.00	0.0077481
337.00	0.0080511
338.00	0.0082186
339.00	0.0083985
340.00	0.0086151
341.00	0.0087016
342.00	0.0087976
343.00	0.0089939
344.00	0.0092055
345.00	0.0094914
346.00	0.0094839
347.00	0.010022
348.00	0.0099214
349.00	0.010090
350.00	0.010200
351.00	0.010400
352.00	0.010481
353.00	0.010432
354.00	0.010970
355.00	0.011213
356.00	0.010946
357.00	0.010939
