Wavelength (nm)	G04 abs N
200.00	0.65542
201.00	0.62996
202.00	0.60313
203.00	0.64170
204.00	0.66416
205.00	0.71537
206.00	0.77501
207.00	0.74951
208.00	0.73319
209.00	0.82329
210.00	0.92968
211.00	1.00000
212.00	0.98996
213.00	0.98265
214.00	0.95672
215.00	0.91811
216.00	0.87688
217.00	0.84646
218.00	0.82843
219.00	0.81748
220.00	0.80697
221.00	0.79218
222.00	0.77040
223.00	0.73979
224.00	0.69887
225.00	0.65244
226.00	0.60325
227.00	0.55675
228.00	0.51326
229.00	0.47452
230.00	0.43925
231.00	0.40747
232.00	0.37949
233.00	0.35465
234.00	0.33309
235.00	0.31565
236.00	0.30272
237.00	0.29397
238.00	0.28880
239.00	0.28486
240.00	0.27977
241.00	0.27195
242.00	0.26213
243.00	0.25059
244.00	0.23803
245.00	0.22573
246.00	0.21330
247.00	0.20121
248.00	0.18963
249.00	0.17859
250.00	0.16797
251.00	0.15750
252.00	0.14715
253.00	0.13666
254.00	0.12611
255.00	0.11555
256.00	0.10526
257.00	0.095475
258.00	0.085762
259.00	0.076838
260.00	0.068513
261.00	0.061065
262.00	0.054587
263.00	0.048875
264.00	0.043676
265.00	0.039164
266.00	0.035365
267.00	0.032235
268.00	0.029337
269.00	0.026931
270.00	0.025252
271.00	0.024121
272.00	0.023057
273.00	0.022105
274.00	0.021617
275.00	0.021502
276.00	0.021703
277.00	0.022157
278.00	0.023123
279.00	0.024352
280.00	0.025723
281.00	0.027571
282.00	0.029876
283.00	0.032481
284.00	0.035644
285.00	0.039074
286.00	0.042831
287.00	0.046752
288.00	0.051146
289.00	0.056202
290.00	0.061324
291.00	0.066892
292.00	0.072641
293.00	0.079289
294.00	0.086062
295.00	0.092924
296.00	0.099946
297.00	0.10695
298.00	0.11386
299.00	0.12033
300.00	0.12621
301.00	0.13181
302.00	0.13703
303.00	0.14209
304.00	0.14699
305.00	0.15176
306.00	0.15627
307.00	0.15990
308.00	0.16290
309.00	0.16472
310.00	0.16528
311.00	0.16389
312.00	0.16087
313.00	0.15627
314.00	0.15019
315.00	0.14327
316.00	0.13568
317.00	0.12812
318.00	0.12119
319.00	0.11501
320.00	0.10966
321.00	0.10547
322.00	0.10195
323.00	0.099592
324.00	0.097896
325.00	0.097421
326.00	0.097956
327.00	0.098967
328.00	0.10019
329.00	0.10210
330.00	0.10453
331.00	0.10670
332.00	0.10952
333.00	0.11227
334.00	0.11474
335.00	0.11734
336.00	0.12012
337.00	0.12257
338.00	0.12464
339.00	0.12663
340.00	0.12842
341.00	0.12999
342.00	0.13079
343.00	0.13116
344.00	0.13094
345.00	0.13001
346.00	0.12874
347.00	0.12701
