Wavelength (nm)	G05 abs N
240.00	0.35136
241.00	0.30019
242.00	0.28669
243.00	0.29886
244.00	0.31515
245.00	0.33989
246.00	0.37097
247.00	0.40721
248.00	0.44685
249.00	0.48656
250.00	0.52677
251.00	0.56436
252.00	0.59981
253.00	0.63506
254.00	0.67301
255.00	0.71629
256.00	0.76605
257.00	0.82094
258.00	0.87728
259.00	0.93026
260.00	0.97102
261.00	0.99686
262.00	1.0032
263.00	0.99796
264.00	0.98400
265.00	0.97124
266.00	0.96577
267.00	0.97095
268.00	0.98386
269.00	0.99705
270.00	1.0000
271.00	0.98536
272.00	0.94447
273.00	0.87362
274.00	0.77494
275.00	0.65743
276.00	0.53385
277.00	0.41519
278.00	0.31148
279.00	0.22629
280.00	0.16064
281.00	0.11232
282.00	0.078267
283.00	0.055081
284.00	0.039512
285.00	0.029343
286.00	0.022643
287.00	0.018476
288.00	0.015607
289.00	0.013641
290.00	0.012139
291.00	0.011169
292.00	0.010567
293.00	0.010104
294.00	0.0093803
295.00	0.0090801
296.00	0.0086365
297.00	0.0082571
298.00	0.0081721
299.00	0.0080559
300.00	0.0078841
301.00	0.0078910
302.00	0.0077881
303.00	0.0076047
304.00	0.0075718
305.00	0.0078662
306.00	0.0079356
307.00	0.0081715
308.00	0.0082357
309.00	0.0083792
310.00	0.0084191
311.00	0.0085608
312.00	0.0085735
313.00	0.0087094
314.00	0.0090825
315.00	0.0092080
316.00	0.0093653
317.00	0.0095480
318.00	0.0097198
319.00	0.0098025
320.00	0.010064
321.00	0.010128
322.00	0.010625
323.00	0.010791
324.00	0.010800
325.00	0.010891
326.00	0.011247
327.00	0.011074
328.00	0.011321
329.00	0.011532
330.00	0.011582
331.00	0.011646
332.00	0.011743
333.00	0.011910
334.00	0.012109
335.00	0.012249
336.00	0.012208
337.00	0.012221
338.00	0.012207
339.00	0.012213
340.00	0.012379
341.00	0.012348
342.00	0.012335
343.00	0.012257
344.00	0.012117
345.00	0.012304
346.00	0.012262
347.00	0.012023
348.00	0.011947
349.00	0.011865
350.00	0.011778
351.00	0.011503
352.00	0.011576
353.00	0.011571
354.00	0.011207
355.00	0.011006
356.00	0.010872
357.00	0.010491
358.00	0.010381
359.00	0.010303
360.00	0.010376
361.00	0.010222
362.00	0.0096140
363.00	0.0094139
364.00	0.0094416
365.00	0.0090524
366.00	0.0088187
367.00	0.0086394
368.00	0.0083503
369.00	0.0082710
370.00	0.0078627
371.00	0.0075429
372.00	0.0071363
373.00	0.0069535
374.00	0.0068268
375.00	0.0066071
376.00	0.0065082
377.00	0.0066395
378.00	0.0061588
379.00	0.0063295
380.00	0.0060663
381.00	0.0056562
382.00	0.0051802
383.00	0.0053590
384.00	0.0052410
385.00	0.0049957
386.00	0.0044318
387.00	0.0042103
388.00	0.0045041
389.00	0.0042797
390.00	0.0042392
391.00	0.0046077
392.00	0.0045631
393.00	0.0040530
394.00	0.0036996
395.00	0.0035388
396.00	0.0033677
397.00	0.0030929
398.00	0.0035533
399.00	0.0034822
400.00	0.0029726
401.00	0.0029686
402.00	0.0032520
403.00	0.0031872
404.00	0.0032184
405.00	0.0034561
406.00	0.0032271
407.00	0.0029998
408.00	0.0031045
409.00	0.0029911
410.00	0.0027719
411.00	0.0027644
412.00	0.0026985
413.00	0.0027980
414.00	0.0024440
415.00	0.0023972
416.00	0.0023012
417.00	0.0022156
418.00	0.0021224
419.00	0.0018807
420.00	0.0020791
421.00	0.0022647
422.00	0.0021132
423.00	0.0020507
424.00	0.0019374
425.00	0.0014764
426.00	0.0018703
427.00	0.0016094
428.00	0.0024012
429.00	0.0018454
430.00	0.0021155
431.00	0.0017899
432.00	0.0013515
433.00	0.00099868
434.00	0.0017043
435.00	0.0016609
436.00	0.0016366
437.00	0.0016430
438.00	0.0013324
439.00	0.0010993
440.00	0.0013451
441.00	0.0016279
442.00	0.0014602
443.00	0.0011109
444.00	0.00085698
445.00	0.0012277
446.00	0.00072338
447.00	0.00065166
448.00	0.00091424
449.00	0.0010652
450.00	0.00094836
451.00	0.00071297
452.00	0.00044923
453.00	0.00038677
454.00	0.00040875
455.00	0.00086103
456.00	0.00049550
457.00	0.00034224
458.00	0.00066843
459.00	0.00089573
460.00	0.00052211
461.00	0.00052847
462.00	0.00021442
463.00	0.00075504
464.00	0.00030002
465.00	0.00037752
466.00	0.00046254
467.00	0.00028903
468.00	0.00055855
469.00	0.00064930
470.00	0.00038308
471.00	0.00048914
472.00	0.00050996
473.00	0.00083732
474.00	0.00075866
475.00	0.00036595
476.00	0.00068578
477.00	0.00044981
478.00	0.0011321
479.00	0.0010311
480.00	0.00077659
481.00	0.00037405
482.00	0.00036017
483.00	0.00057358
484.00	0.00068983
485.00	0.0011899
486.00	0.00092984
487.00	0.00019302
488.00	0.00049013
489.00	0.00027784
490.00	0.00061465
491.00	0.00035901
492.00	0.00045617
493.00	0.00062564
494.00	0.00061812
495.00	0.00015774
496.00	0.00034744
497.00	0.00039892
498.00	0.00040412
499.00	0.00079567
500.00	0.00066714
