Wavelength (nm)	G06 abs N
240.00	0.65577
241.00	0.72176
242.00	0.76753
243.00	0.75403
244.00	0.70232
245.00	0.63344
246.00	0.56527
247.00	0.50705
248.00	0.46118
249.00	0.42756
250.00	0.40450
251.00	0.38997
252.00	0.38291
253.00	0.38101
254.00	0.38402
255.00	0.39053
256.00	0.40059
257.00	0.41311
258.00	0.42838
259.00	0.44523
260.00	0.46366
261.00	0.48322
262.00	0.50363
263.00	0.52535
264.00	0.54745
265.00	0.57098
266.00	0.59407
267.00	0.61969
268.00	0.64548
269.00	0.67307
270.00	0.70430
271.00	0.73688
272.00	0.76997
273.00	0.80184
274.00	0.83085
275.00	0.85490
276.00	0.87292
277.00	0.88765
278.00	0.89721
279.00	0.89932
280.00	0.90175
281.00	0.90707
282.00	0.91588
283.00	0.93005
284.00	0.95025
285.00	0.97336
286.00	0.99087
287.00	1.0000
288.00	0.99368
289.00	0.97299
290.00	0.93102
291.00	0.87320
292.00	0.79701
293.00	0.70923
294.00	0.61582
295.00	0.52258
296.00	0.43460
297.00	0.35415
298.00	0.28325
299.00	0.22333
300.00	0.17406
301.00	0.13471
302.00	0.10361
303.00	0.079239
304.00	0.060969
305.00	0.047175
306.00	0.036796
307.00	0.029247
308.00	0.023982
309.00	0.020249
310.00	0.017473
311.00	0.015429
312.00	0.014034
313.00	0.013199
314.00	0.012716
315.00	0.012555
316.00	0.012647
317.00	0.012742
318.00	0.012906
319.00	0.013073
320.00	0.013832
321.00	0.014226
322.00	0.014930
323.00	0.015584
324.00	0.016251
325.00	0.016562
326.00	0.017063
327.00	0.017959
328.00	0.018826
329.00	0.019796
330.00	0.020447
331.00	0.021278
332.00	0.022333
333.00	0.023430
334.00	0.024551
335.00	0.025502
336.00	0.026556
337.00	0.027576
338.00	0.028561
339.00	0.029725
340.00	0.030806
341.00	0.031990
342.00	0.032899
343.00	0.033978
344.00	0.035141
345.00	0.035921
346.00	0.037228
347.00	0.038286
348.00	0.039580
349.00	0.040800
350.00	0.042025
351.00	0.043066
352.00	0.044291
353.00	0.045514
354.00	0.046695
355.00	0.047920
356.00	0.048846
357.00	0.049828
358.00	0.050742
359.00	0.051672
360.00	0.052737
361.00	0.054005
362.00	0.055085
363.00	0.056141
364.00	0.056972
365.00	0.057960
366.00	0.059212
367.00	0.060294
368.00	0.061554
369.00	0.062800
370.00	0.063719
371.00	0.064800
372.00	0.065652
373.00	0.066179
374.00	0.067583
375.00	0.068725
376.00	0.069255
377.00	0.069946
378.00	0.070282
379.00	0.071479
380.00	0.072149
381.00	0.072507
382.00	0.072953
383.00	0.073031
384.00	0.073509
385.00	0.073534
386.00	0.073913
387.00	0.074238
388.00	0.074321
389.00	0.074339
390.00	0.074046
391.00	0.073646
392.00	0.073702
393.00	0.073538
394.00	0.073306
395.00	0.073009
396.00	0.072160
397.00	0.071531
398.00	0.070835
399.00	0.070108
400.00	0.069930
401.00	0.068912
402.00	0.067441
403.00	0.066817
404.00	0.065987
405.00	0.064595
406.00	0.063693
407.00	0.062515
408.00	0.061748
409.00	0.060320
410.00	0.058719
411.00	0.057750
412.00	0.056696
413.00	0.055374
414.00	0.053862
415.00	0.052450
416.00	0.050856
417.00	0.049527
418.00	0.048274
419.00	0.046678
420.00	0.045429
421.00	0.043842
422.00	0.042216
423.00	0.040891
424.00	0.039306
425.00	0.038051
426.00	0.036934
427.00	0.035645
428.00	0.034076
429.00	0.032438
430.00	0.031122
431.00	0.029839
432.00	0.028985
433.00	0.027539
434.00	0.026141
435.00	0.024897
436.00	0.023751
437.00	0.022910
438.00	0.021929
439.00	0.020651
440.00	0.019450
441.00	0.018471
442.00	0.017760
443.00	0.016558
444.00	0.016162
445.00	0.015181
446.00	0.014383
447.00	0.013885
448.00	0.013082
449.00	0.012088
450.00	0.011819
451.00	0.011045
452.00	0.010233
453.00	0.0097395
454.00	0.0091867
455.00	0.0086089
456.00	0.0082484
457.00	0.0082801
458.00	0.0075012
459.00	0.0069654
460.00	0.0061222
461.00	0.0064310
462.00	0.0057459
463.00	0.0057004
464.00	0.0056149
465.00	0.0054964
466.00	0.0050250
467.00	0.0047016
468.00	0.0043061
469.00	0.0042097
470.00	0.0041809
471.00	0.0042155
472.00	0.0032864
473.00	0.0033928
474.00	0.0030907
475.00	0.0028441
476.00	0.0030181
477.00	0.0031191
478.00	0.0025679
479.00	0.0026147
480.00	0.0020122
481.00	0.0020381
482.00	0.0020164
483.00	0.0021712
484.00	0.0020735
485.00	0.0014039
486.00	0.0016989
487.00	0.0012103
488.00	0.0011778
489.00	0.0016259
490.00	0.0015015
491.00	0.0012896
492.00	0.0012946
493.00	0.0013296
494.00	0.0010705
495.00	0.0013885
496.00	0.0014010
497.00	0.0016071
498.00	0.0010034
499.00	0.00097040
500.00	0.00055902
