Wavelength (nm)	G09 abs N
230.00	0.62893
231.00	0.59284
232.00	0.58617
233.00	0.62281
234.00	0.70006
235.00	0.71205
236.00	0.70389
237.00	0.62087
238.00	0.57356
239.00	0.55027
240.00	0.51053
241.00	0.48023
242.00	0.48018
243.00	0.50412
244.00	0.53507
245.00	0.56882
246.00	0.60851
247.00	0.64570
248.00	0.68142
249.00	0.71530
250.00	0.75002
251.00	0.78655
252.00	0.82402
253.00	0.86627
254.00	0.90941
255.00	0.94972
256.00	0.98036
257.00	0.99737
258.00	1.0000
259.00	0.98808
260.00	0.96619
261.00	0.94243
262.00	0.92221
263.00	0.90736
264.00	0.89743
265.00	0.88586
266.00	0.86518
267.00	0.82963
268.00	0.77287
269.00	0.69383
270.00	0.60077
271.00	0.49863
272.00	0.39705
273.00	0.30458
274.00	0.22588
275.00	0.16309
276.00	0.11506
277.00	0.080119
278.00	0.055707
279.00	0.039169
280.00	0.028207
281.00	0.021098
282.00	0.016631
283.00	0.013758
284.00	0.012079
285.00	0.011108
286.00	0.010689
287.00	0.010627
288.00	0.010351
289.00	0.010269
290.00	0.010604
291.00	0.010711
292.00	0.010929
293.00	0.011233
294.00	0.011544
295.00	0.011694
296.00	0.011957
297.00	0.012175
298.00	0.012487
299.00	0.012982
300.00	0.013317
301.00	0.013540
302.00	0.013921
303.00	0.014042
304.00	0.014357
305.00	0.014524
306.00	0.014757
307.00	0.015184
308.00	0.015125
309.00	0.015321
310.00	0.015378
311.00	0.015547
312.00	0.015702
313.00	0.015814
314.00	0.015700
315.00	0.015905
316.00	0.015850
317.00	0.015835
318.00	0.015665
319.00	0.015383
320.00	0.015108
321.00	0.015199
322.00	0.015009
323.00	0.014654
324.00	0.014651
325.00	0.014610
326.00	0.014166
327.00	0.013796
328.00	0.013796
329.00	0.013575
330.00	0.013203
331.00	0.012651
332.00	0.012377
333.00	0.011930
334.00	0.011650
335.00	0.011137
336.00	0.010711
337.00	0.010118
338.00	0.0098022
339.00	0.0095065
340.00	0.0091302
341.00	0.0087115
342.00	0.0082679
343.00	0.0078727
344.00	0.0072434
345.00	0.0070931
346.00	0.0069492
347.00	0.0064504
348.00	0.0060974
349.00	0.0058246
350.00	0.0052407
351.00	0.0048843
352.00	0.0046717
353.00	0.0044775
354.00	0.0040454
355.00	0.0036800
356.00	0.0035805
357.00	0.0033535
358.00	0.0030991
359.00	0.0030413
360.00	0.0029696
361.00	0.0025574
362.00	0.0021582
363.00	0.0020606
364.00	0.0021975
365.00	0.0020417
366.00	0.0019242
367.00	0.0021507
368.00	0.0017017
369.00	0.0018451
370.00	0.0018167
371.00	0.0014622
372.00	0.0013507
373.00	0.0013179
374.00	0.0012716
375.00	0.0014020
376.00	0.0013841
377.00	0.0012512
378.00	0.0012980
379.00	0.0011630
380.00	0.0017251
381.00	0.0015991
382.00	0.0011521
383.00	0.0014568
384.00	0.0017306
385.00	0.0015050
386.00	0.0013681
387.00	0.0010456
388.00	0.0013119
389.00	0.0014359
390.00	0.0016962
391.00	0.0011367
392.00	0.00097487
393.00	0.0013627
394.00	0.0012576
395.00	0.0014080
396.00	0.0013159
397.00	0.0013119
398.00	0.0016260
399.00	0.0015643
400.00	0.0012895
