Wavelength (nm)	G10 abs N
240.00	0.60249
241.00	0.60438
242.00	0.60465
243.00	0.60734
244.00	0.61541
245.00	0.62483
246.00	0.63699
247.00	0.64994
248.00	0.66481
249.00	0.68312
250.00	0.70483
251.00	0.72642
252.00	0.74537
253.00	0.75996
254.00	0.77175
255.00	0.78546
256.00	0.80574
257.00	0.83417
258.00	0.86688
259.00	0.89848
260.00	0.92438
261.00	0.94030
262.00	0.94881
263.00	0.95489
264.00	0.96338
265.00	0.97601
266.00	0.99088
267.00	1.00000
268.00	0.99265
269.00	0.96490
270.00	0.92416
271.00	0.88312
272.00	0.85680
273.00	0.85483
274.00	0.87886
275.00	0.91885
276.00	0.95530
277.00	0.96852
278.00	0.94217
279.00	0.87288
280.00	0.76941
281.00	0.64721
282.00	0.52186
283.00	0.40506
284.00	0.30475
285.00	0.22359
286.00	0.16120
287.00	0.11435
288.00	0.080411
289.00	0.056214
290.00	0.039044
291.00	0.027504
292.00	0.019691
293.00	0.014186
294.00	0.010319
295.00	0.0074613
296.00	0.0055819
297.00	0.0042256
298.00	0.0036081
299.00	0.0031488
300.00	0.0027427
301.00	0.0024605
302.00	0.0021887
303.00	0.0021567
304.00	0.0016267
305.00	0.0017616
306.00	0.0014650
307.00	0.0012276
308.00	0.0010892
309.00	0.0011914
310.00	0.0011746
311.00	0.00093472
312.00	0.0012618
313.00	0.0013639
314.00	0.0012678
315.00	0.0010314
316.00	0.0014449
317.00	0.0010756
318.00	0.0012944
319.00	0.0012667
320.00	0.0014682
321.00	0.0012404
322.00	0.0012632
323.00	0.0010234
324.00	0.0012796
325.00	0.0012156
326.00	0.0012117
327.00	0.0010766
328.00	0.0011529
329.00	0.00099232
330.00	0.00083013
331.00	0.0011178
332.00	0.0012538
333.00	0.0010667
334.00	0.0011760
335.00	0.00099813
336.00	0.00093188
337.00	0.00086022
338.00	0.00099182
339.00	0.0011147
340.00	0.00096448
341.00	0.00093184
342.00	0.0010157
343.00	0.00097823
344.00	0.00091903
345.00	0.0011715
346.00	0.0011101
347.00	0.0011593
348.00	0.0010747
349.00	0.0012236
350.00	0.00095627
