Wavelength (nm)	G12 abs N
211.00	0.42140
212.00	0.38228
213.00	0.36187
214.00	0.35214
215.00	0.34863
216.00	0.34792
217.00	0.34984
218.00	0.35195
219.00	0.35465
220.00	0.35745
221.00	0.36187
222.00	0.36823
223.00	0.37549
224.00	0.38367
225.00	0.39144
226.00	0.40086
227.00	0.41397
228.00	0.43351
229.00	0.45911
230.00	0.48896
231.00	0.52343
232.00	0.55983
233.00	0.59940
234.00	0.63929
235.00	0.68052
236.00	0.72273
237.00	0.76667
238.00	0.81138
239.00	0.85547
240.00	0.89148
241.00	0.91462
242.00	0.93210
243.00	0.94931
244.00	0.96965
245.00	0.99262
246.00	1.0000
247.00	0.98292
248.00	0.96427
249.00	0.95166
250.00	0.94390
251.00	0.93761
252.00	0.89892
253.00	0.81369
254.00	0.72313
255.00	0.65001
256.00	0.60015
257.00	0.56491
258.00	0.52802
259.00	0.48203
260.00	0.43104
261.00	0.37334
262.00	0.31304
263.00	0.25755
264.00	0.20999
265.00	0.17030
266.00	0.13842
267.00	0.11286
268.00	0.093654
269.00	0.078487
270.00	0.066782
271.00	0.058086
272.00	0.051289
273.00	0.046028
274.00	0.041848
275.00	0.038509
276.00	0.035704
277.00	0.034130
278.00	0.032881
279.00	0.031886
280.00	0.031151
281.00	0.030902
282.00	0.031152
283.00	0.031282
284.00	0.031717
285.00	0.032436
286.00	0.033261
287.00	0.034345
288.00	0.035318
289.00	0.036845
290.00	0.038431
291.00	0.040113
292.00	0.041853
293.00	0.043797
294.00	0.045746
295.00	0.048029
296.00	0.050201
297.00	0.052688
298.00	0.055064
299.00	0.057817
300.00	0.060698
301.00	0.063513
302.00	0.066249
303.00	0.069144
304.00	0.072153
305.00	0.075327
306.00	0.078634
307.00	0.081903
308.00	0.085527
309.00	0.088922
310.00	0.092088
311.00	0.095741
312.00	0.099063
313.00	0.10227
314.00	0.10569
315.00	0.10881
316.00	0.11219
317.00	0.11550
318.00	0.11852
319.00	0.12169
320.00	0.12432
321.00	0.12733
322.00	0.12991
323.00	0.13207
324.00	0.13439
325.00	0.13640
326.00	0.13807
327.00	0.13943
328.00	0.14104
329.00	0.14204
330.00	0.14278
331.00	0.14355
332.00	0.14356
333.00	0.14328
334.00	0.14263
335.00	0.14193
336.00	0.14093
337.00	0.13931
338.00	0.13773
339.00	0.13552
340.00	0.13281
341.00	0.13032
342.00	0.12733
343.00	0.12405
344.00	0.12058
345.00	0.11709
346.00	0.11317
347.00	0.10886
348.00	0.10474
349.00	0.10072
350.00	0.096313
351.00	0.091705
352.00	0.086919
353.00	0.082310
354.00	0.077754
355.00	0.072933
356.00	0.068364
357.00	0.064130
358.00	0.059989
359.00	0.055949
360.00	0.051880
361.00	0.047841
362.00	0.043982
363.00	0.040185
364.00	0.036629
365.00	0.033136
366.00	0.030356
367.00	0.027549
368.00	0.024592
369.00	0.022749
370.00	0.020420
371.00	0.018663
372.00	0.016822
373.00	0.015411
374.00	0.014128
375.00	0.012464
376.00	0.011672
377.00	0.010977
378.00	0.0097865
379.00	0.0091464
380.00	0.0086099
381.00	0.0080710
382.00	0.0072135
383.00	0.0068783
384.00	0.0066403
385.00	0.0058669
386.00	0.0056445
387.00	0.0052356
388.00	0.0051750
389.00	0.0051486
390.00	0.0049263
391.00	0.0049101
392.00	0.0049101
393.00	0.0045574
394.00	0.0043057
395.00	0.0043526
396.00	0.0039798
397.00	0.0040771
398.00	0.0039178
399.00	0.0038259
400.00	0.0039002
