Wavelength (nm)	G14 abs N
220.00	0.64054
221.00	0.60365
222.00	0.56794
223.00	0.53638
224.00	0.50779
225.00	0.48078
226.00	0.45358
227.00	0.42949
228.00	0.41018
229.00	0.39638
230.00	0.38804
231.00	0.38775
232.00	0.39612
233.00	0.41172
234.00	0.43132
235.00	0.45607
236.00	0.48657
237.00	0.51930
238.00	0.54618
239.00	0.56924
240.00	0.60212
241.00	0.64875
242.00	0.69492
243.00	0.72375
244.00	0.73787
245.00	0.75969
246.00	0.78924
247.00	0.79541
248.00	0.76331
249.00	0.71949
250.00	0.71101
251.00	0.75633
252.00	0.81116
253.00	0.81241
254.00	0.74084
255.00	0.62911
256.00	0.53210
257.00	0.47540
258.00	0.45344
259.00	0.45499
260.00	0.47235
261.00	0.49501
262.00	0.51911
263.00	0.54836
264.00	0.58520
265.00	0.62700
266.00	0.67561
267.00	0.72397
268.00	0.77323
269.00	0.81612
270.00	0.84864
271.00	0.87016
272.00	0.88326
273.00	0.89261
274.00	0.90046
275.00	0.91379
276.00	0.93272
277.00	0.95529
278.00	0.97866
279.00	0.99671
280.00	1.0000
281.00	0.98144
282.00	0.93730
283.00	0.86915
284.00	0.78181
285.00	0.68512
286.00	0.58721
287.00	0.49489
288.00	0.41227
289.00	0.34119
290.00	0.28063
291.00	0.23211
292.00	0.19297
293.00	0.16204
294.00	0.13762
295.00	0.11901
296.00	0.10484
297.00	0.094082
298.00	0.085986
299.00	0.080431
300.00	0.076644
301.00	0.074118
302.00	0.072610
303.00	0.072135
304.00	0.072428
305.00	0.073321
306.00	0.074792
307.00	0.076770
308.00	0.079139
309.00	0.081934
310.00	0.084887
311.00	0.088147
312.00	0.091417
313.00	0.095080
314.00	0.098950
315.00	0.10293
316.00	0.10703
317.00	0.11105
318.00	0.11541
319.00	0.11944
320.00	0.12368
321.00	0.12795
322.00	0.13209
323.00	0.13626
324.00	0.14019
325.00	0.14403
326.00	0.14788
327.00	0.15150
328.00	0.15472
329.00	0.15780
330.00	0.16064
331.00	0.16353
332.00	0.16601
333.00	0.16819
334.00	0.16987
335.00	0.17140
336.00	0.17241
337.00	0.17323
338.00	0.17377
339.00	0.17402
340.00	0.17391
341.00	0.17303
342.00	0.17195
343.00	0.17088
344.00	0.16909
345.00	0.16724
346.00	0.16482
347.00	0.16222
348.00	0.15925
349.00	0.15616
350.00	0.15275
351.00	0.14922
352.00	0.14531
353.00	0.14147
354.00	0.13713
355.00	0.13274
356.00	0.12864
357.00	0.12432
358.00	0.11988
359.00	0.11566
360.00	0.11107
361.00	0.10603
362.00	0.10122
363.00	0.096659
364.00	0.092218
365.00	0.087297
366.00	0.082710
367.00	0.078359
368.00	0.073662
369.00	0.069197
370.00	0.065528
371.00	0.061457
372.00	0.057162
373.00	0.053858
374.00	0.050167
375.00	0.046461
376.00	0.043632
377.00	0.040629
378.00	0.037638
379.00	0.035063
380.00	0.032478
381.00	0.030113
382.00	0.028314
383.00	0.026109
384.00	0.024435
385.00	0.022805
386.00	0.021597
387.00	0.019660
388.00	0.018492
389.00	0.017585
390.00	0.016653
391.00	0.015668
392.00	0.014820
393.00	0.014143
394.00	0.013458
395.00	0.012749
396.00	0.011952
397.00	0.011374
398.00	0.010936
399.00	0.010448
400.00	0.010323
401.00	0.0098685
402.00	0.0093238
403.00	0.0090124
404.00	0.0085047
405.00	0.0082030
406.00	0.0083193
407.00	0.0076082
408.00	0.0077299
409.00	0.0072218
410.00	0.0072860
411.00	0.0067419
412.00	0.0069575
413.00	0.0068261
414.00	0.0065082
415.00	0.0064289
416.00	0.0061247
417.00	0.0062372
418.00	0.0061671
419.00	0.0060099
420.00	0.0056390
421.00	0.0053290
422.00	0.0054847
423.00	0.0052185
424.00	0.0050525
425.00	0.0046646
426.00	0.0049065
427.00	0.0044032
428.00	0.0046612
429.00	0.0041166
430.00	0.0040207
431.00	0.0040786
432.00	0.0039423
433.00	0.0039886
434.00	0.0034848
435.00	0.0036036
436.00	0.0034946
437.00	0.0033442
438.00	0.0032609
439.00	0.0033033
440.00	0.0033972
441.00	0.0031782
442.00	0.0032580
443.00	0.0028200
444.00	0.0027752
445.00	0.0029937
446.00	0.0027333
447.00	0.0029908
448.00	0.0026657
449.00	0.0026126
450.00	0.0022413
451.00	0.0020062
452.00	0.0021410
453.00	0.0021673
454.00	0.0023961
455.00	0.0025031
456.00	0.0022505
457.00	0.0018475
458.00	0.0020529
459.00	0.0019215
460.00	0.0018928
461.00	0.0020807
462.00	0.0019746
463.00	0.0018607
464.00	0.0017079
465.00	0.0016524
466.00	0.0017283
467.00	0.0015701
468.00	0.0016173
469.00	0.0016538
470.00	0.0019094
471.00	0.0017799
472.00	0.0017093
473.00	0.0017069
474.00	0.0018982
475.00	0.0018183
476.00	0.0014986
477.00	0.0018500
478.00	0.0019833
479.00	0.0019201
480.00	0.0017638
481.00	0.0016183
482.00	0.0018724
483.00	0.0016714
484.00	0.0018617
485.00	0.0013667
486.00	0.0014523
487.00	0.0015244
488.00	0.0016198
489.00	0.0015068
490.00	0.0013939
491.00	0.0014445
492.00	0.0015579
493.00	0.0016013
494.00	0.0012129
495.00	0.0012465
496.00	0.0012713
497.00	0.0012095
498.00	0.0015930
499.00	0.0014845
500.00	0.0014708
