Wavelength (nm)	G15 abs N
200.00	0.77421
201.00	0.80177
202.00	0.74428
203.00	0.68115
204.00	0.62931
205.00	0.58116
206.00	0.54398
207.00	0.51657
208.00	0.49200
209.00	0.47051
210.00	0.45392
211.00	0.43972
212.00	0.42784
213.00	0.41721
214.00	0.40639
215.00	0.39439
216.00	0.38430
217.00	0.37712
218.00	0.37207
219.00	0.36759
220.00	0.36081
221.00	0.35359
222.00	0.34874
223.00	0.34882
224.00	0.35088
225.00	0.35393
226.00	0.35829
227.00	0.36674
228.00	0.38147
229.00	0.40158
230.00	0.42692
231.00	0.45664
232.00	0.49087
233.00	0.52906
234.00	0.56816
235.00	0.60761
236.00	0.64885
237.00	0.69367
238.00	0.73880
239.00	0.77916
240.00	0.81173
241.00	0.83943
242.00	0.87083
243.00	0.90734
244.00	0.94403
245.00	0.96772
246.00	0.96765
247.00	0.95689
248.00	0.95440
249.00	0.96732
250.00	0.98940
251.00	1.0000
252.00	0.98088
253.00	0.93952
254.00	0.90338
255.00	0.88041
256.00	0.86421
257.00	0.84717
258.00	0.82783
259.00	0.80823
260.00	0.79330
261.00	0.78508
262.00	0.78506
263.00	0.78707
264.00	0.78320
265.00	0.76863
266.00	0.73349
267.00	0.67890
268.00	0.60973
269.00	0.53187
270.00	0.45231
271.00	0.37698
272.00	0.30730
273.00	0.24711
274.00	0.19668
275.00	0.15574
276.00	0.12369
277.00	0.099433
278.00	0.081291
279.00	0.067876
280.00	0.057815
281.00	0.051023
282.00	0.046108
283.00	0.042590
284.00	0.040523
285.00	0.038945
286.00	0.038153
287.00	0.037974
288.00	0.038065
289.00	0.038417
290.00	0.039200
291.00	0.040207
292.00	0.041461
293.00	0.042826
294.00	0.044431
295.00	0.046195
296.00	0.047886
297.00	0.049873
298.00	0.052200
299.00	0.054429
300.00	0.057179
301.00	0.059791
302.00	0.062259
303.00	0.065191
304.00	0.068171
305.00	0.071101
306.00	0.073921
307.00	0.077367
308.00	0.080886
309.00	0.084370
310.00	0.087561
311.00	0.090900
312.00	0.094117
313.00	0.097334
314.00	0.10098
315.00	0.10418
316.00	0.10783
317.00	0.11089
318.00	0.11404
319.00	0.11692
320.00	0.12007
321.00	0.12254
322.00	0.12506
323.00	0.12750
324.00	0.12985
325.00	0.13172
326.00	0.13329
327.00	0.13460
328.00	0.13586
329.00	0.13676
330.00	0.13735
331.00	0.13745
332.00	0.13711
333.00	0.13681
334.00	0.13609
335.00	0.13504
336.00	0.13365
337.00	0.13136
338.00	0.12943
339.00	0.12724
340.00	0.12467
341.00	0.12154
342.00	0.11845
343.00	0.11504
344.00	0.11144
345.00	0.10786
346.00	0.10367
347.00	0.099657
348.00	0.095492
349.00	0.091349
350.00	0.086884
351.00	0.082361
352.00	0.078091
353.00	0.073585
354.00	0.069035
355.00	0.064557
356.00	0.060309
357.00	0.055736
358.00	0.051618
359.00	0.048162
360.00	0.044600
361.00	0.041322
362.00	0.038382
363.00	0.034690
364.00	0.031538
365.00	0.028680
366.00	0.025796
367.00	0.023625
368.00	0.021670
369.00	0.019522
370.00	0.017742
371.00	0.016367
372.00	0.015271
373.00	0.014062
374.00	0.013143
375.00	0.011916
376.00	0.010806
377.00	0.010449
378.00	0.0095543
379.00	0.0090276
380.00	0.0083312
381.00	0.0079909
382.00	0.0071460
383.00	0.0066030
384.00	0.0069580
385.00	0.0064161
386.00	0.0062616
387.00	0.0060266
388.00	0.0060714
389.00	0.0054901
390.00	0.0052260
391.00	0.0051325
392.00	0.0054615
393.00	0.0050893
394.00	0.0048737
395.00	0.0047198
396.00	0.0049380
397.00	0.0046846
398.00	0.0047149
399.00	0.0046452
400.00	0.0042881
401.00	0.0043103
402.00	0.0042946
403.00	0.0042011
404.00	0.0048013
405.00	0.0044583
406.00	0.0039337
407.00	0.0043886
408.00	0.0037965
409.00	0.0038511
410.00	0.0036490
411.00	0.0039359
412.00	0.0037581
413.00	0.0035934
414.00	0.0037117
415.00	0.0038473
416.00	0.0039126
417.00	0.0037257
418.00	0.0035750
419.00	0.0036712
420.00	0.0035501
421.00	0.0037738
422.00	0.0036852
423.00	0.0038149
424.00	0.0035853
425.00	0.0034335
426.00	0.0034615
427.00	0.0033767
428.00	0.0034734
429.00	0.0031001
430.00	0.0032789
431.00	0.0033395
432.00	0.0030132
433.00	0.0026896
434.00	0.0032995
435.00	0.0033670
436.00	0.0024756
437.00	0.0027295
438.00	0.0026879
439.00	0.0029056
440.00	0.0030623
441.00	0.0027738
442.00	0.0027755
443.00	0.0027560
444.00	0.0028678
445.00	0.0023924
446.00	0.0025772
447.00	0.0024140
448.00	0.0025329
449.00	0.0025415
450.00	0.0027155
451.00	0.0025556
452.00	0.0024643
453.00	0.0022131
454.00	0.0022412
455.00	0.0022358
456.00	0.0021682
457.00	0.0019878
458.00	0.0018587
459.00	0.0018106
460.00	0.0021153
461.00	0.0019305
462.00	0.0019300
463.00	0.0015275
464.00	0.0017004
465.00	0.0017398
466.00	0.0017733
467.00	0.0016458
468.00	0.0016356
469.00	0.0015961
470.00	0.0012336
471.00	0.0015761
472.00	0.0016231
473.00	0.0018851
474.00	0.0021688
475.00	0.00076470
476.00	0.0013579
477.00	0.0013195
478.00	0.0011942
479.00	0.0010607
480.00	0.0013222
481.00	0.0012471
482.00	0.00054482
483.00	0.00091650
484.00	0.0010570
485.00	0.00050971
486.00	0.0017166
487.00	0.0016674
488.00	0.0011119
489.00	0.00099986
