Wavelength (nm)	G16 abs N
240.00	0.37211
241.00	0.34219
242.00	0.32961
243.00	0.34172
244.00	0.35812
245.00	0.38056
246.00	0.40802
247.00	0.43660
248.00	0.46769
249.00	0.50015
250.00	0.53543
251.00	0.57213
252.00	0.60859
253.00	0.64754
254.00	0.69113
255.00	0.74098
256.00	0.79512
257.00	0.84637
258.00	0.88497
259.00	0.90392
260.00	0.90317
261.00	0.89262
262.00	0.88358
263.00	0.88667
264.00	0.90577
265.00	0.93588
266.00	0.97060
267.00	0.99952
268.00	1.00000
269.00	0.96570
270.00	0.89067
271.00	0.78727
272.00	0.68267
273.00	0.59428
274.00	0.52721
275.00	0.47648
276.00	0.43415
277.00	0.39312
278.00	0.35003
279.00	0.30499
280.00	0.26008
281.00	0.21737
282.00	0.17865
283.00	0.14496
284.00	0.11719
285.00	0.095177
286.00	0.078345
287.00	0.065892
288.00	0.057172
289.00	0.051429
290.00	0.047836
291.00	0.046037
292.00	0.045515
293.00	0.045846
294.00	0.047105
295.00	0.048785
296.00	0.051417
297.00	0.053972
298.00	0.057114
299.00	0.060063
300.00	0.063792
301.00	0.067567
302.00	0.071563
303.00	0.075746
304.00	0.079959
305.00	0.084181
306.00	0.088548
307.00	0.093031
308.00	0.097591
309.00	0.10220
310.00	0.10651
311.00	0.11083
312.00	0.11498
313.00	0.11903
314.00	0.12284
315.00	0.12638
316.00	0.12960
317.00	0.13235
318.00	0.13489
319.00	0.13689
320.00	0.13885
321.00	0.14056
322.00	0.14158
323.00	0.14219
324.00	0.14238
325.00	0.14230
326.00	0.14138
327.00	0.14040
328.00	0.13878
329.00	0.13642
330.00	0.13346
331.00	0.13078
332.00	0.12711
333.00	0.12323
334.00	0.11915
335.00	0.11507
336.00	0.11109
337.00	0.10665
338.00	0.10282
339.00	0.098847
340.00	0.094885
341.00	0.091404
342.00	0.087744
343.00	0.084355
344.00	0.080991
345.00	0.077690
346.00	0.074514
347.00	0.071558
348.00	0.068516
349.00	0.065235
350.00	0.062307
351.00	0.059020
352.00	0.056113
353.00	0.053111
354.00	0.050096
355.00	0.047039
356.00	0.044486
357.00	0.042064
358.00	0.039550
359.00	0.037350
360.00	0.035349
361.00	0.033835
362.00	0.031773
363.00	0.030390
364.00	0.029146
365.00	0.028057
366.00	0.027394
367.00	0.026886
368.00	0.026414
369.00	0.025924
370.00	0.025574
371.00	0.025301
372.00	0.025589
373.00	0.025400
374.00	0.025534
375.00	0.025993
376.00	0.026013
377.00	0.026430
378.00	0.026837
379.00	0.027535
380.00	0.027632
381.00	0.028644
382.00	0.029599
383.00	0.030099
384.00	0.031036
385.00	0.030898
386.00	0.032216
387.00	0.032804
388.00	0.033600
389.00	0.034440
390.00	0.035737
391.00	0.035660
392.00	0.036637
393.00	0.037185
394.00	0.038162
395.00	0.038586
396.00	0.039524
397.00	0.040203
398.00	0.040709
399.00	0.041435
400.00	0.042394
401.00	0.042943
402.00	0.043592
403.00	0.044711
404.00	0.044858
405.00	0.045460
406.00	0.046116
407.00	0.046318
408.00	0.047148
409.00	0.047597
410.00	0.048054
411.00	0.048188
412.00	0.048699
413.00	0.049139
414.00	0.049431
415.00	0.049454
416.00	0.049499
417.00	0.049888
418.00	0.049743
419.00	0.049801
420.00	0.049736
421.00	0.049551
422.00	0.049410
423.00	0.049125
424.00	0.049289
425.00	0.049236
426.00	0.048513
427.00	0.047865
428.00	0.047788
429.00	0.047295
430.00	0.046641
431.00	0.046594
432.00	0.046134
433.00	0.045271
434.00	0.044432
435.00	0.044037
436.00	0.043353
437.00	0.042256
438.00	0.041759
439.00	0.041136
440.00	0.040447
441.00	0.039532
442.00	0.038738
443.00	0.037837
444.00	0.036504
445.00	0.035654
446.00	0.034829
447.00	0.033678
448.00	0.032620
449.00	0.031844
450.00	0.030812
451.00	0.029861
452.00	0.028989
453.00	0.027540
454.00	0.026211
455.00	0.025704
456.00	0.024731
457.00	0.023590
458.00	0.022795
459.00	0.021739
460.00	0.020694
461.00	0.020083
462.00	0.018920
463.00	0.018117
464.00	0.017205
465.00	0.016712
466.00	0.015922
467.00	0.014816
468.00	0.014323
469.00	0.013697
470.00	0.013031
471.00	0.012702
472.00	0.012131
473.00	0.011025
474.00	0.010349
475.00	0.010187
476.00	0.0098923
477.00	0.0097381
478.00	0.0088047
479.00	0.0085694
480.00	0.0075097
481.00	0.0072196
482.00	0.0069410
483.00	0.0067532
484.00	0.0068238
485.00	0.0057960
486.00	0.0056825
487.00	0.0060053
488.00	0.0059146
489.00	0.0056638
490.00	0.0054075
491.00	0.0050222
492.00	0.0048995
493.00	0.0048393
494.00	0.0042155
495.00	0.0046893
496.00	0.0045789
497.00	0.0043359
498.00	0.0039588
499.00	0.0036514
500.00	0.0040349
501.00	0.0037755
502.00	0.0037540
503.00	0.0034645
504.00	0.0032123
505.00	0.0033491
506.00	0.0028635
