Wavelength (nm)	G21 abs N
210.00	0.57611
211.00	0.52849
212.00	0.48403
213.00	0.44228
214.00	0.40841
215.00	0.38340
216.00	0.36642
217.00	0.35664
218.00	0.35317
219.00	0.35432
220.00	0.35924
221.00	0.36683
222.00	0.37719
223.00	0.38919
224.00	0.40342
225.00	0.41910
226.00	0.43527
227.00	0.45148
228.00	0.46724
229.00	0.48237
230.00	0.49814
231.00	0.51491
232.00	0.53154
233.00	0.54872
234.00	0.56568
235.00	0.58279
236.00	0.60044
237.00	0.62158
238.00	0.64790
239.00	0.67926
240.00	0.71370
241.00	0.74883
242.00	0.78202
243.00	0.81283
244.00	0.84218
245.00	0.87318
246.00	0.90889
247.00	0.94581
248.00	0.97921
249.00	0.99961
250.00	1.0000
251.00	0.97915
252.00	0.94364
253.00	0.90257
254.00	0.86380
255.00	0.83196
256.00	0.80837
257.00	0.79283
258.00	0.78212
259.00	0.77412
260.00	0.76588
261.00	0.75766
262.00	0.74861
263.00	0.73962
264.00	0.73239
265.00	0.72510
266.00	0.71771
267.00	0.70723
268.00	0.69394
269.00	0.67600
270.00	0.65390
271.00	0.62879
272.00	0.60377
273.00	0.57969
274.00	0.55883
275.00	0.54129
276.00	0.52757
277.00	0.51722
278.00	0.50935
279.00	0.50406
280.00	0.50069
281.00	0.49759
282.00	0.49396
283.00	0.48928
284.00	0.48234
285.00	0.47286
286.00	0.45897
287.00	0.44288
288.00	0.42432
289.00	0.40497
290.00	0.38509
291.00	0.36637
292.00	0.34871
293.00	0.33227
294.00	0.31772
295.00	0.30456
296.00	0.29348
297.00	0.28316
298.00	0.27369
299.00	0.26524
300.00	0.25707
301.00	0.24915
302.00	0.24138
303.00	0.23318
304.00	0.22493
305.00	0.21648
306.00	0.20804
307.00	0.19946
308.00	0.19112
309.00	0.18296
310.00	0.17530
311.00	0.16758
312.00	0.16090
313.00	0.15515
314.00	0.14996
315.00	0.14508
316.00	0.14159
317.00	0.13801
318.00	0.13531
319.00	0.13308
320.00	0.13105
321.00	0.12979
322.00	0.12871
323.00	0.12773
324.00	0.12674
325.00	0.12587
326.00	0.12521
327.00	0.12454
328.00	0.12355
329.00	0.12249
330.00	0.12121
331.00	0.11950
332.00	0.11773
333.00	0.11567
334.00	0.11358
