Wavelength (nm)	G23 abs N
280.00	0.78129
281.00	0.80658
282.00	0.83764
283.00	0.86444
284.00	0.88044
285.00	0.88878
286.00	0.88762
287.00	0.88007
288.00	0.87086
289.00	0.86673
290.00	0.86905
291.00	0.87891
292.00	0.90299
293.00	0.93538
294.00	0.96979
295.00	0.99442
296.00	1.0000
297.00	0.98236
298.00	0.93394
299.00	0.86164
300.00	0.77993
301.00	0.69581
302.00	0.61947
303.00	0.55103
304.00	0.49413
305.00	0.44747
306.00	0.40907
307.00	0.37664
308.00	0.34971
309.00	0.32770
310.00	0.30913
311.00	0.29436
312.00	0.28351
313.00	0.27598
314.00	0.27143
315.00	0.26819
316.00	0.26595
317.00	0.26373
318.00	0.25984
319.00	0.25422
320.00	0.24633
321.00	0.23608
322.00	0.22441
323.00	0.21136
324.00	0.19817
325.00	0.18486
326.00	0.17185
327.00	0.15974
328.00	0.14814
329.00	0.13753
330.00	0.12726
331.00	0.11779
332.00	0.10847
333.00	0.099497
334.00	0.090872
335.00	0.083194
336.00	0.075966
337.00	0.069006
338.00	0.063271
339.00	0.058227
340.00	0.054157
341.00	0.050824
342.00	0.048026
343.00	0.046252
344.00	0.044997
345.00	0.044134
346.00	0.043551
347.00	0.043569
348.00	0.043911
349.00	0.044612
350.00	0.045539
351.00	0.046772
352.00	0.048146
353.00	0.049587
354.00	0.051610
355.00	0.053743
356.00	0.056127
357.00	0.058680
358.00	0.061406
359.00	0.064212
360.00	0.067130
361.00	0.070517
362.00	0.073950
363.00	0.077366
364.00	0.080638
365.00	0.083952
366.00	0.087158
367.00	0.090437
368.00	0.093582
369.00	0.096817
370.00	0.10009
371.00	0.10318
372.00	0.10633
373.00	0.10976
374.00	0.11358
375.00	0.11692
376.00	0.12100
377.00	0.12513
378.00	0.12981
379.00	0.13447
380.00	0.13853
381.00	0.14211
382.00	0.14588
383.00	0.14910
384.00	0.15094
385.00	0.15197
386.00	0.15338
387.00	0.15358
388.00	0.15418
389.00	0.15497
390.00	0.15440
391.00	0.15449
392.00	0.15433
393.00	0.15429
394.00	0.15370
395.00	0.15346
396.00	0.15291
397.00	0.15274
398.00	0.15220
399.00	0.15161
400.00	0.15132
401.00	0.15029
402.00	0.14835
403.00	0.14614
404.00	0.14296
405.00	0.13829
406.00	0.13331
407.00	0.12777
408.00	0.12149
409.00	0.11609
410.00	0.11028
411.00	0.10501
412.00	0.099924
413.00	0.095191
414.00	0.090844
415.00	0.085694
416.00	0.080998
417.00	0.075440
418.00	0.068949
419.00	0.061989
420.00	0.054408
421.00	0.046871
422.00	0.040146
423.00	0.033653
424.00	0.028079
425.00	0.023446
426.00	0.019129
427.00	0.015444
428.00	0.012806
429.00	0.010395
430.00	0.0085029
431.00	0.0070639
432.00	0.0056701
433.00	0.0048395
434.00	0.0042192
435.00	0.0034695
436.00	0.0030657
437.00	0.0025230
438.00	0.0023488
439.00	0.0021302
440.00	0.0017413
441.00	0.0016344
442.00	0.0012476
443.00	0.0014768
444.00	0.0014363
445.00	0.0013831
446.00	0.0012970
447.00	0.0011552
448.00	0.0011935
449.00	0.0013490
450.00	0.0011245
451.00	0.0011543
452.00	0.0011211
453.00	0.00097840
454.00	0.00098521
455.00	0.00098990
456.00	0.0010619
457.00	0.0011288
458.00	0.00081866
459.00	0.00096093
460.00	0.0010321
461.00	0.00079523
462.00	0.00073474
463.00	0.00083996
464.00	0.0010943
465.00	0.00081355
466.00	0.0010197
467.00	0.0012293
468.00	0.00095753
469.00	0.00095710
470.00	0.0012561
471.00	0.00094219
472.00	0.00058309
473.00	0.00086168
474.00	0.00090130
475.00	0.00097584
476.00	0.00062100
477.00	0.00096860
478.00	0.00045785
479.00	0.0010828
480.00	0.0011041
481.00	0.00094475
482.00	0.00063549
483.00	0.00070024
484.00	0.00066019
485.00	0.00096093
486.00	0.00094901
487.00	0.00059076
488.00	0.00088468
489.00	0.0010261
490.00	0.00090087
491.00	0.00054603
492.00	0.0010683
493.00	0.00065679
494.00	0.00061206
495.00	0.00077947
496.00	0.00090215
497.00	0.0010427
498.00	0.00084379
499.00	0.00056648
500.00	0.00077265
