Wavelength (nm)	G23 ems
305.00	0.37330
306.00	0.42572
307.00	0.43090
308.00	0.45090
309.00	0.49113
310.00	0.52839
311.00	0.53719
312.00	0.55662
313.00	0.56382
314.00	0.56692
315.00	0.58299
316.00	0.56853
317.00	0.58203
318.00	0.58890
319.00	0.60113
320.00	0.62574
321.00	0.64709
322.00	0.71557
323.00	0.76978
324.00	0.81801
325.00	0.86529
326.00	0.88082
327.00	0.90949
328.00	0.92040
329.00	0.93623
330.00	0.95071
331.00	0.94930
332.00	0.95485
333.00	0.95866
334.00	0.96425
335.00	0.96056
336.00	0.95738
337.00	0.94470
338.00	0.94158
339.00	0.96047
340.00	0.95817
341.00	0.96301
342.00	0.97737
343.00	0.99104
344.00	1.0000
345.00	0.99519
346.00	0.99481
347.00	0.98248
348.00	0.96655
349.00	0.96162
350.00	0.93538
351.00	0.92396
352.00	0.91755
353.00	0.91506
354.00	0.90580
355.00	0.90406
356.00	0.89888
357.00	0.88779
358.00	0.86378
359.00	0.85412
360.00	0.84783
361.00	0.81868
362.00	0.80561
363.00	0.77715
364.00	0.75569
365.00	0.74204
366.00	0.70804
367.00	0.69608
368.00	0.68084
369.00	0.64904
370.00	0.62838
371.00	0.61145
372.00	0.59890
373.00	0.58002
374.00	0.57091
375.00	0.55720
376.00	0.54377
377.00	0.52629
378.00	0.50276
379.00	0.49137
380.00	0.46843
381.00	0.44713
382.00	0.43155
383.00	0.42478
384.00	0.41011
385.00	0.39111
386.00	0.37687
387.00	0.37658
388.00	0.36340
389.00	0.35866
390.00	0.35270
391.00	0.34200
392.00	0.33429
393.00	0.32951
394.00	0.32019
395.00	0.31514
396.00	0.30678
397.00	0.30238
398.00	0.28921
399.00	0.28409
400.00	0.27153
401.00	0.26433
402.00	0.25707
403.00	0.24823
404.00	0.24187
405.00	0.23540
406.00	0.22479
407.00	0.21456
408.00	0.21276
409.00	0.20540
410.00	0.20040
411.00	0.19872
412.00	0.18568
413.00	0.18927
414.00	0.18280
415.00	0.17866
416.00	0.17128
417.00	0.16539
418.00	0.16443
419.00	0.15397
420.00	0.15042
421.00	0.14401
422.00	0.14368
423.00	0.13833
424.00	0.13182
425.00	0.12612
426.00	0.12231
427.00	0.11385
428.00	0.11554
429.00	0.10680
430.00	0.10345
431.00	0.10269
432.00	0.10209
433.00	0.094253
434.00	0.092685
435.00	0.088195
436.00	0.083506
437.00	0.083107
438.00	0.078758
439.00	0.077331
440.00	0.073857
441.00	0.074217
442.00	0.070036
443.00	0.064413
444.00	0.063510
445.00	0.064257
446.00	0.058661
447.00	0.056053
448.00	0.053644
449.00	0.054283
450.00	0.050966
451.00	0.048553
452.00	0.048883
453.00	0.044589
454.00	0.046161
455.00	0.042629
456.00	0.040949
457.00	0.040758
458.00	0.036024
459.00	0.037641
460.00	0.036216
461.00	0.034462
462.00	0.035324
463.00	0.032871
464.00	0.030230
465.00	0.029567
466.00	0.028622
467.00	0.027764
468.00	0.026163
469.00	0.026626
470.00	0.025548
471.00	0.022704
472.00	0.022127
473.00	0.021898
474.00	0.021407
475.00	0.019777
476.00	0.017618
477.00	0.017822
478.00	0.017847
479.00	0.014742
480.00	0.015899
481.00	0.015814
482.00	0.016002
483.00	0.014880
484.00	0.014369
485.00	0.014229
486.00	0.011970
487.00	0.0095872
488.00	0.011480
489.00	0.010921
490.00	0.010294
491.00	0.0095747
492.00	0.0082449
493.00	0.0094234
494.00	0.0079194
495.00	0.0059713
496.00	0.0066217
497.00	0.0050320
498.00	0.0064733
499.00	0.0044428
500.00	0.0045849
