Wavelength (nm)	H02 ems
315.00	0.28704
316.00	0.28860
317.00	0.29670
318.00	0.31282
319.00	0.28703
320.00	0.31631
321.00	0.33325
322.00	0.33823
323.00	0.30788
324.00	0.38301
325.00	0.31716
326.00	0.43978
327.00	0.37752
328.00	0.39890
329.00	0.41750
330.00	0.51232
331.00	0.53570
332.00	0.75725
333.00	0.79056
334.00	0.74521
335.00	0.67150
336.00	0.64750
337.00	0.63649
338.00	0.77103
339.00	0.62860
340.00	0.65578
341.00	0.67414
342.00	0.70683
343.00	0.66193
344.00	0.73804
345.00	0.74518
346.00	0.74660
347.00	0.81892
348.00	0.84427
349.00	0.87278
350.00	0.81415
351.00	0.86782
352.00	0.86835
353.00	0.86543
354.00	0.89811
355.00	0.89553
356.00	0.93099
357.00	0.97103
358.00	0.87160
359.00	0.92576
360.00	0.95848
361.00	0.97655
362.00	0.96075
363.00	0.97680
364.00	1.0000
365.00	0.91197
366.00	0.95886
367.00	0.96315
368.00	0.92830
369.00	0.93463
370.00	0.92642
371.00	0.98006
372.00	0.91631
373.00	0.95317
374.00	0.93031
375.00	0.86017
376.00	0.91547
377.00	0.89598
378.00	0.84517
379.00	0.87555
380.00	0.81215
381.00	0.83777
382.00	0.79079
383.00	0.83113
384.00	0.76440
385.00	0.78826
386.00	0.76395
387.00	0.77669
388.00	0.68950
389.00	0.75817
390.00	0.69741
391.00	0.71434
392.00	0.74037
393.00	0.69608
394.00	0.63743
395.00	0.65286
396.00	0.63536
397.00	0.60075
398.00	0.57544
399.00	0.57954
400.00	0.58001
401.00	0.52707
402.00	0.54247
403.00	0.48212
404.00	0.47948
405.00	0.50316
406.00	0.45327
407.00	0.44552
408.00	0.45644
409.00	0.41421
410.00	0.44273
411.00	0.39835
412.00	0.37437
413.00	0.36752
414.00	0.38468
415.00	0.36191
416.00	0.33478
417.00	0.33605
418.00	0.34758
419.00	0.31844
420.00	0.29244
421.00	0.26470
422.00	0.26987
423.00	0.28056
424.00	0.26204
425.00	0.22747
426.00	0.22635
427.00	0.23972
428.00	0.23227
429.00	0.22218
430.00	0.21181
431.00	0.19485
432.00	0.20205
433.00	0.18043
434.00	0.19922
435.00	0.18196
436.00	0.16489
437.00	0.15761
438.00	0.13358
439.00	0.11204
440.00	0.13261
441.00	0.13495
442.00	0.11620
443.00	0.12925
444.00	0.11529
445.00	0.10216
446.00	0.11367
447.00	0.10624
448.00	0.095063
449.00	0.11295
450.00	0.098756
451.00	0.094171
452.00	0.096427
453.00	0.080328
454.00	0.088023
455.00	0.077788
456.00	0.080729
457.00	0.064886
458.00	0.064506
459.00	0.053812
460.00	0.062088
461.00	0.054836
462.00	0.066087
463.00	0.054257
464.00	0.050034
465.00	0.061851
466.00	0.041655
467.00	0.042374
468.00	0.022995
469.00	0.050906
470.00	0.028389
471.00	0.020471
472.00	0.032784
473.00	0.046946
474.00	0.040313
475.00	0.034034
476.00	0.027471
477.00	0.042751
478.00	0.022646
479.00	0.031880
480.00	0.032913
481.00	0.034660
482.00	0.016582
483.00	0.012621
484.00	0.040892
485.00	0.023023
486.00	0.030163
487.00	0.028740
488.00	0.039749
489.00	0.036742
490.00	0.036282
491.00	0.023583
492.00	0.024343
493.00	0.0058540
494.00	0.014711
495.00	0.022680
496.00	0.015790
497.00	0.020175
498.00	0.013514
499.00	0.015901
500.00	0.014320
