Wavelength (nm)	H03 abs N
220.00	0.84497
221.00	0.80398
222.00	0.73860
223.00	0.65897
224.00	0.58371
225.00	0.52477
226.00	0.48002
227.00	0.44718
228.00	0.41825
229.00	0.39150
230.00	0.36532
231.00	0.34191
232.00	0.32210
233.00	0.30619
234.00	0.29437
235.00	0.28457
236.00	0.27420
237.00	0.26292
238.00	0.25230
239.00	0.24316
240.00	0.23550
241.00	0.22952
242.00	0.22614
243.00	0.22510
244.00	0.22380
245.00	0.21968
246.00	0.21109
247.00	0.20032
248.00	0.19031
249.00	0.18308
250.00	0.17867
251.00	0.17657
252.00	0.17604
253.00	0.17656
254.00	0.17740
255.00	0.17705
256.00	0.17231
257.00	0.16228
258.00	0.14749
259.00	0.13231
260.00	0.12010
261.00	0.11287
262.00	0.11042
263.00	0.11161
264.00	0.11479
265.00	0.12006
266.00	0.12651
267.00	0.13338
268.00	0.14148
269.00	0.15009
270.00	0.15881
271.00	0.16841
272.00	0.17853
273.00	0.18943
274.00	0.20031
275.00	0.21154
276.00	0.22321
277.00	0.23527
278.00	0.24784
279.00	0.26088
280.00	0.27402
281.00	0.28756
282.00	0.30124
283.00	0.31504
284.00	0.32841
285.00	0.34192
286.00	0.35487
287.00	0.36765
288.00	0.38106
289.00	0.39459
290.00	0.40879
291.00	0.42249
292.00	0.43741
293.00	0.45196
294.00	0.46740
295.00	0.48207
296.00	0.49630
297.00	0.51046
298.00	0.52396
299.00	0.53696
300.00	0.55079
301.00	0.56601
302.00	0.58297
303.00	0.60168
304.00	0.62257
305.00	0.64478
306.00	0.66919
307.00	0.69465
308.00	0.72066
309.00	0.74727
310.00	0.77412
311.00	0.79993
312.00	0.82434
313.00	0.84668
314.00	0.87011
315.00	0.89020
316.00	0.90922
317.00	0.92411
318.00	0.93919
319.00	0.95280
320.00	0.96407
321.00	0.97410
322.00	0.98492
323.00	0.98994
324.00	0.99410
325.00	0.99865
326.00	1.00000
327.00	0.99874
328.00	0.99518
329.00	0.98290
330.00	0.96783
331.00	0.95019
332.00	0.92667
333.00	0.90172
334.00	0.87507
335.00	0.84818
336.00	0.82028
337.00	0.79234
338.00	0.76516
339.00	0.73846
340.00	0.71134
341.00	0.68550
342.00	0.65858
343.00	0.63051
344.00	0.59978
345.00	0.56807
346.00	0.53284
347.00	0.49465
348.00	0.45442
349.00	0.41073
350.00	0.36639
351.00	0.32280
352.00	0.27994
353.00	0.23974
354.00	0.20385
355.00	0.17185
356.00	0.14449
357.00	0.12156
358.00	0.10307
359.00	0.087442
360.00	0.074046
361.00	0.063157
362.00	0.054537
363.00	0.048033
364.00	0.043174
365.00	0.039246
366.00	0.036048
367.00	0.033706
368.00	0.032424
369.00	0.031071
370.00	0.030419
371.00	0.029706
372.00	0.029205
373.00	0.028709
374.00	0.028820
375.00	0.028196
376.00	0.028154
377.00	0.027817
378.00	0.027506
379.00	0.027374
380.00	0.027087
381.00	0.026487
382.00	0.026441
383.00	0.026085
384.00	0.025794
385.00	0.025720
386.00	0.025117
387.00	0.024724
388.00	0.023777
389.00	0.023101
390.00	0.022299
391.00	0.021930
392.00	0.020903
393.00	0.020546
394.00	0.019416
395.00	0.018592
396.00	0.017826
397.00	0.017076
398.00	0.016157
399.00	0.015434
400.00	0.014764
401.00	0.014070
402.00	0.013368
403.00	0.012341
404.00	0.011878
405.00	0.011101
406.00	0.010525
407.00	0.010028
408.00	0.0095811
409.00	0.0089582
410.00	0.0082326
411.00	0.0077890
412.00	0.0073258
413.00	0.0068817
414.00	0.0066273
415.00	0.0058590
416.00	0.0055623
417.00	0.0053726
418.00	0.0053997
419.00	0.0051909
420.00	0.0048313
421.00	0.0045326
422.00	0.0041485
423.00	0.0040866
424.00	0.0039913
425.00	0.0035315
426.00	0.0041087
427.00	0.0037550
428.00	0.0038449
429.00	0.0033291
430.00	0.0034156
431.00	0.0031218
432.00	0.0032176
433.00	0.0032137
434.00	0.0030098
435.00	0.0030565
436.00	0.0032623
437.00	0.0029145
438.00	0.0027922
439.00	0.0029725
440.00	0.0027180
441.00	0.0028968
442.00	0.0027170
443.00	0.0027057
444.00	0.0026473
445.00	0.0026340
446.00	0.0027214
447.00	0.0026659
448.00	0.0026365
449.00	0.0026301
450.00	0.0028207
