Wavelength (nm)	H04 abs N
220.00	0.75504
221.00	0.74137
222.00	0.72671
223.00	0.70457
224.00	0.66541
225.00	0.61098
226.00	0.54587
227.00	0.48317
228.00	0.42736
229.00	0.38327
230.00	0.34832
231.00	0.32102
232.00	0.29772
233.00	0.27749
234.00	0.26016
235.00	0.24509
236.00	0.23281
237.00	0.22257
238.00	0.21413
239.00	0.20565
240.00	0.19645
241.00	0.18683
242.00	0.17745
243.00	0.16942
244.00	0.16313
245.00	0.15847
246.00	0.15560
247.00	0.15463
248.00	0.15493
249.00	0.15450
250.00	0.15128
251.00	0.14523
252.00	0.13800
253.00	0.13172
254.00	0.12787
255.00	0.12614
256.00	0.12592
257.00	0.12672
258.00	0.12908
259.00	0.13247
260.00	0.13537
261.00	0.13387
262.00	0.12683
263.00	0.11402
264.00	0.098819
265.00	0.086254
266.00	0.077515
267.00	0.073350
268.00	0.072629
269.00	0.074025
270.00	0.077016
271.00	0.081199
272.00	0.085804
273.00	0.091202
274.00	0.097115
275.00	0.10327
276.00	0.10957
277.00	0.11656
278.00	0.12396
279.00	0.13116
280.00	0.13888
281.00	0.14701
282.00	0.15514
283.00	0.16389
284.00	0.17266
285.00	0.18147
286.00	0.19076
287.00	0.20042
288.00	0.21034
289.00	0.22041
290.00	0.23113
291.00	0.24199
292.00	0.25298
293.00	0.26466
294.00	0.27709
295.00	0.28963
296.00	0.30254
297.00	0.31566
298.00	0.32948
299.00	0.34345
300.00	0.35838
301.00	0.37377
302.00	0.38972
303.00	0.40687
304.00	0.42429
305.00	0.44243
306.00	0.46095
307.00	0.48026
308.00	0.49996
309.00	0.52030
310.00	0.54125
311.00	0.56285
312.00	0.58396
313.00	0.60549
314.00	0.62745
315.00	0.64969
316.00	0.67259
317.00	0.69483
318.00	0.71877
319.00	0.74205
320.00	0.76499
321.00	0.78650
322.00	0.80876
323.00	0.83130
324.00	0.85067
325.00	0.87062
326.00	0.88831
327.00	0.90462
328.00	0.91959
329.00	0.93478
330.00	0.94777
331.00	0.95725
332.00	0.96698
333.00	0.97692
334.00	0.98336
335.00	0.99043
336.00	0.99629
337.00	0.99872
338.00	1.00000
339.00	0.99937
340.00	0.99633
341.00	0.99152
342.00	0.98357
343.00	0.97221
344.00	0.95741
345.00	0.94183
346.00	0.92381
347.00	0.90226
348.00	0.88185
349.00	0.86025
350.00	0.83613
351.00	0.81335
352.00	0.78982
353.00	0.76481
354.00	0.73960
355.00	0.71587
356.00	0.69070
357.00	0.66471
358.00	0.63928
359.00	0.61261
360.00	0.58364
361.00	0.55343
362.00	0.52152
363.00	0.48778
364.00	0.45414
365.00	0.41879
366.00	0.38333
367.00	0.34859
368.00	0.31467
369.00	0.28198
370.00	0.25036
371.00	0.22151
372.00	0.19489
373.00	0.17007
374.00	0.14789
375.00	0.12793
376.00	0.11069
377.00	0.095004
378.00	0.081695
379.00	0.070728
380.00	0.061256
381.00	0.053468
382.00	0.046600
383.00	0.041085
384.00	0.036761
385.00	0.033199
386.00	0.030149
387.00	0.027411
388.00	0.025944
389.00	0.024453
390.00	0.022993
391.00	0.022328
392.00	0.021776
393.00	0.020812
394.00	0.020388
395.00	0.020333
396.00	0.020231
397.00	0.019710
398.00	0.019716
399.00	0.019976
400.00	0.019667
401.00	0.019743
402.00	0.019803
403.00	0.019482
404.00	0.019177
405.00	0.019103
406.00	0.019130
407.00	0.018981
408.00	0.018742
409.00	0.018625
410.00	0.018624
411.00	0.018206
412.00	0.017870
413.00	0.017770
414.00	0.018074
415.00	0.017751
416.00	0.017159
417.00	0.016961
418.00	0.016336
419.00	0.015988
420.00	0.015674
421.00	0.015158
422.00	0.014699
423.00	0.014668
424.00	0.014139
425.00	0.013847
426.00	0.013721
427.00	0.012593
428.00	0.012239
429.00	0.012072
430.00	0.011378
431.00	0.011051
432.00	0.010543
433.00	0.010454
434.00	0.0096698
435.00	0.0092847
436.00	0.0089314
437.00	0.0082873
438.00	0.0077910
439.00	0.0077444
440.00	0.0072141
441.00	0.0067242
442.00	0.0062639
443.00	0.0060419
444.00	0.0053359
445.00	0.0054895
446.00	0.0049598
447.00	0.0046218
448.00	0.0042855
449.00	0.0043549
450.00	0.0040477
451.00	0.0036933
452.00	0.0035143
453.00	0.0031377
454.00	0.0028045
455.00	0.0027372
456.00	0.0024787
457.00	0.0018992
458.00	0.0017673
459.00	0.0018696
460.00	0.0014834
461.00	0.0015248
462.00	0.0014871
463.00	0.0019088
464.00	0.0013505
465.00	0.0010443
466.00	0.0010051
467.00	0.00088859
468.00	0.0010009
469.00	0.00070903
470.00	0.0012318
471.00	0.00088065
472.00	0.00054642
473.00	0.00054800
474.00	0.00068307
475.00	0.00055807
476.00	0.00096646
477.00	0.0011699
478.00	0.00088489
479.00	0.0010470
480.00	0.0010464
481.00	0.00084516
482.00	0.00075617
483.00	0.00099771
484.00	0.00080226
485.00	0.00041452
486.00	0.00044207
487.00	0.00047014
488.00	0.00053052
489.00	0.00092038
490.00	0.00054165
491.00	0.00072651
492.00	0.00097387
493.00	0.00087111
494.00	0.00064282
495.00	0.00043412
496.00	0.00071856
497.00	0.00066560
498.00	0.00031331
499.00	0.00029640
500.00	0.00033083
