Wavelength (nm)	H05 ems
325.50	0.0056050
326.00	0.0054476
326.50	0.0056429
327.00	0.0048909
327.50	0.0051633
328.00	0.0056447
328.50	0.0055426
329.00	0.0054845
329.50	0.0055365
330.00	0.0061491
330.50	0.0058056
331.00	0.0061436
331.50	0.0064046
332.00	0.0065116
332.50	0.0069041
333.00	0.0069780
333.50	0.0071836
334.00	0.0070380
334.50	0.0093495
335.00	0.010432
335.50	0.011416
336.00	0.011545
336.50	0.014276
337.00	0.014217
337.50	0.017444
338.00	0.018374
338.50	0.022268
339.00	0.024707
339.50	0.030221
340.00	0.032855
340.50	0.036759
341.00	0.039749
341.50	0.048898
342.00	0.052764
342.50	0.058962
343.00	0.065310
343.50	0.074314
344.00	0.079646
344.50	0.090162
345.00	0.097266
345.50	0.10987
346.00	0.11782
346.50	0.12834
347.00	0.13902
347.50	0.15557
348.00	0.16499
348.50	0.17648
349.00	0.18948
349.50	0.20607
350.00	0.21562
350.50	0.23575
351.00	0.24601
351.50	0.26571
352.00	0.27611
352.50	0.29461
353.00	0.30951
353.50	0.33228
354.00	0.34355
354.50	0.36226
355.00	0.38183
355.50	0.40950
356.00	0.41253
356.50	0.43297
357.00	0.44822
357.50	0.47463
358.00	0.48681
358.50	0.51158
359.00	0.52035
359.50	0.54718
360.00	0.55580
360.50	0.57216
361.00	0.58985
361.50	0.61951
362.00	0.62844
362.50	0.64771
363.00	0.65955
363.50	0.68058
364.00	0.69190
364.50	0.70636
365.00	0.72412
365.50	0.74087
366.00	0.75183
366.50	0.76839
367.00	0.77388
367.50	0.79231
368.00	0.80076
368.50	0.82342
369.00	0.82904
369.50	0.84649
370.00	0.85230
370.50	0.86450
371.00	0.87265
371.50	0.89016
372.00	0.89709
372.50	0.90543
373.00	0.90788
373.50	0.91966
374.00	0.92575
374.50	0.93389
375.00	0.94574
375.50	0.95393
376.00	0.95477
376.50	0.96525
377.00	0.97749
377.50	0.98198
378.00	0.98466
378.50	0.99230
379.00	0.98966
379.50	1.0000
380.00	0.99709
380.50	0.99149
381.00	0.99145
381.50	0.99386
382.00	0.99971
382.50	0.99833
383.00	0.99101
383.50	0.98479
384.00	0.98507
384.50	0.98948
385.00	0.98204
385.50	0.98434
386.00	0.97888
386.50	0.97456
387.00	0.97633
387.50	0.97521
388.00	0.98049
388.50	0.97522
389.00	0.97588
389.50	0.97332
390.00	0.96919
390.50	0.96518
391.00	0.95619
391.50	0.95289
392.00	0.95153
392.50	0.93843
393.00	0.93716
393.50	0.93426
394.00	0.92104
394.50	0.91743
395.00	0.91223
395.50	0.90532
396.00	0.89819
396.50	0.89092
397.00	0.87956
397.50	0.87159
398.00	0.86379
398.50	0.85414
399.00	0.84418
399.50	0.83369
400.00	0.82517
400.50	0.81810
401.00	0.80941
401.50	0.79347
402.00	0.78690
402.50	0.77250
403.00	0.77405
403.50	0.74708
404.00	0.74590
404.50	0.73147
405.00	0.72205
405.50	0.70134
406.00	0.71156
406.50	0.69078
407.00	0.68458
407.50	0.67387
408.00	0.66042
408.50	0.65599
409.00	0.64298
409.50	0.63791
410.00	0.62350
410.50	0.61317
411.00	0.60500
411.50	0.59874
412.00	0.59147
412.50	0.57704
413.00	0.57246
413.50	0.55680
414.00	0.55658
414.50	0.54775
415.00	0.53999
415.50	0.52882
416.00	0.52017
416.50	0.50978
417.00	0.50633
417.50	0.49471
418.00	0.48445
418.50	0.47982
419.00	0.47448
419.50	0.46502
420.00	0.46123
420.50	0.44884
421.00	0.44029
421.50	0.43111
422.00	0.42723
422.50	0.42040
423.00	0.41632
423.50	0.40436
424.00	0.40304
424.50	0.39185
425.00	0.38778
425.50	0.38122
426.00	0.37266
426.50	0.36628
427.00	0.35901
427.50	0.35035
428.00	0.34514
428.50	0.33396
429.00	0.32580
429.50	0.32190
430.00	0.31885
430.50	0.31277
431.00	0.30371
431.50	0.29812
432.00	0.29219
432.50	0.28586
433.00	0.28486
433.50	0.27325
434.00	0.26585
434.50	0.26057
435.00	0.25556
435.50	0.24890
436.00	0.25025
436.50	0.24361
437.00	0.23928
437.50	0.23519
438.00	0.22997
438.50	0.22497
439.00	0.21909
439.50	0.21567
440.00	0.21499
440.50	0.20617
441.00	0.20434
441.50	0.20015
442.00	0.19893
442.50	0.19329
443.00	0.19065
443.50	0.18308
444.00	0.18492
444.50	0.17664
445.00	0.17754
445.50	0.17313
446.00	0.17098
446.50	0.16464
447.00	0.16569
447.50	0.15708
448.00	0.15611
448.50	0.15306
449.00	0.15020
449.50	0.14757
450.00	0.14451
450.50	0.14083
451.00	0.13786
451.50	0.13419
452.00	0.13023
452.50	0.12873
453.00	0.12705
453.50	0.12155
454.00	0.12184
454.50	0.11604
455.00	0.11377
455.50	0.11147
456.00	0.11110
456.50	0.10837
457.00	0.10622
457.50	0.099736
458.00	0.10140
458.50	0.097693
459.00	0.096486
459.50	0.094389
460.00	0.091938
460.50	0.089773
461.00	0.088332
461.50	0.086850
462.00	0.084803
462.50	0.083045
463.00	0.081217
463.50	0.079393
464.00	0.079026
464.50	0.078018
465.00	0.076422
465.50	0.074446
466.00	0.071869
466.50	0.070958
467.00	0.070390
467.50	0.070110
468.00	0.069191
468.50	0.066810
469.00	0.064876
469.50	0.063655
470.00	0.064682
470.50	0.062001
471.00	0.061893
471.50	0.061451
472.00	0.061076
472.50	0.059111
473.00	0.058582
473.50	0.056988
474.00	0.057182
474.50	0.057573
475.00	0.055373
475.50	0.055426
476.00	0.054047
476.50	0.054703
477.00	0.055232
477.50	0.054404
478.00	0.052982
478.50	0.052266
479.00	0.052973
479.50	0.053903
480.00	0.051813
